level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,query,count
all,all,all,all,knn20,0,knn20,0.02,False,30904,-1,29586
all,all,all,all,knn20,0,knn20,0.02,False,30904,0,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,1,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,2,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,3,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,4,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,5,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,6,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,7,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,8,85
all,all,all,all,knn20,0,knn20,0.02,False,30904,9,337
all,all,all,all,knn20,0,knn20,0.02,False,30904,10,305
all,all,all,all,knn20,0,knn20,0.02,False,30904,11,306
all,all,all,all,knn20,0,knn20,0.02,False,30904,12,191
all,all,all,all,knn20,0,knn20,0.02,False,30904,13,36
all,all,all,all,knn20,0,knn20,0.02,False,30904,14,21
all,all,all,all,knn20,0,knn20,0.02,False,30904,15,5
all,all,all,all,knn20,0,knn20,0.02,False,30904,16,5
all,all,all,all,knn20,0,knn20,0.02,False,30904,17,4
all,all,all,all,knn20,0,knn20,0.02,False,30904,18,1
all,all,all,all,knn20,0,knn20,0.02,False,30904,19,5
all,all,all,all,knn20,0,knn20,0.02,False,30904,20,1
all,all,all,all,knn20,0,knn20,0.02,False,30904,21,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,22,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,23,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,24,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,25,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,26,1
all,all,all,all,knn20,0,knn20,0.02,False,30904,27,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,28,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,29,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,30,1
all,all,all,all,knn20,0,knn20,0.02,False,30904,31,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,32,4
all,all,all,all,knn20,0,knn20,0.02,False,30904,33,4
all,all,all,all,knn20,0,knn20,0.02,False,30904,34,3
all,all,all,all,knn20,0,knn20,0.02,False,30904,35,2
all,all,all,all,knn20,0,knn20,0.02,False,30904,36,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,37,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,38,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,39,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,40,1
all,all,all,all,knn20,0,knn20,0.02,False,30904,41,0
