level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,both,removed_from_knn20,new_vs_knn20,neither,earlier,later,same_query
cohort,A,all,all,norm_only,0,norm_only,0.05,False,15468,590,759,123,13996,61,361,168
cohort,A,all,all,norm_only,0,norm_only,0.05,True,532,397,81,3,51,54,246,97
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.05,False,15468,707,642,131,13988,71,296,340
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.05,True,532,401,77,3,51,55,246,100
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.05,False,15468,707,642,131,13988,71,296,340
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.05,True,532,401,77,3,51,55,246,100
cohort,A,all,all,c1_union_radius,1,union_radius,0.05,False,15468,707,642,131,13988,71,296,340
cohort,A,all,all,c1_union_radius,1,union_radius,0.05,True,532,401,77,3,51,55,246,100
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.05,False,15468,876,473,91,14028,88,320,468
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.05,True,532,427,51,3,51,65,235,127
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.05,False,15468,877,472,95,14024,90,297,490
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.05,True,532,423,55,1,53,29,240,154
cohort,A,all,all,c2_union_radius,2,union_radius,0.05,False,15468,880,469,98,14021,90,298,492
cohort,A,all,all,c2_union_radius,2,union_radius,0.05,True,532,422,56,1,53,28,239,155
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.05,False,15468,570,779,54,14065,34,405,131
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.05,True,532,443,35,4,50,60,220,163
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.05,False,15468,504,845,73,14046,31,338,135
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.05,True,532,447,31,10,44,49,259,139
cohort,A,all,all,c4_union_radius,4,union_radius,0.05,False,15468,497,852,61,14058,30,333,134
cohort,A,all,all,c4_union_radius,4,union_radius,0.05,True,532,439,39,4,50,39,247,153
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.05,False,15468,867,482,87,14032,51,444,372
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.05,True,532,452,26,0,54,34,194,224
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.05,False,15468,735,614,164,13955,54,445,236
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.05,True,532,436,42,13,41,69,239,128
cohort,A,all,all,c8_union_radius,8,union_radius,0.05,False,15468,767,582,135,13984,32,462,273
cohort,A,all,all,c8_union_radius,8,union_radius,0.05,True,532,434,44,6,48,34,264,136
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.05,False,15468,1052,297,59,14060,54,257,741
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.05,True,532,449,29,2,52,18,220,211
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.05,False,15468,822,527,348,13771,89,240,493
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.05,True,532,368,110,16,38,97,152,119
cohort,A,all,all,c16_union_radius,16,union_radius,0.05,False,15468,637,712,211,13908,23,218,396
cohort,A,all,all,c16_union_radius,16,union_radius,0.05,True,532,397,81,21,33,74,199,124
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.05,False,15468,1165,184,227,13892,139,164,862
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.05,True,532,466,12,22,32,134,120,212
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.05,False,15468,942,407,456,13663,178,257,507
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.05,True,532,448,30,30,24,168,150,130
cohort,A,all,all,c32_union_radius,32,union_radius,0.05,False,15468,623,726,218,13901,31,221,371
cohort,A,all,all,c32_union_radius,32,union_radius,0.05,True,532,430,48,13,41,92,215,123
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.05,False,15468,1144,205,112,14007,74,194,876
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.05,True,532,456,22,17,37,100,107,249
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.05,False,15468,901,448,279,13840,105,279,517
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.05,True,532,460,18,26,28,156,157,147
cohort,A,all,all,c64_union_radius,64,union_radius,0.05,False,15468,936,413,302,13817,74,351,511
cohort,A,all,all,c64_union_radius,64,union_radius,0.05,True,532,457,21,19,35,116,133,208
cohort,A,all,all,knn20,0,knn20,0.1,False,15468,2393,0,0,13075,0,0,2393
cohort,A,all,all,knn20,0,knn20,0.1,True,532,509,0,0,23,0,0,509
cohort,A,all,all,norm_only,0,norm_only,0.1,False,15468,1173,1220,212,12863,169,516,488
cohort,A,all,all,norm_only,0,norm_only,0.1,True,532,446,63,3,20,43,336,67
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.1,False,15468,1238,1155,221,12854,212,404,622
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.1,True,532,449,60,3,20,46,333,70
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.1,False,15468,1238,1155,221,12854,212,404,622
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.1,True,532,449,60,3,20,46,333,70
cohort,A,all,all,c1_union_radius,1,union_radius,0.1,False,15468,1238,1155,221,12854,212,404,622
cohort,A,all,all,c1_union_radius,1,union_radius,0.1,True,532,449,60,3,20,46,333,70
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.1,False,15468,1368,1025,175,12900,161,401,806
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.1,True,532,464,45,3,20,47,326,91
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.1,False,15468,1370,1023,178,12897,184,392,794
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.1,True,532,464,45,3,20,27,329,108
cohort,A,all,all,c2_union_radius,2,union_radius,0.1,False,15468,1376,1017,194,12881,191,386,799
cohort,A,all,all,c2_union_radius,2,union_radius,0.1,True,532,460,49,3,20,27,329,104
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.1,False,15468,1148,1245,133,12942,86,618,444
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.1,True,532,497,12,2,21,36,305,156
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.1,False,15468,985,1408,162,12913,99,537,349
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.1,True,532,490,19,3,20,42,328,120
cohort,A,all,all,c4_union_radius,4,union_radius,0.1,False,15468,996,1397,215,12860,101,532,363
cohort,A,all,all,c4_union_radius,4,union_radius,0.1,True,532,488,21,1,22,29,337,122
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.1,False,15468,1694,699,151,12924,117,602,975
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.1,True,532,495,14,1,22,36,236,223
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.1,False,15468,1413,980,266,12809,133,604,676
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.1,True,532,490,19,5,18,71,265,154
cohort,A,all,all,c8_union_radius,8,union_radius,0.1,False,15468,1349,1044,296,12779,127,605,617
cohort,A,all,all,c8_union_radius,8,union_radius,0.1,True,532,486,23,3,20,43,314,129
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.1,False,15468,1954,439,163,12912,179,378,1397
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.1,True,532,504,5,3,20,68,174,262
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.1,False,15468,1780,613,503,12572,440,316,1024
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.1,True,532,471,38,8,15,108,210,153
cohort,A,all,all,c16_union_radius,16,union_radius,0.1,False,15468,1623,770,473,12602,325,355,943
cohort,A,all,all,c16_union_radius,16,union_radius,0.1,True,532,467,42,10,13,107,232,128
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.1,False,15468,2004,389,179,12896,185,314,1505
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.1,True,532,507,2,7,16,88,132,287
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.1,False,15468,1730,663,559,12516,364,433,933
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.1,True,532,494,15,11,12,138,203,153
cohort,A,all,all,c32_union_radius,32,union_radius,0.1,False,15468,1705,688,671,12404,386,457,862
cohort,A,all,all,c32_union_radius,32,union_radius,0.1,True,532,492,17,13,10,131,211,150
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.1,False,15468,2092,301,303,12772,283,279,1530
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.1,True,532,504,5,5,18,117,104,283
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.1,False,15468,1680,713,626,12449,435,418,827
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.1,True,532,507,2,10,13,164,169,174
cohort,A,all,all,c64_union_radius,64,union_radius,0.1,False,15468,1722,671,500,12575,313,475,934
cohort,A,all,all,c64_union_radius,64,union_radius,0.1,True,532,504,5,11,12,126,191,187
cohort,B,all,all,knn20,0,knn20,0.02,False,15436,683,0,0,14753,0,0,683
cohort,B,all,all,knn20,0,knn20,0.02,True,564,395,0,0,169,0,0,395
cohort,B,all,all,norm_only,0,norm_only,0.02,False,15436,265,418,228,14525,159,57,49
cohort,B,all,all,norm_only,0,norm_only,0.02,True,564,348,47,21,148,66,138,144
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,15436,308,375,235,14518,168,90,50
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,564,347,48,20,149,64,140,143
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,15436,308,375,235,14518,168,90,50
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,564,347,48,20,149,64,140,143
cohort,B,all,all,c1_union_radius,1,union_radius,0.02,False,15436,308,375,235,14518,168,90,50
cohort,B,all,all,c1_union_radius,1,union_radius,0.02,True,564,347,48,20,149,64,140,143
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,15436,339,344,150,14603,113,105,121
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,564,369,26,19,150,77,122,170
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,15436,339,344,150,14603,114,103,122
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,564,369,26,17,152,70,119,180
cohort,B,all,all,c2_union_radius,2,union_radius,0.02,False,15436,337,346,150,14603,114,103,120
cohort,B,all,all,c2_union_radius,2,union_radius,0.02,True,564,369,26,17,152,70,120,179
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,15436,217,466,30,14723,17,55,145
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,564,371,24,4,165,45,105,221
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,15436,205,478,18,14735,18,46,141
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,564,359,36,10,159,35,160,164
cohort,B,all,all,c4_union_radius,4,union_radius,0.02,False,15436,219,464,19,14734,17,56,146
cohort,B,all,all,c4_union_radius,4,union_radius,0.02,True,564,364,31,7,162,40,133,191
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,15436,426,257,23,14730,13,205,208
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,564,368,27,1,168,29,114,225
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,15436,243,440,94,14659,13,133,97
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,564,314,81,7,162,22,188,104
cohort,B,all,all,c8_union_radius,8,union_radius,0.02,False,15436,343,340,54,14699,12,169,162
cohort,B,all,all,c8_union_radius,8,union_radius,0.02,True,564,369,26,9,160,26,160,183
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,15436,484,199,17,14736,9,165,310
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,564,375,20,5,164,22,150,203
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,15436,275,408,164,14589,24,103,148
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,564,262,133,18,151,41,112,109
cohort,B,all,all,c16_union_radius,16,union_radius,0.02,False,15436,245,438,55,14698,6,91,148
cohort,B,all,all,c16_union_radius,16,union_radius,0.02,True,564,311,84,34,135,26,163,122
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,15436,547,136,103,14650,75,96,376
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,564,377,18,20,149,25,145,207
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,15436,332,351,189,14564,141,97,94
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,564,350,45,25,144,73,179,98
cohort,B,all,all,c32_union_radius,32,union_radius,0.02,False,15436,246,437,134,14619,82,20,144
cohort,B,all,all,c32_union_radius,32,union_radius,0.02,True,564,372,23,22,147,54,104,214
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.02,False,15436,460,223,36,14717,5,156,299
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.02,True,564,323,72,13,156,54,74,195
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.02,False,15436,326,357,238,14515,147,80,99
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.02,True,564,311,84,28,141,91,121,99
cohort,B,all,all,c64_union_radius,64,union_radius,0.02,False,15436,305,378,126,14627,97,75,133
cohort,B,all,all,c64_union_radius,64,union_radius,0.02,True,564,348,47,33,136,84,116,148
cohort,B,all,all,knn20,0,knn20,0.03,False,15436,1119,0,0,14317,0,0,1119
cohort,B,all,all,knn20,0,knn20,0.03,True,564,451,0,0,113,0,0,451
cohort,B,all,all,norm_only,0,norm_only,0.03,False,15436,503,616,176,14141,45,335,123
cohort,B,all,all,norm_only,0,norm_only,0.03,True,564,391,60,11,102,56,205,130
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.03,False,15436,563,556,165,14152,46,270,247
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.03,True,564,392,59,11,102,53,204,135
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.03,False,15436,563,556,165,14152,46,270,247
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.03,True,564,392,59,11,102,53,204,135
cohort,B,all,all,c1_union_radius,1,union_radius,0.03,False,15436,563,556,165,14152,46,270,247
cohort,B,all,all,c1_union_radius,1,union_radius,0.03,True,564,392,59,11,102,53,204,135
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.03,False,15436,660,459,130,14187,48,269,343
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.03,True,564,415,36,9,104,47,200,168
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.03,False,15436,653,466,94,14223,47,244,362
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.03,True,564,417,34,9,104,46,204,167
cohort,B,all,all,c2_union_radius,2,union_radius,0.03,False,15436,651,468,94,14223,47,244,360
cohort,B,all,all,c2_union_radius,2,union_radius,0.03,True,564,417,34,9,104,46,207,164
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.03,False,15436,468,651,51,14266,29,348,91
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.03,True,564,426,25,12,101,62,176,188
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.03,False,15436,448,671,59,14258,29,311,108
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.03,True,564,416,35,19,94,42,201,173
cohort,B,all,all,c4_union_radius,4,union_radius,0.03,False,15436,470,649,61,14256,31,321,118
cohort,B,all,all,c4_union_radius,4,union_radius,0.03,True,564,423,28,20,93,56,189,178
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.03,False,15436,762,357,44,14273,29,375,358
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.03,True,564,433,18,8,105,49,132,252
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.03,False,15436,654,465,141,14176,34,373,247
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.03,True,564,423,28,23,90,51,216,156
cohort,B,all,all,c8_union_radius,8,union_radius,0.03,False,15436,707,412,105,14212,32,404,271
cohort,B,all,all,c8_union_radius,8,union_radius,0.03,True,564,422,29,11,102,30,214,178
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.03,False,15436,851,268,111,14206,58,204,589
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.03,True,564,432,19,12,101,32,151,249
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.03,False,15436,777,342,242,14075,66,240,471
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.03,True,564,311,140,18,95,62,121,128
cohort,B,all,all,c16_union_radius,16,union_radius,0.03,False,15436,639,480,220,14097,37,204,398
cohort,B,all,all,c16_union_radius,16,union_radius,0.03,True,564,387,64,42,71,78,184,125
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.03,False,15436,947,172,111,14206,114,135,698
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.03,True,564,430,21,20,93,88,107,235
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.03,False,15436,744,375,135,14182,84,206,454
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.03,True,564,405,46,25,88,71,192,142
cohort,B,all,all,c32_union_radius,32,union_radius,0.03,False,15436,566,553,175,14142,29,268,269
cohort,B,all,all,c32_union_radius,32,union_radius,0.03,True,564,421,30,24,89,61,114,246
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.03,False,15436,1021,98,182,14135,69,241,711
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.03,True,564,414,37,27,86,94,95,225
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.03,False,15436,738,381,209,14108,69,315,354
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.03,True,564,409,42,31,82,123,168,118
cohort,B,all,all,c64_union_radius,64,union_radius,0.03,False,15436,773,346,202,14115,52,386,335
cohort,B,all,all,c64_union_radius,64,union_radius,0.03,True,564,413,38,20,93,93,143,177
cohort,B,all,all,knn20,0,knn20,0.05,False,15436,1405,0,0,14031,0,0,1405
cohort,B,all,all,knn20,0,knn20,0.05,True,564,499,0,0,65,0,0,499
cohort,B,all,all,norm_only,0,norm_only,0.05,False,15436,585,820,169,13862,53,355,177
cohort,B,all,all,norm_only,0,norm_only,0.05,True,564,412,87,12,53,34,279,99
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.05,False,15436,701,704,182,13849,61,296,344
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.05,True,564,415,84,12,53,36,277,102
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.05,False,15436,701,704,182,13849,61,296,344
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.05,True,564,415,84,12,53,36,277,102
cohort,B,all,all,c1_union_radius,1,union_radius,0.05,False,15436,701,704,182,13849,61,296,344
cohort,B,all,all,c1_union_radius,1,union_radius,0.05,True,564,415,84,12,53,36,277,102
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.05,False,15436,855,550,130,13901,86,309,460
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.05,True,564,442,57,11,54,52,259,131
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.05,False,15436,853,552,115,13916,95,286,472
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.05,True,564,442,57,6,59,36,263,143
cohort,B,all,all,c2_union_radius,2,union_radius,0.05,False,15436,852,553,120,13911,95,287,470
cohort,B,all,all,c2_union_radius,2,union_radius,0.05,True,564,442,57,6,59,36,262,144
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.05,False,15436,594,811,61,13970,33,415,146
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.05,True,564,471,28,13,52,56,247,168
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.05,False,15436,555,850,88,13943,42,364,149
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.05,True,564,470,29,15,50,48,275,147
cohort,B,all,all,c4_union_radius,4,union_radius,0.05,False,15436,550,855,80,13951,36,359,155
cohort,B,all,all,c4_union_radius,4,union_radius,0.05,True,564,465,34,6,59,41,274,150
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.05,False,15436,904,501,107,13924,65,434,405
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.05,True,564,467,32,1,64,32,230,205
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.05,False,15436,783,622,190,13841,78,444,261
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.05,True,564,462,37,9,56,61,272,129
cohort,B,all,all,c8_union_radius,8,union_radius,0.05,False,15436,810,595,157,13874,45,477,288
cohort,B,all,all,c8_union_radius,8,union_radius,0.05,True,564,456,43,4,61,33,288,135
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.05,False,15436,1102,303,58,13973,76,245,781
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.05,True,564,472,27,2,63,18,244,210
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.05,False,15436,897,508,356,13675,138,254,505
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.05,True,564,394,105,16,49,120,156,118
cohort,B,all,all,c16_union_radius,16,union_radius,0.05,False,15436,694,711,212,13819,49,242,403
cohort,B,all,all,c16_union_radius,16,union_radius,0.05,True,564,416,83,21,44,79,218,119
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.05,False,15436,1216,189,259,13772,160,143,913
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.05,True,564,485,14,18,47,122,112,251
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.05,False,15436,1018,387,490,13541,213,238,567
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.05,True,564,474,25,30,35,186,142,146
cohort,B,all,all,c32_union_radius,32,union_radius,0.05,False,15436,699,706,259,13772,58,228,413
cohort,B,all,all,c32_union_radius,32,union_radius,0.05,True,564,462,37,16,49,91,227,144
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.05,False,15436,1227,178,125,13906,96,228,903
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.05,True,564,488,11,16,49,122,125,241
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.05,False,15436,952,453,319,13712,124,310,518
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.05,True,564,485,14,28,37,158,155,172
cohort,B,all,all,c64_union_radius,64,union_radius,0.05,False,15436,1021,384,296,13735,95,358,568
cohort,B,all,all,c64_union_radius,64,union_radius,0.05,True,564,486,13,18,47,115,151,220
cohort,B,all,all,knn20,0,knn20,0.1,False,15436,2481,0,0,12955,0,0,2481
cohort,B,all,all,knn20,0,knn20,0.1,True,564,541,0,0,23,0,0,541
cohort,B,all,all,norm_only,0,norm_only,0.1,False,15436,1193,1288,230,12725,153,501,539
cohort,B,all,all,norm_only,0,norm_only,0.1,True,564,470,71,1,22,43,349,78
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.1,False,15436,1259,1222,224,12731,207,352,700
cohort,B,all,all,c1_centroid_distance,1,centroid_distance,0.1,True,564,469,72,1,22,49,340,80
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.1,False,15436,1259,1222,224,12731,207,352,700
cohort,B,all,all,c1_assigned_radius,1,assigned_radius,0.1,True,564,469,72,1,22,49,340,80
cohort,B,all,all,c1_union_radius,1,union_radius,0.1,False,15436,1259,1222,224,12731,207,352,700
cohort,B,all,all,c1_union_radius,1,union_radius,0.1,True,564,469,72,1,22,49,340,80
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.1,False,15436,1404,1077,169,12786,174,381,849
cohort,B,all,all,c2_centroid_distance,2,centroid_distance,0.1,True,564,490,51,0,23,48,335,107
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.1,False,15436,1432,1049,177,12778,210,376,846
cohort,B,all,all,c2_assigned_radius,2,assigned_radius,0.1,True,564,483,58,0,23,37,341,105
cohort,B,all,all,c2_union_radius,2,union_radius,0.1,False,15436,1435,1046,196,12759,215,372,848
cohort,B,all,all,c2_union_radius,2,union_radius,0.1,True,564,482,59,0,23,41,335,106
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.1,False,15436,1211,1270,124,12831,74,606,531
cohort,B,all,all,c4_centroid_distance,4,centroid_distance,0.1,True,564,519,22,0,23,33,324,162
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.1,False,15436,1045,1436,155,12800,107,537,401
cohort,B,all,all,c4_assigned_radius,4,assigned_radius,0.1,True,564,524,17,1,22,57,356,111
cohort,B,all,all,c4_union_radius,4,union_radius,0.1,False,15436,1067,1414,194,12761,118,542,407
cohort,B,all,all,c4_union_radius,4,union_radius,0.1,True,564,507,34,1,22,31,353,123
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.1,False,15436,1764,717,183,12772,121,569,1074
cohort,B,all,all,c8_centroid_distance,8,centroid_distance,0.1,True,564,521,20,0,23,33,250,238
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.1,False,15436,1534,947,244,12711,143,601,790
cohort,B,all,all,c8_assigned_radius,8,assigned_radius,0.1,True,564,515,26,3,20,76,273,166
cohort,B,all,all,c8_union_radius,8,union_radius,0.1,False,15436,1429,1052,279,12676,150,584,695
cohort,B,all,all,c8_union_radius,8,union_radius,0.1,True,564,513,28,3,20,53,328,132
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.1,False,15436,2066,415,168,12787,217,320,1529
cohort,B,all,all,c16_centroid_distance,16,centroid_distance,0.1,True,564,532,9,0,23,61,177,294
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.1,False,15436,1887,594,495,12460,485,303,1099
cohort,B,all,all,c16_assigned_radius,16,assigned_radius,0.1,True,564,492,49,8,15,104,229,159
cohort,B,all,all,c16_union_radius,16,union_radius,0.1,False,15436,1765,716,440,12515,396,352,1017
cohort,B,all,all,c16_union_radius,16,union_radius,0.1,True,564,484,57,5,18,88,251,145
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.1,False,15436,2080,401,172,12783,174,313,1593
cohort,B,all,all,c32_centroid_distance,32,centroid_distance,0.1,True,564,529,12,4,19,92,137,300
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.1,False,15436,1822,659,555,12400,367,411,1044
cohort,B,all,all,c32_assigned_radius,32,assigned_radius,0.1,True,564,518,23,9,14,153,199,166
cohort,B,all,all,c32_union_radius,32,union_radius,0.1,False,15436,1778,703,635,12320,426,463,889
cohort,B,all,all,c32_union_radius,32,union_radius,0.1,True,564,518,23,9,14,130,216,172
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.1,False,15436,2214,267,311,12644,288,305,1621
cohort,B,all,all,c64_centroid_distance,64,centroid_distance,0.1,True,564,532,9,3,20,99,106,327
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.1,False,15436,1796,685,619,12336,418,459,919
cohort,B,all,all,c64_assigned_radius,64,assigned_radius,0.1,True,564,538,3,11,12,168,183,187
cohort,B,all,all,c64_union_radius,64,union_radius,0.1,False,15436,1815,666,502,12453,342,476,997
cohort,B,all,all,c64_union_radius,64,union_radius,0.1,True,564,533,8,6,17,125,211,197
suite,all,libero_goal,all,knn20,0,knn20,0.02,False,7792,1143,0,0,6649,0,0,1143
suite,all,libero_goal,all,knn20,0,knn20,0.02,True,208,167,0,0,41,0,0,167
