level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,both,removed_from_knn20,new_vs_knn20,neither,earlier,later,same_query
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,False,30904,1311,879,233,28481,92,540,679
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,True,1096,806,65,19,206,100,378,328
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,False,30904,1300,890,178,28536,96,492,712
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,True,1096,809,62,19,206,92,394,323
all,all,all,all,c2_union_radius,2,union_radius,0.03,False,30904,1298,892,178,28536,96,492,710
all,all,all,all,c2_union_radius,2,union_radius,0.03,True,1096,809,62,19,206,91,398,320
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,False,30904,902,1288,83,28631,57,681,164
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.03,True,1096,827,44,24,201,126,326,375
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,False,30904,850,1340,99,28615,59,609,182
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.03,True,1096,805,66,36,189,90,394,321
all,all,all,all,c4_union_radius,4,union_radius,0.03,False,30904,902,1288,95,28619,62,637,203
all,all,all,all,c4_union_radius,4,union_radius,0.03,True,1096,825,46,40,185,118,376,331
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,False,30904,1508,682,77,28637,52,764,692
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,True,1096,845,26,20,205,100,273,472
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,False,30904,1264,926,258,28456,60,730,474
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,True,1096,817,54,53,172,93,433,291
all,all,all,all,c8_union_radius,8,union_radius,0.03,False,30904,1390,800,196,28518,59,807,524
all,all,all,all,c8_union_radius,8,union_radius,0.03,True,1096,825,46,21,204,64,420,341
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.03,False,30904,1670,520,192,28522,100,413,1157
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.03,True,1096,839,32,32,193,63,290,486
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.03,False,30904,1497,693,462,28252,114,464,919
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.03,True,1096,603,268,38,187,114,242,247
all,all,all,all,c16_union_radius,16,union_radius,0.03,False,30904,1230,960,415,28299,60,383,787
all,all,all,all,c16_union_radius,16,union_radius,0.03,True,1096,753,118,86,139,154,364,235
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.03,False,30904,1868,322,209,28505,199,282,1387
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.03,True,1096,834,37,45,180,157,216,461
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.03,False,30904,1448,742,259,28455,150,431,867
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.03,True,1096,780,91,45,180,135,381,264
all,all,all,all,c32_union_radius,32,union_radius,0.03,False,30904,1076,1114,315,28399,46,529,501
all,all,all,all,c32_union_radius,32,union_radius,0.03,True,1096,813,58,42,183,126,237,450
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.03,False,30904,1996,194,328,28386,135,456,1405
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.03,True,1096,793,78,61,164,166,180,447
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.03,False,30904,1456,734,384,28330,147,594,715
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.03,True,1096,785,86,66,159,219,318,248
all,all,all,all,c64_union_radius,64,union_radius,0.03,False,30904,1499,691,380,28334,85,782,632
all,all,all,all,c64_union_radius,64,union_radius,0.03,True,1096,793,78,42,183,173,276,344
all,all,all,all,knn20,0,knn20,0.05,False,30904,2754,0,0,28150,0,0,2754
all,all,all,all,knn20,0,knn20,0.05,True,1096,977,0,0,119,0,0,977
all,all,all,all,norm_only,0,norm_only,0.05,False,30904,1175,1579,292,27858,114,716,345
all,all,all,all,norm_only,0,norm_only,0.05,True,1096,809,168,15,104,88,525,196
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.05,False,30904,1408,1346,313,27837,132,592,684
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.05,True,1096,816,161,15,104,91,523,202
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.05,False,30904,1408,1346,313,27837,132,592,684
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.05,True,1096,816,161,15,104,91,523,202
all,all,all,all,c1_union_radius,1,union_radius,0.05,False,30904,1408,1346,313,27837,132,592,684
all,all,all,all,c1_union_radius,1,union_radius,0.05,True,1096,816,161,15,104,91,523,202
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.05,False,30904,1731,1023,221,27929,174,629,928
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.05,True,1096,869,108,14,105,117,494,258
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.05,False,30904,1730,1024,210,27940,185,583,962
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.05,True,1096,865,112,7,112,65,503,297
all,all,all,all,c2_union_radius,2,union_radius,0.05,False,30904,1732,1022,218,27932,185,585,962
all,all,all,all,c2_union_radius,2,union_radius,0.05,True,1096,864,113,7,112,64,501,299
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.05,False,30904,1164,1590,115,28035,67,820,277
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.05,True,1096,914,63,17,102,116,467,331
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.05,False,30904,1059,1695,161,27989,73,702,284
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.05,True,1096,917,60,25,94,97,534,286
all,all,all,all,c4_union_radius,4,union_radius,0.05,False,30904,1047,1707,141,28009,66,692,289
all,all,all,all,c4_union_radius,4,union_radius,0.05,True,1096,904,73,10,109,80,521,303
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.05,False,30904,1771,983,194,27956,116,878,777
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.05,True,1096,919,58,1,118,66,424,429
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.05,False,30904,1518,1236,354,27796,132,889,497
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.05,True,1096,898,79,22,97,130,511,257
all,all,all,all,c8_union_radius,8,union_radius,0.05,False,30904,1577,1177,292,27858,77,939,561
all,all,all,all,c8_union_radius,8,union_radius,0.05,True,1096,890,87,10,109,67,552,271
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.05,False,30904,2154,600,117,28033,130,502,1522
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.05,True,1096,921,56,4,115,36,464,421
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.05,False,30904,1719,1035,704,27446,227,494,998
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.05,True,1096,762,215,32,87,217,308,237
all,all,all,all,c16_union_radius,16,union_radius,0.05,False,30904,1331,1423,423,27727,72,460,799
all,all,all,all,c16_union_radius,16,union_radius,0.05,True,1096,813,164,42,77,153,417,243
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.05,False,30904,2381,373,486,27664,299,307,1775
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.05,True,1096,951,26,40,79,256,232,463
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.05,False,30904,1960,794,946,27204,391,495,1074
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.05,True,1096,922,55,60,59,354,292,276
all,all,all,all,c32_union_radius,32,union_radius,0.05,False,30904,1322,1432,477,27673,89,449,784
all,all,all,all,c32_union_radius,32,union_radius,0.05,True,1096,892,85,29,90,183,442,267
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.05,False,30904,2371,383,237,27913,170,422,1779
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.05,True,1096,944,33,33,86,222,232,490
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.05,False,30904,1853,901,598,27552,229,589,1035
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.05,True,1096,945,32,54,65,314,312,319
all,all,all,all,c64_union_radius,64,union_radius,0.05,False,30904,1957,797,598,27552,169,709,1079
all,all,all,all,c64_union_radius,64,union_radius,0.05,True,1096,943,34,37,82,231,284,428
all,all,all,all,knn20,0,knn20,0.1,False,30904,4874,0,0,26030,0,0,4874
all,all,all,all,knn20,0,knn20,0.1,True,1096,1050,0,0,46,0,0,1050
all,all,all,all,norm_only,0,norm_only,0.1,False,30904,2366,2508,442,25588,322,1017,1027
all,all,all,all,norm_only,0,norm_only,0.1,True,1096,916,134,4,42,86,685,145
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.1,False,30904,2497,2377,445,25585,419,756,1322
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.1,True,1096,918,132,4,42,95,673,150
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.1,False,30904,2497,2377,445,25585,419,756,1322
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.1,True,1096,918,132,4,42,95,673,150
all,all,all,all,c1_union_radius,1,union_radius,0.1,False,30904,2497,2377,445,25585,419,756,1322
all,all,all,all,c1_union_radius,1,union_radius,0.1,True,1096,918,132,4,42,95,673,150
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.1,False,30904,2772,2102,344,25686,335,782,1655
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.1,True,1096,954,96,3,43,95,661,198
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.1,False,30904,2802,2072,355,25675,394,768,1640
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.1,True,1096,947,103,3,43,64,670,213
all,all,all,all,c2_union_radius,2,union_radius,0.1,False,30904,2811,2063,390,25640,406,758,1647
all,all,all,all,c2_union_radius,2,union_radius,0.1,True,1096,942,108,3,43,68,664,210
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.1,False,30904,2359,2515,257,25773,160,1224,975
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.1,True,1096,1016,34,2,44,69,629,318
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.1,False,30904,2030,2844,317,25713,206,1074,750
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.1,True,1096,1014,36,4,42,99,684,231
all,all,all,all,c4_union_radius,4,union_radius,0.1,False,30904,2063,2811,409,25621,219,1074,770
all,all,all,all,c4_union_radius,4,union_radius,0.1,True,1096,995,55,2,44,60,690,245
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.1,False,30904,3458,1416,334,25696,238,1171,2049
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.1,True,1096,1016,34,1,45,69,486,461
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.1,False,30904,2947,1927,510,25520,276,1205,1466
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.1,True,1096,1005,45,8,38,147,538,320
all,all,all,all,c8_union_radius,8,union_radius,0.1,False,30904,2778,2096,575,25455,277,1189,1312
all,all,all,all,c8_union_radius,8,union_radius,0.1,True,1096,999,51,6,40,96,642,261
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.1,False,30904,4020,854,331,25699,396,698,2926
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.1,True,1096,1036,14,3,43,129,351,556
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.1,False,30904,3667,1207,998,25032,925,619,2123
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.1,True,1096,963,87,16,30,212,439,312
all,all,all,all,c16_union_radius,16,union_radius,0.1,False,30904,3388,1486,913,25117,721,707,1960
all,all,all,all,c16_union_radius,16,union_radius,0.1,True,1096,951,99,15,31,195,483,273
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.1,False,30904,4084,790,351,25679,359,627,3098
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.1,True,1096,1036,14,11,35,180,269,587
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.1,False,30904,3552,1322,1114,24916,731,844,1977
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.1,True,1096,1012,38,20,26,291,402,319
all,all,all,all,c32_union_radius,32,union_radius,0.1,False,30904,3483,1391,1306,24724,812,920,1751
all,all,all,all,c32_union_radius,32,union_radius,0.1,True,1096,1010,40,22,24,261,427,322
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.1,False,30904,4306,568,614,25416,571,584,3151
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.1,True,1096,1036,14,8,38,216,210,610
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.1,False,30904,3476,1398,1245,24785,853,877,1746
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.1,True,1096,1045,5,21,25,332,352,361
all,all,all,all,c64_union_radius,64,union_radius,0.1,False,30904,3537,1337,1002,25028,655,951,1931
all,all,all,all,c64_union_radius,64,union_radius,0.1,True,1096,1037,13,17,29,251,402,384
cohort,A,all,all,knn20,0,knn20,0.02,False,15468,635,0,0,14833,0,0,635
cohort,A,all,all,knn20,0,knn20,0.02,True,532,378,0,0,154,0,0,378
cohort,A,all,all,norm_only,0,norm_only,0.02,False,15468,240,395,233,14600,133,61,46
cohort,A,all,all,norm_only,0,norm_only,0.02,True,532,336,42,22,132,84,132,120
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,15468,285,350,254,14579,147,88,50
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,532,337,41,23,131,74,130,133
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,15468,285,350,254,14579,147,88,50
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,532,337,41,23,131,74,130,133
cohort,A,all,all,c1_union_radius,1,union_radius,0.02,False,15468,285,350,254,14579,147,88,50
cohort,A,all,all,c1_union_radius,1,union_radius,0.02,True,532,337,41,23,131,74,130,133
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,15468,309,326,173,14660,86,98,125
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,532,358,20,19,135,90,102,166
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,15468,311,324,171,14662,88,98,125
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,532,357,21,15,139,74,110,173
cohort,A,all,all,c2_union_radius,2,union_radius,0.02,False,15468,311,324,171,14662,88,98,125
cohort,A,all,all,c2_union_radius,2,union_radius,0.02,True,532,357,21,15,139,74,114,169
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,15468,162,473,23,14810,14,43,105
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,532,359,19,7,147,38,91,230
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,15468,159,476,19,14814,13,38,108
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,532,345,33,7,147,41,154,150
cohort,A,all,all,c4_union_radius,4,union_radius,0.02,False,15468,165,470,14,14819,13,43,109
cohort,A,all,all,c4_union_radius,4,union_radius,0.02,True,532,352,26,8,146,44,135,173
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,15468,408,227,26,14807,9,209,190
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,532,355,23,3,151,25,110,220
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,15468,212,423,70,14763,7,141,64
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,532,303,75,11,143,27,176,100
cohort,A,all,all,c8_union_radius,8,union_radius,0.02,False,15468,307,328,50,14783,7,174,126
cohort,A,all,all,c8_union_radius,8,union_radius,0.02,True,532,353,25,12,142,27,145,181
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,15468,445,190,13,14820,6,169,270
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,532,356,22,2,152,18,130,208
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,15468,243,392,138,14695,25,96,122
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,532,243,135,20,134,41,101,101
cohort,A,all,all,c16_union_radius,16,union_radius,0.02,False,15468,204,431,52,14781,0,83,121
cohort,A,all,all,c16_union_radius,16,union_radius,0.02,True,532,285,93,29,125,31,130,124
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,15468,509,126,90,14743,66,97,346
cohort,A,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,532,362,16,16,138,32,132,198
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,15468,277,358,197,14636,102,86,89
cohort,A,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,532,321,57,15,139,82,162,77
cohort,A,all,all,c32_union_radius,32,union_radius,0.02,False,15468,193,442,113,14720,53,8,132
cohort,A,all,all,c32_union_radius,32,union_radius,0.02,True,532,342,36,17,137,59,107,176
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.02,False,15468,417,218,22,14811,3,147,267
cohort,A,all,all,c64_centroid_distance,64,centroid_distance,0.02,True,532,311,67,10,144,57,67,187
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.02,False,15468,316,319,233,14600,145,92,79
cohort,A,all,all,c64_assigned_radius,64,assigned_radius,0.02,True,532,300,78,21,133,93,119,88
cohort,A,all,all,c64_union_radius,64,union_radius,0.02,False,15468,258,377,109,14724,66,69,123
cohort,A,all,all,c64_union_radius,64,union_radius,0.02,True,532,326,52,23,131,126,105,95
cohort,A,all,all,knn20,0,knn20,0.03,False,15468,1071,0,0,14397,0,0,1071
cohort,A,all,all,knn20,0,knn20,0.03,True,532,420,0,0,112,0,0,420
cohort,A,all,all,norm_only,0,norm_only,0.03,False,15468,496,575,138,14259,46,338,112
cohort,A,all,all,norm_only,0,norm_only,0.03,True,532,371,49,13,99,63,177,131
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.03,False,15468,555,516,122,14275,47,288,220
cohort,A,all,all,c1_centroid_distance,1,centroid_distance,0.03,True,532,371,49,13,99,61,174,136
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.03,False,15468,555,516,122,14275,47,288,220
cohort,A,all,all,c1_assigned_radius,1,assigned_radius,0.03,True,532,371,49,13,99,61,174,136
cohort,A,all,all,c1_union_radius,1,union_radius,0.03,False,15468,555,516,122,14275,47,288,220
cohort,A,all,all,c1_union_radius,1,union_radius,0.03,True,532,371,49,13,99,61,174,136
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.03,False,15468,651,420,103,14294,44,271,336
cohort,A,all,all,c2_centroid_distance,2,centroid_distance,0.03,True,532,391,29,10,102,53,178,160
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.03,False,15468,647,424,84,14313,49,248,350
cohort,A,all,all,c2_assigned_radius,2,assigned_radius,0.03,True,532,392,28,10,102,46,190,156
cohort,A,all,all,c2_union_radius,2,union_radius,0.03,False,15468,647,424,84,14313,49,248,350
cohort,A,all,all,c2_union_radius,2,union_radius,0.03,True,532,392,28,10,102,45,191,156
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.03,False,15468,434,637,32,14365,28,333,73
cohort,A,all,all,c4_centroid_distance,4,centroid_distance,0.03,True,532,401,19,12,100,64,150,187
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.03,False,15468,402,669,40,14357,30,298,74
cohort,A,all,all,c4_assigned_radius,4,assigned_radius,0.03,True,532,389,31,17,95,48,193,148
cohort,A,all,all,c4_union_radius,4,union_radius,0.03,False,15468,432,639,34,14363,31,316,85
cohort,A,all,all,c4_union_radius,4,union_radius,0.03,True,532,402,18,20,92,62,187,153
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.03,False,15468,746,325,33,14364,23,389,334
cohort,A,all,all,c8_centroid_distance,8,centroid_distance,0.03,True,532,412,8,12,100,51,141,220
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.03,False,15468,610,461,117,14280,26,357,227
cohort,A,all,all,c8_assigned_radius,8,assigned_radius,0.03,True,532,394,26,30,82,42,217,135
cohort,A,all,all,c8_union_radius,8,union_radius,0.03,False,15468,683,388,91,14306,27,403,253
cohort,A,all,all,c8_union_radius,8,union_radius,0.03,True,532,403,17,10,102,34,206,163
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.03,False,15468,819,252,81,14316,42,209,568
cohort,A,all,all,c16_centroid_distance,16,centroid_distance,0.03,True,532,407,13,20,92,31,139,237
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.03,False,15468,720,351,220,14177,48,224,448
cohort,A,all,all,c16_assigned_radius,16,assigned_radius,0.03,True,532,292,128,20,92,52,121,119
cohort,A,all,all,c16_union_radius,16,union_radius,0.03,False,15468,591,480,195,14202,23,179,389
cohort,A,all,all,c16_union_radius,16,union_radius,0.03,True,532,366,54,44,68,76,180,110
