level,cohort,suite,task,method,clusters,variant,calibration,alpha,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
suite,all,libero_goal,all,knn20,0,knn20,episode,0.02,8000,208,7792,208,0,2397,5395,1.0,0.3076232032854209,0.07984644913627639
suite,all,libero_goal,all,norm_only,0,norm_only,episode,0.02,8000,208,7792,189,19,1039,6753,0.9086538461538461,0.13334188911704312,0.15390879478827363
suite,all,libero_goal,all,c1_centroid_distance,1,centroid_distance,episode,0.02,8000,208,7792,191,17,1290,6502,0.9182692307692307,0.16555441478439425,0.1289669142471303
suite,all,libero_goal,all,c1_assigned_radius,1,assigned_radius,episode,0.02,8000,208,7792,191,17,1290,6502,0.9182692307692307,0.16555441478439425,0.1289669142471303
suite,all,libero_goal,all,c1_union_radius,1,union_radius,episode,0.02,8000,208,7792,191,17,1290,6502,0.9182692307692307,0.16555441478439425,0.1289669142471303
suite,all,libero_goal,all,c2_centroid_distance,2,centroid_distance,episode,0.02,8000,208,7792,204,4,1745,6047,0.9807692307692307,0.2239476386036961,0.10466906105695228
suite,all,libero_goal,all,c2_assigned_radius,2,assigned_radius,episode,0.02,8000,208,7792,204,4,1746,6046,0.9807692307692307,0.22407597535934293,0.10461538461538461
suite,all,libero_goal,all,c2_union_radius,2,union_radius,episode,0.02,8000,208,7792,204,4,1746,6046,0.9807692307692307,0.22407597535934293,0.10461538461538461
suite,all,libero_goal,all,c4_centroid_distance,4,centroid_distance,episode,0.02,8000,208,7792,202,6,1151,6641,0.9711538461538461,0.14771560574948664,0.14929785661492978
suite,all,libero_goal,all,c4_assigned_radius,4,assigned_radius,episode,0.02,8000,208,7792,203,5,1007,6785,0.9759615384615384,0.12923511293634496,0.16776859504132233
suite,all,libero_goal,all,c4_union_radius,4,union_radius,episode,0.02,8000,208,7792,201,7,986,6806,0.9663461538461539,0.12654004106776182,0.16933445661331087
suite,all,libero_goal,all,c8_centroid_distance,8,centroid_distance,episode,0.02,8000,208,7792,208,0,1638,6154,1.0,0.21021560574948664,0.11267605633802817
suite,all,libero_goal,all,c8_assigned_radius,8,assigned_radius,episode,0.02,8000,208,7792,207,1,1679,6113,0.9951923076923077,0.21547741273100615,0.10975609756097561
suite,all,libero_goal,all,c8_union_radius,8,union_radius,episode,0.02,8000,208,7792,207,1,1678,6114,0.9951923076923077,0.21534907597535935,0.10981432360742706
suite,all,libero_goal,all,c16_centroid_distance,16,centroid_distance,episode,0.02,8000,208,7792,208,0,2277,5515,1.0,0.2922227926078029,0.08370221327967807
suite,all,libero_goal,all,c16_assigned_radius,16,assigned_radius,episode,0.02,8000,208,7792,208,0,2188,5604,1.0,0.28080082135523615,0.08681135225375626
suite,all,libero_goal,all,c16_union_radius,16,union_radius,episode,0.02,8000,208,7792,208,0,1929,5863,1.0,0.24756160164271046,0.09733270940570894
suite,all,libero_goal,all,c32_centroid_distance,32,centroid_distance,episode,0.02,8000,208,7792,208,0,2570,5222,1.0,0.3298254620123203,0.07487401007919367
suite,all,libero_goal,all,c32_assigned_radius,32,assigned_radius,episode,0.02,8000,208,7792,208,0,2898,4894,1.0,0.37191991786447637,0.0669671603348358
suite,all,libero_goal,all,c32_union_radius,32,union_radius,episode,0.02,8000,208,7792,208,0,2153,5639,1.0,0.27630903490759756,0.08809826344769166
suite,all,libero_goal,all,c64_centroid_distance,64,centroid_distance,episode,0.02,8000,208,7792,208,0,2639,5153,1.0,0.33868069815195073,0.0730593607305936
suite,all,libero_goal,all,c64_assigned_radius,64,assigned_radius,episode,0.02,8000,208,7792,208,0,2629,5163,1.0,0.33739733059548255,0.07331688403242863
suite,all,libero_goal,all,c64_union_radius,64,union_radius,episode,0.02,8000,208,7792,208,0,2492,5300,1.0,0.31981519507186856,0.07703703703703704
suite,all,libero_goal,all,knn20,0,knn20,episode,0.03,8000,208,7792,208,0,3028,4764,1.0,0.3886036960985626,0.06427688504326329
suite,all,libero_goal,all,norm_only,0,norm_only,episode,0.03,8000,208,7792,191,17,1183,6609,0.9182692307692307,0.1518223819301848,0.13901018922852984
suite,all,libero_goal,all,c1_centroid_distance,1,centroid_distance,episode,0.03,8000,208,7792,191,17,1436,6356,0.9182692307692307,0.18429158110882957,0.1173939766441303
suite,all,libero_goal,all,c1_assigned_radius,1,assigned_radius,episode,0.03,8000,208,7792,191,17,1436,6356,0.9182692307692307,0.18429158110882957,0.1173939766441303
suite,all,libero_goal,all,c1_union_radius,1,union_radius,episode,0.03,8000,208,7792,191,17,1436,6356,0.9182692307692307,0.18429158110882957,0.1173939766441303
suite,all,libero_goal,all,c2_centroid_distance,2,centroid_distance,episode,0.03,8000,208,7792,205,3,1861,5931,0.9855769230769231,0.2388347022587269,0.09922555663117134
suite,all,libero_goal,all,c2_assigned_radius,2,assigned_radius,episode,0.03,8000,208,7792,205,3,1864,5928,0.9855769230769231,0.23921971252566734,0.09908168197196714
suite,all,libero_goal,all,c2_union_radius,2,union_radius,episode,0.03,8000,208,7792,205,3,1862,5930,0.9855769230769231,0.2389630390143737,0.09917755200774069
suite,all,libero_goal,all,c4_centroid_distance,4,centroid_distance,episode,0.03,8000,208,7792,207,1,1391,6401,0.9951923076923077,0.1785164271047228,0.1295369211514393
suite,all,libero_goal,all,c4_assigned_radius,4,assigned_radius,episode,0.03,8000,208,7792,203,5,1118,6674,0.9759615384615384,0.14348049281314168,0.15367146101438303
suite,all,libero_goal,all,c4_union_radius,4,union_radius,episode,0.03,8000,208,7792,203,5,1141,6651,0.9759615384615384,0.14643223819301848,0.15104166666666666
suite,all,libero_goal,all,c8_centroid_distance,8,centroid_distance,episode,0.03,8000,208,7792,208,0,1929,5863,1.0,0.24756160164271046,0.09733270940570894
