method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances,fold,suite
knn20,0,knn20,episode,0.02,1.798497438430786,540,531,9,libero_goal_full_0,libero_goal
knn20,0,knn20,episode,0.03,1.7034168243408203,540,525,15,libero_goal_full_0,libero_goal
knn20,0,knn20,episode,0.05,1.6210957765579224,540,514,26,libero_goal_full_0,libero_goal
knn20,0,knn20,episode,0.1,1.4215459823608398,540,487,53,libero_goal_full_0,libero_goal
knn20,0,knn20,task_init,0.02,2.1338112354278564,70,70,0,libero_goal_full_0,libero_goal
knn20,0,knn20,task_init,0.03,2.048833131790161,70,69,1,libero_goal_full_0,libero_goal
knn20,0,knn20,task_init,0.05,1.9599847793579104,70,68,2,libero_goal_full_0,libero_goal
knn20,0,knn20,task_init,0.1,1.83131206035614,70,64,6,libero_goal_full_0,libero_goal
norm_only,0,norm_only,episode,0.02,6.6492204666137695,540,531,9,libero_goal_full_0,libero_goal
norm_only,0,norm_only,episode,0.03,6.356774806976318,540,525,15,libero_goal_full_0,libero_goal
norm_only,0,norm_only,episode,0.05,5.7772603034973145,540,514,26,libero_goal_full_0,libero_goal
norm_only,0,norm_only,episode,0.1,5.2921142578125,540,487,53,libero_goal_full_0,libero_goal
norm_only,0,norm_only,task_init,0.02,7.359172821044922,70,70,0,libero_goal_full_0,libero_goal
norm_only,0,norm_only,task_init,0.03,7.051754474639893,70,69,1,libero_goal_full_0,libero_goal
norm_only,0,norm_only,task_init,0.05,6.996034145355225,70,68,2,libero_goal_full_0,libero_goal
norm_only,0,norm_only,task_init,0.1,5.8004961013793945,70,64,6,libero_goal_full_0,libero_goal
c1_centroid_distance,1,centroid_distance,episode,0.02,6.376410484313965,540,531,9,libero_goal_full_0,libero_goal
c1_centroid_distance,1,centroid_distance,episode,0.03,6.073183536529541,540,525,15,libero_goal_full_0,libero_goal
c1_centroid_distance,1,centroid_distance,episode,0.05,5.767582893371582,540,514,26,libero_goal_full_0,libero_goal
c1_centroid_distance,1,centroid_distance,episode,0.1,5.137012004852295,540,487,53,libero_goal_full_0,libero_goal
c1_centroid_distance,1,centroid_distance,task_init,0.02,7.242669582366943,70,70,0,libero_goal_full_0,libero_goal
c1_centroid_distance,1,centroid_distance,task_init,0.03,7.0924811363220215,70,69,1,libero_goal_full_0,libero_goal
c1_centroid_distance,1,centroid_distance,task_init,0.05,6.684494972229004,70,68,2,libero_goal_full_0,libero_goal
c1_centroid_distance,1,centroid_distance,task_init,0.1,5.855499267578125,70,64,6,libero_goal_full_0,libero_goal
c1_assigned_radius,1,assigned_radius,episode,0.02,1.1575942039489746,540,531,9,libero_goal_full_0,libero_goal
