方法,校准,recall,fpr,balanced_accuracy,t_det
stats_contrast__cumsum,episode,0.5223020478587705,0.23176393093904538,0.6452690584598626,0.6603803431771297
stats_contrast__cumsum,task_init,0.3994913719178425,0.05845126955742175,0.6705200511802104,0.7868548948360069
success_only__cumsum,episode,0.9894688644688645,0.29056160663343333,0.8494536289177156,0.5193780143468323
success_only__cumsum,task_init,0.8608821733821733,0.08536156816346986,0.8877603026093518,0.7094463998404299
v7_guard_constant,episode,0.7563851636225586,0.059270840071547815,0.8485571617755053,0.7490118413862684
v7_guard_constant,task_init,0.6723758376699553,0.03647718839810495,0.8179493246359252,0.8095949014881064
v7_guard_timeband,episode,0.752313261357379,0.07214541766217623,0.8400839218476014,0.7377962918155201
v7_guard_timeband,task_init,0.641967088700282,0.03833084677789033,0.8018181209611958,0.8109163439031121
v7_turbulence_constant,episode,0.7673660392672997,0.05736490736019558,0.8550005659535521,0.7274299157695908
v7_turbulence_constant,task_init,0.710086687355595,0.012234888638908857,0.848925899358343,0.7887710754582731
v7_success_fusion_constant,episode,0.8799679051884933,0.17366510233756385,0.8531514014254648,0.6317566764889295
v7_success_fusion_constant,task_init,0.3684028506507498,0.044458904908982355,0.6619719728708837,0.8757657183110039
clock,episode,1.0,0.06131055416273249,0.9693447229186337,0.7014346764346765
clock,task_init,1.0,0.04955721348653194,0.9752213932567341,0.7297494172494172
