method,baseline,tasks,macro_auc_difference,lo,hi,scope
stats_contrast__cumsum,behavior_contrast__cumsum,24,-0.03274369812425084,-0.1382542166708752,0.07267183718987436,"conditional on recorded tasks, fitted references and shared noise seeds"
stats_contrast__cumsum,stats_contrast__current,24,-0.03831126083848027,-0.11149300543167319,0.02428868087117853,"conditional on recorded tasks, fitted references and shared noise seeds"
stats_contrast__cumsum,stats_success__cumsum,24,-0.22115586585763794,-0.31135472305194484,-0.13070367892456727,"conditional on recorded tasks, fitted references and shared noise seeds"
stats_contrast__cumsum,clock,24,-0.04150410383963531,-0.09238437705263366,0.010713515734422991,"conditional on recorded tasks, fitted references and shared noise seeds"
