fold,suite,seed,reference_cap,method,calibration,alpha,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.01,seen,560,12,548,11,16,0.9166666666666666,0.029197080291970802,0.4074074074074074,0.9437347931873479,0.38055555555555554,10.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.01,unseen,1200,78,1122,31,71,0.3974358974358974,0.06327985739750445,0.30392156862745096,0.6670780200191965,0.8380341880341882,20.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.03,seen,560,12,548,11,35,0.9166666666666666,0.06386861313868614,0.2391304347826087,0.9263990267639902,0.3305555555555556,6.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.03,unseen,1200,78,1122,78,1116,1.0,0.9946524064171123,0.06532663316582915,0.5026737967914439,0.13418803418803416,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,seen,560,12,548,11,47,0.9166666666666666,0.08576642335766424,0.1896551724137931,0.9154501216545011,0.3305555555555556,6.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.05,unseen,1200,78,1122,78,1122,1.0,1.0,0.065,0.5,0.12777777777777774,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.1,seen,560,12,548,11,59,0.9166666666666666,0.10766423357664233,0.15714285714285714,0.9045012165450121,0.2638888888888889,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.1,unseen,1200,78,1122,78,1122,1.0,1.0,0.065,0.5,0.12136752136752132,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.15,seen,560,12,548,11,77,0.9166666666666666,0.14051094890510948,0.125,0.8880778588807785,0.2333333333333333,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.15,unseen,1200,78,1122,78,1122,1.0,1.0,0.065,0.5,0.11666666666666664,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.2,seen,560,12,548,11,92,0.9166666666666666,0.1678832116788321,0.10679611650485436,0.8743917274939172,0.2111111111111111,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,episode,0.2,unseen,1200,78,1122,78,1122,1.0,1.0,0.065,0.5,0.10726495726495723,3.0
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.01,seen,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.01,unseen,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,load_contrast__current,task_init,0.03,seen,560,12,548,11,14,0.9166666666666666,0.025547445255474453,0.44,0.945559610705596,0.38055555555555554,10.0
