episode_id,scene,repeat,success,n_queries,loop_onset_q,static_onset_q,trap_onset_q,proxy_grade
0,0,0,0,52,33,-1,33,full
1,0,1,1,43,-1,-1,-1,full
2,0,2,1,37,-1,-1,-1,full
3,0,3,0,52,40,-1,40,full
4,0,4,1,37,-1,-1,-1,full
5,0,5,0,52,-1,37,37,full
6,0,6,1,46,-1,-1,-1,full
7,0,7,1,39,-1,-1,-1,full
8,1,0,0,52,-1,36,36,full
9,1,1,1,38,-1,-1,-1,full
10,1,2,0,52,-1,36,36,full
11,1,3,1,47,-1,-1,-1,full
12,1,4,1,37,-1,-1,-1,full
13,1,5,0,52,35,-1,35,full
14,1,6,0,52,33,-1,33,full
15,1,7,0,52,-1,37,37,full
16,2,0,0,52,-1,37,37,full
17,2,1,0,52,-1,36,36,full
18,2,2,0,52,-1,36,36,full
19,2,3,0,52,33,-1,33,full
20,2,4,0,52,-1,37,37,full
21,2,5,0,52,-1,37,37,full
22,2,6,0,52,33,-1,33,full
23,2,7,0,52,40,-1,40,full
24,3,0,0,52,-1,38,38,full
25,3,1,0,52,-1,38,38,full
26,3,2,0,52,44,-1,44,full
27,3,3,0,52,-1,38,38,full
28,3,4,0,52,46,-1,46,full
29,3,5,0,52,-1,38,38,full
30,3,6,0,52,-1,39,39,full
31,3,7,1,37,-1,-1,-1,full
32,4,0,0,52,38,-1,38,full
33,4,1,1,39,-1,-1,-1,full
34,4,2,1,39,-1,-1,-1,full
35,4,3,1,40,-1,-1,-1,full
36,4,4,1,39,-1,-1,-1,full
37,4,5,1,40,-1,-1,-1,full
38,4,6,1,41,-1,-1,-1,full
39,4,7,1,40,-1,-1,-1,full
40,5,0,1,38,-1,-1,-1,full
41,5,1,1,39,-1,-1,-1,full
42,5,2,1,39,-1,-1,-1,full
43,5,3,1,39,-1,-1,-1,full
44,5,4,1,38,-1,-1,-1,full
45,5,5,1,38,-1,-1,-1,full
46,5,6,1,39,-1,-1,-1,full
47,5,7,1,39,-1,-1,-1,full
48,6,0,1,37,-1,-1,-1,full
49,6,1,1,38,-1,-1,-1,full
50,6,2,1,38,-1,-1,-1,full
51,6,3,1,38,-1,-1,-1,full
52,6,4,1,38,-1,-1,-1,full
53,6,5,1,38,-1,-1,-1,full
54,6,6,1,38,-1,-1,-1,full
55,6,7,1,38,-1,-1,-1,full
56,7,0,1,38,-1,-1,-1,full
57,7,1,1,41,-1,-1,-1,full
58,7,2,1,42,-1,-1,-1,full
59,7,3,1,39,-1,-1,-1,full
60,7,4,1,39,-1,-1,-1,full
61,7,5,1,40,-1,-1,-1,full
62,7,6,1,44,-1,-1,-1,full
63,7,7,1,42,-1,-1,-1,full
64,8,0,1,40,-1,-1,-1,full
65,8,1,0,52,44,-1,44,full
66,8,2,1,39,-1,-1,-1,full
67,8,3,1,41,-1,-1,-1,full
68,8,4,0,52,46,-1,46,full
69,8,5,0,52,43,-1,43,full
70,8,6,0,52,50,-1,50,full
71,8,7,0,52,46,-1,46,full
72,9,0,1,40,-1,-1,-1,full
73,9,1,1,38,-1,-1,-1,full
74,9,2,1,38,-1,-1,-1,full
75,9,3,1,38,20,-1,20,full
76,9,4,1,37,-1,-1,-1,full
77,9,5,1,39,-1,-1,-1,full
78,9,6,1,37,-1,-1,-1,full
79,9,7,1,37,-1,-1,-1,full
80,10,0,1,44,31,-1,31,full
81,10,1,0,52,49,-1,49,full
82,10,2,1,46,33,-1,33,full
83,10,3,1,48,35,-1,35,full
84,10,4,0,52,48,35,35,full
85,10,5,0,52,-1,-1,-1,full
86,10,6,0,52,43,-1,43,full
87,10,7,1,38,-1,-1,-1,full
88,11,0,1,37,-1,-1,-1,full
89,11,1,0,52,-1,38,38,full
90,11,2,1,38,-1,-1,-1,full
91,11,3,0,52,47,-1,47,full
92,11,4,0,52,-1,36,36,full
93,11,5,1,36,-1,-1,-1,full
94,11,6,0,52,-1,-1,-1,full
95,11,7,1,37,-1,-1,-1,full
96,12,0,0,52,46,-1,46,full
97,12,1,0,52,-1,-1,-1,full
98,12,2,0,52,33,-1,33,full
99,12,3,0,52,34,-1,34,full
100,12,4,0,52,45,-1,45,full
101,12,5,0,52,33,-1,33,full
102,12,6,0,52,33,-1,33,full
103,12,7,0,52,35,-1,35,full
104,13,0,0,52,-1,37,37,full
105,13,1,0,52,-1,45,45,full
106,13,2,0,52,-1,37,37,full
107,13,3,0,52,-1,37,37,full
108,13,4,0,52,-1,35,35,full
109,13,5,1,37,-1,-1,-1,full
110,13,6,1,43,-1,-1,-1,full
111,13,7,0,52,-1,37,37,full
112,14,0,1,36,-1,-1,-1,full
113,14,1,1,38,-1,-1,-1,full
114,14,2,1,38,-1,-1,-1,full
115,14,3,1,36,-1,-1,-1,full
116,14,4,1,38,-1,-1,-1,full
117,14,5,1,37,-1,-1,-1,full
118,14,6,1,37,-1,-1,-1,full
119,14,7,1,37,-1,-1,-1,full
120,15,0,1,37,-1,-1,-1,full
121,15,1,0,52,-1,35,35,full
122,15,2,1,36,-1,-1,-1,full
123,15,3,0,52,-1,36,36,full
124,15,4,0,52,-1,34,34,full
125,15,5,0,52,-1,36,36,full
126,15,6,1,35,-1,-1,-1,full
127,15,7,1,36,-1,-1,-1,full
128,16,0,0,52,46,37,37,full
129,16,1,1,43,-1,-1,-1,full
130,16,2,1,37,-1,-1,-1,full
131,16,3,0,52,-1,36,36,full
132,16,4,0,52,-1,-1,-1,full
133,16,5,0,52,-1,49,49,full
134,16,6,1,38,-1,-1,-1,full
135,16,7,0,52,50,36,36,full
136,17,0,1,39,-1,-1,-1,full
137,17,1,1,40,-1,-1,-1,full
138,17,2,1,39,-1,-1,-1,full
139,17,3,1,40,-1,-1,-1,full
140,17,4,1,38,-1,-1,-1,full
141,17,5,1,39,-1,-1,-1,full
142,17,6,1,39,-1,-1,-1,full
143,17,7,1,40,-1,-1,-1,full
144,18,0,1,42,-1,-1,-1,full
145,18,1,1,42,-1,-1,-1,full
146,18,2,1,42,-1,-1,-1,full
147,18,3,1,41,-1,-1,-1,full
148,18,4,1,41,-1,-1,-1,full
149,18,5,1,42,-1,-1,-1,full
150,18,6,1,42,-1,-1,-1,full
151,18,7,1,41,-1,-1,-1,full
152,19,0,1,43,-1,-1,-1,full
153,19,1,1,40,-1,-1,-1,full
154,19,2,0,52,-1,38,38,full
155,19,3,0,52,-1,39,39,full
156,19,4,1,39,-1,-1,-1,full
157,19,5,1,40,-1,-1,-1,full
158,19,6,1,40,-1,-1,-1,full
159,19,7,1,40,-1,-1,-1,full
160,20,0,1,38,-1,-1,-1,full
161,20,1,1,40,-1,-1,-1,full
162,20,2,1,39,-1,-1,-1,full
163,20,3,1,40,-1,-1,-1,full
164,20,4,1,40,-1,-1,-1,full
165,20,5,1,39,-1,-1,-1,full
166,20,6,1,39,-1,-1,-1,full
167,20,7,1,40,-1,-1,-1,full
168,21,0,0,52,44,-1,44,full
169,21,1,0,52,-1,37,37,full
170,21,2,0,52,-1,39,39,full
171,21,3,0,52,44,-1,44,full
172,21,4,0,52,47,-1,47,full
173,21,5,0,52,46,-1,46,full
174,21,6,1,40,-1,-1,-1,full
175,21,7,0,52,-1,38,38,full
176,22,0,1,39,-1,-1,-1,full
177,22,1,1,39,-1,-1,-1,full
178,22,2,1,39,-1,-1,-1,full
179,22,3,1,39,-1,-1,-1,full
180,22,4,1,39,-1,-1,-1,full
181,22,5,1,39,-1,-1,-1,full
182,22,6,1,38,-1,-1,-1,full
183,22,7,1,39,-1,-1,-1,full
184,23,0,1,40,-1,-1,-1,full
185,23,1,1,39,-1,-1,-1,full
