calibrator,probability,successful_query_rows
A_dense,0.015625,230
A_dense,0.0163109142166733,26554
A_dense,0.0685584092792046,20726
A_dense,0.1532679738562091,8472
A_dense,0.1625,229
A_dense,0.1630434782608695,222
A_dense,0.1666666666666666,430
A_dense,0.1769230769230769,207
A_dense,0.2038288288288288,2523
A_dense,0.21,191
A_dense,0.2276119402985074,765
A_dense,0.3583333333333333,242
B_proxy,0.0026664033181907,38593
B_proxy,0.0167273554847519,11714
B_proxy,0.0717098785690843,6468
B_proxy,0.0866666666666666,193
B_proxy,0.0979381443298969,631
B_proxy,0.1118769883351007,1979
B_proxy,0.1633663366336633,173
B_proxy,0.1909090909090909,113
B_proxy,0.2180851063829787,186
B_proxy,0.2261904761904762,241
B_proxy,0.3155339805825243,161
B_proxy,0.345,162
B_proxy,0.3712121212121212,104
B_proxy,0.5131578947368421,73
