calibrator,query,surviving_episodes,surviving_successes,surviving_failures,pooled_roc_auc,pooled_average_precision,eligible_tasks,macro_task_roc_auc,pair_weighted_within_task_roc_auc
A_dense,12,9542,9010,532,0.6695676483105656,0.16554730671837428,30,0.5875053879280633,0.5777016529952772
A_dense,13,7223,6691,532,0.7050337227765273,0.20125298424255636,29,0.6179499301585639,0.5799485125858124
A_dense,14,6008,5476,532,0.6935446610499953,0.21707124130513264,28,0.6613889975026472,0.5687547782423619
A_dense,15,5112,4580,532,0.6645130840200939,0.23192361050188914,25,0.6309069737288028,0.5927876512946223
A_dense,16,4754,4222,532,0.6335648304797997,0.1701575218119175,24,0.6252427930211227,0.6474936105947955
A_dense,17,4527,3995,532,0.5868284603875145,0.14383106178826233,22,0.6197858104958271,0.631371594364182
A_dense,18,4259,3727,532,0.5612140426192931,0.1528342826866714,22,0.6468579254111764,0.5704899619415273
A_dense,19,4059,3527,532,0.5761821800034534,0.16898272363564637,22,0.6362090568470365,0.536504450898444
A_dense,20,3976,3444,532,0.5973939640040868,0.21167423624039144,22,0.6023894486411104,0.5441740889208387
A_dense,21,3767,3235,532,0.6216540191281914,0.22750646139114122,21,0.6017639876877329,0.5479417320638462
A_dense,22,3212,2806,406,0.616159865032355,0.2368771918023131,19,0.6183224590837973,0.5688089490231305
A_dense,23,2758,2352,406,0.5982200454073255,0.22800078662427153,16,0.6202962612990208,0.589043151377306
A_dense,24,2194,1788,406,0.5890839036378264,0.25852800084362515,16,0.5949469950123389,0.5794752538521621
A_dense,25,1549,1143,406,0.5960882044916799,0.35444901228937153,14,0.543108798909374,0.559346383612047
A_dense,26,1144,738,406,0.5621103501675411,0.4320715267041463,12,0.5017652809199875,0.4573069842231596
A_dense,27,892,486,406,0.5372650976099252,0.5179025798819855,10,0.49760869556747755,0.451953697619168
A_dense,28,761,392,369,0.4345618328632266,0.4768916727504035,10,0.4503499992481637,0.3206979542719615
A_dense,29,726,357,369,0.39050579581426065,0.4746829688944353,10,0.4809756064654186,0.24374302566555078
A_dense,30,602,335,267,0.3176421264464196,0.3342420719522025,9,0.4012857258297465,0.23008125720721928
A_dense,31,585,318,267,0.3528431441829788,0.3630683493195772,9,0.47929222183022674,0.27471326406692753
