horizon_phase,alarm_query_min,alarm_query_max,tp,fp,failure_recall,success_false_alarm_rate,endpoint_precision
0.1,2,5,532,15468,1.0,1.0,0.03325
0.11,2,5,532,15468,1.0,1.0,0.03325
0.12000000000000001,2,6,532,15468,1.0,1.0,0.03325
0.13,2,6,532,15468,1.0,1.0,0.03325
0.14,3,7,532,15468,1.0,1.0,0.03325
0.15000000000000002,3,7,532,15468,1.0,1.0,0.03325
0.16,3,8,532,15468,1.0,1.0,0.03325
0.17,3,8,532,15468,1.0,1.0,0.03325
0.18,3,9,532,15468,1.0,1.0,0.03325
0.19,4,9,532,15468,1.0,1.0,0.03325
0.2,4,10,532,15468,1.0,1.0,0.03325
0.21000000000000002,4,10,532,15468,1.0,1.0,0.03325
0.22,4,11,532,15468,1.0,1.0,0.03325
0.23,5,11,532,15468,1.0,1.0,0.03325
0.24000000000000002,5,12,532,15347,1.0,0.9921773985001293,0.033503369229800364
0.25,5,12,532,15347,1.0,0.9921773985001293,0.033503369229800364
0.26,5,13,532,15347,1.0,0.9921773985001293,0.033503369229800364
0.27,5,14,532,14662,1.0,0.947892423066977,0.03501382124522838
0.28,6,14,532,14662,1.0,0.947892423066977,0.03501382124522838
0.29000000000000004,6,15,532,14641,1.0,0.9465347814843548,0.035062281684571275
0.30000000000000004,6,15,532,13473,1.0,0.8710240496508922,0.03798643341663691
0.31,6,16,532,13414,1.0,0.8672097232997156,0.03814713896457766
0.32,7,16,532,13398,1.0,0.8661753297129557,0.03819095477386935
0.33,7,17,532,13311,1.0,0.8605508145849495,0.0384309759445207
0.33999999999999997,7,17,532,12950,1.0,0.8372123092836824,0.03946002076843198
0.35,7,18,532,12869,1.0,0.8319756917507112,0.039698529960450715
0.36,7,18,532,12869,1.0,0.8319756917507112,0.039698529960450715
0.37,8,19,532,12486,1.0,0.8072148952676493,0.04086649254877862
0.38,8,19,532,12486,1.0,0.8072148952676493,0.04086649254877862
0.39,8,20,532,12453,1.0,0.8050814584949574,0.04097035040431267
0.4,8,20,532,12425,1.0,0.8032712697181278,0.041058887088060506
0.41000000000000003,9,21,532,11267,1.0,0.7284070338763899,0.04508856682769726
0.42000000000000004,9,21,532,11267,1.0,0.7284070338763899,0.04508856682769726
0.43000000000000005,9,22,532,10284,1.0,0.664856477889837,0.04918639053254438
0.44000000000000006,9,22,532,9721,1.0,0.628458753555728,0.051887252511460064
0.45000000000000007,9,23,532,9274,1.0,0.5995603827256271,0.05425249847032429
0.45999999999999996,10,23,532,8347,1.0,0.5396302042927333,0.05991665728122536
0.47,10,24,532,6246,1.0,0.4038013964313421,0.07848922986131603
0.48,10,24,532,6246,1.0,0.4038013964313421,0.07848922986131603
0.49,10,25,532,5605,1.0,0.3623610033617792,0.08668730650154799
0.5,10,25,532,5605,1.0,0.3623610033617792,0.08668730650154799
0.51,11,26,532,3749,1.0,0.24237134729764676,0.12427003036673674
0.52,11,27,532,3499,1.0,0.22620894750452547,0.1319771768791863
0.53,11,27,532,3499,1.0,0.22620894750452547,0.1319771768791863
0.54,11,28,532,2607,1.0,0.16854150504266874,0.16948072634597006
0.55,12,28,532,1873,1.0,0.12108869925006464,0.22120582120582122
0.56,12,29,532,1838,1.0,0.11882596327902767,0.22447257383966246
0.5700000000000001,12,29,532,1813,1.0,0.11720972329971555,0.22686567164179106
0.58,12,30,532,1512,1.0,0.09775019394879751,0.2602739726027397
0.59,12,30,532,1512,1.0,0.09775019394879751,0.2602739726027397
0.6,13,31,532,1051,1.0,0.06794672873028187,0.33607075173720785
0.61,13,31,532,780,1.0,0.0504266873545384,0.4054878048780488
0.62,13,32,532,767,1.0,0.0495862425652961,0.4095458044649731
0.63,13,32,532,767,1.0,0.0495862425652961,0.4095458044649731
0.64,14,33,532,458,1.0,0.02960951642099819,0.5373737373737374
0.65,14,33,532,429,1.0,0.02773467804499612,0.5535900104058272
0.66,14,34,532,426,1.0,0.027540729247478666,0.5553235908141962
0.67,14,34,532,383,1.0,0.024760796483061804,0.5814207650273224
0.6799999999999999,14,35,532,355,1.0,0.02295060770623222,0.5997745208568207
0.69,15,35,532,341,1.0,0.022045513317817428,0.6093928980526919
0.7,15,36,532,324,1.0,0.02094647013188518,0.6214953271028038
0.71,15,36,532,313,1.0,0.020235324540987847,0.6295857988165681
0.72,15,37,532,279,1.0,0.01803723816912335,0.655980271270037
0.73,16,37,532,278,1.0,0.017972588569950865,0.6567901234567901
0.74,16,38,532,228,1.0,0.01474010861132661,0.7
0.75,16,38,532,228,1.0,0.01474010861132661,0.7
0.76,16,39,532,126,1.0,0.008145849495733127,0.8085106382978723
0.77,16,40,532,73,1.0,0.004719420739591414,0.8793388429752066
0.78,17,40,532,71,1.0,0.004590121541246444,0.8822553897180763
0.79,17,41,532,41,1.0,0.00265063356607189,0.9284467713787086
0.8,17,41,532,41,1.0,0.00265063356607189,0.9284467713787086
0.8099999999999999,17,42,532,31,1.0,0.002004137574347039,0.9449378330373002
0.82,18,42,532,31,1.0,0.002004137574347039,0.9449378330373002
0.83,18,43,532,24,1.0,0.0015515903801396431,0.9568345323741008
0.84,18,43,532,22,1.0,0.0014222911817946729,0.9602888086642599
0.85,18,44,532,18,1.0,0.0011636927851047323,0.9672727272727273
0.86,18,44,532,18,1.0,0.0011636927851047323,0.9672727272727273
0.87,19,45,532,15,1.0,0.000969743987587277,0.9725776965265083
0.88,19,45,532,15,1.0,0.000969743987587277,0.9725776965265083
0.89,19,46,532,13,1.0,0.0008404447892423067,0.9761467889908257
0.9,19,46,532,11,1.0,0.0007111455908973364,0.9797421731123389
0.91,20,47,532,9,1.0,0.0005818463925523662,0.9833641404805915
0.92,20,47,532,9,1.0,0.0005818463925523662,0.9833641404805915
0.93,20,48,532,7,1.0,0.0004525471942073959,0.987012987012987
0.94,20,48,532,7,1.0,0.0004525471942073959,0.987012987012987
0.95,20,49,532,5,1.0,0.00032324799586242565,0.9906890130353817
0.96,21,49,532,5,1.0,0.00032324799586242565,0.9906890130353817
0.97,21,50,532,2,1.0,0.00012929919834497026,0.9962546816479401
0.98,21,50,532,2,1.0,0.00012929919834497026,0.9962546816479401
0.99,21,51,532,1,1.0,6.464959917248513e-05,0.99812382739212
1.0,21,51,532,1,1.0,6.464959917248513e-05,0.99812382739212
