calibrator,threshold,tp,fp,fn,tn,failure_recall_scoreable,success_alarm_rate_scoreable,failure_recall_all,success_alarm_rate_all,endpoint_precision,unseen_task_failures,unseen_task_successes,unseen_task_tp,unseen_task_fp,unseen_task_failure_recall,unseen_task_success_alarm_rate,unseen_task_endpoint_precision,detected_failure_first_alarm_query_median,detected_failure_first_alarm_horizon_phase_median,detected_failure_lead_to_episode_end_median,detected_failure_tasks,largest_task_share_of_detected_failures,matched_clock_horizon_phase,matched_clock_failure_recall,matched_clock_success_false_alarm_rate,matched_clock_endpoint_precision
A_dense,0.1,483,2825,49,6185,0.9078947368421053,0.3135405105438402,0.9078947368421053,0.1826351176622705,0.14600967351874244,394,8748,345,2564,0.8756345177664975,0.29309556470050296,0.11859745617050532,13.0,0.4444444444444444,27.0,35,0.2857142857142857,0.54,1.0,0.16854150504266874,0.16948072634597006
A_dense,0.2,384,1387,148,7623,0.7218045112781954,0.1539400665926748,0.7218045112781954,0.08966899405223687,0.21682665160926032,394,8748,249,1159,0.631979695431472,0.13248742569730224,0.1768465909090909,15.0,0.4827586206896552,25.0,33,0.3515625,0.6,1.0,0.06794672873028187,0.33607075173720785
A_dense,0.25,153,225,379,8785,0.287593984962406,0.024972253052164262,0.287593984962406,0.014546159813809155,0.40476190476190477,394,8748,79,158,0.20050761421319796,0.0180612711476909,0.3333333333333333,24.0,0.6666666666666666,15.0,26,0.48366013071895425,0.76,1.0,0.008145849495733127,0.8085106382978723
A_dense,0.35,153,225,379,8785,0.287593984962406,0.024972253052164262,0.287593984962406,0.014546159813809155,0.40476190476190477,394,8748,79,158,0.20050761421319796,0.0180612711476909,0.3333333333333333,24.0,0.6666666666666666,15.0,26,0.48366013071895425,0.76,1.0,0.008145849495733127,0.8085106382978723
A_dense,0.5,0,0,532,9010,0.0,0.0,0.0,0.0,0.0,394,8748,0,0,0.0,0.0,0.0,,,,0,,1.0,1.0,6.464959917248513e-05,0.99812382739212
A_dense,0.75,0,0,532,9010,0.0,0.0,0.0,0.0,0.0,394,8748,0,0,0.0,0.0,0.0,,,,0,,1.0,1.0,6.464959917248513e-05,0.99812382739212
B_proxy,0.1,372,1237,160,7773,0.6992481203007519,0.13729189789123197,0.6992481203007519,0.0799715541763641,0.23119950279676818,394,8748,250,1043,0.6345177664974619,0.11922725194330133,0.19334880123743234,16.0,0.5700280112044818,17.0,31,0.3279569892473118,0.6,1.0,0.06794672873028187,0.33607075173720785
B_proxy,0.2,257,350,275,8660,0.4830827067669173,0.038845726970033294,0.4830827067669173,0.022627359710369797,0.4233937397034596,394,8748,166,295,0.4213197969543147,0.03372199359853681,0.3600867678958785,24.0,0.7058823529411765,11.0,29,0.3540856031128405,0.69,1.0,0.022045513317817428,0.6093928980526919
B_proxy,0.25,244,273,288,8737,0.45864661654135336,0.030299667036625972,0.45864661654135336,0.01764934057408844,0.47195357833655704,394,8748,155,229,0.3934010152284264,0.026177411979881115,0.4036458333333333,26.0,0.7248140635564571,10.0,28,0.36475409836065575,0.74,1.0,0.01474010861132661,0.7
B_proxy,0.35,154,139,378,8871,0.2894736842105263,0.015427302996670366,0.2894736842105263,0.008986294284975433,0.5255972696245734,394,8748,104,117,0.2639593908629442,0.013374485596707819,0.47058823529411764,32.0,0.8067226890756303,8.0,23,0.3246753246753247,0.76,1.0,0.008145849495733127,0.8085106382978723
B_proxy,0.5,133,61,399,8949,0.25,0.006770255271920089,0.25,0.003943625549521593,0.6855670103092784,394,8748,93,55,0.23604060913705585,0.006287151348879744,0.6283783783783784,37.0,0.8235294117647058,7.0,20,0.3007518796992481,0.79,1.0,0.00265063356607189,0.9284467713787086
B_proxy,0.75,0,0,532,9010,0.0,0.0,0.0,0.0,0.0,394,8748,0,0,0.0,0.0,0.0,,,,0,,1.0,1.0,6.464959917248513e-05,0.99812382739212
