calibrator,phase_bin,endpoint_outcome,count,mean,min,median,p90,p95,p99,max
A_dense,eligible_to_40,failure,2403,0.1080881327229663,0.015625,0.0685584092792046,0.2038288288288288,0.2276119402985074,0.3583333333333333,0.3583333333333333
A_dense,eligible_to_40,success,1207,0.1459657215287026,0.015625,0.1532679738562091,0.2276119402985074,0.2276119402985074,0.3583333333333333,0.3583333333333333
A_dense,40_60,failure,3593,0.09211165176705415,0.015625,0.0685584092792046,0.2038288288288288,0.2038288288288288,0.2276119402985074,0.3583333333333333
A_dense,40_60,success,10496,0.06702554874720547,0.015625,0.0685584092792046,0.1532679738562091,0.2038288288288288,0.2276119402985074,0.3583333333333333
A_dense,60_80,failure,3971,0.1270003919064142,0.015625,0.1532679738562091,0.2038288288288288,0.2276119402985074,0.3583333333333333,0.3583333333333333
A_dense,60_80,success,19090,0.06731419305126077,0.015625,0.0685584092792046,0.1532679738562091,0.2038288288288288,0.2276119402985074,0.3583333333333333
A_dense,80_100,failure,4401,0.131916110883794,0.015625,0.1532679738562091,0.21,0.21,0.3583333333333333,0.3583333333333333
A_dense,80_100,success,29998,0.06628244324120197,0.015625,0.0685584092792046,0.1532679738562091,0.1769230769230769,0.2276119402985074,0.3583333333333333
B_proxy,eligible_to_40,failure,2403,0.04782788653412601,0.0026664033181907,0.0167273554847519,0.1118769883351007,0.1909090909090909,0.345,0.5131578947368421
B_proxy,eligible_to_40,success,1207,0.06241312812565798,0.0026664033181907,0.0717098785690843,0.1118769883351007,0.1909090909090909,0.3696393939393954,0.5131578947368421
B_proxy,40_60,failure,3593,0.04085871381671432,0.0026664033181907,0.0167273554847519,0.1118769883351007,0.1909090909090909,0.3712121212121212,0.5131578947368421
B_proxy,40_60,success,10496,0.02073776588360433,0.0026664033181907,0.0026664033181907,0.0717098785690843,0.0979381443298969,0.2180851063829787,0.5131578947368421
B_proxy,60_80,failure,3971,0.08938909571114165,0.0026664033181907,0.0717098785690843,0.2261904761904762,0.345,0.5131578947368421,0.5131578947368421
B_proxy,60_80,success,19090,0.02421870418430952,0.0026664033181907,0.0026664033181907,0.0717098785690843,0.1118769883351007,0.2261904761904762,0.5131578947368421
B_proxy,80_100,failure,4401,0.1171767007556581,0.0026664033181907,0.0717098785690843,0.345,0.345,0.5131578947368421,0.5131578947368421
B_proxy,80_100,success,29998,0.02116592880394786,0.0026664033181907,0.0026664033181907,0.0717098785690843,0.0979381443298969,0.2261904761904762,0.5131578947368421
