gate_subset,trunk_uid,q_offset,arm,scale,n_directions,G_peak_median,G_peak_iqr,G_terminal_median,G_terminal_iqr,funnel_median,funnel_iqr,lambda_median,lambda_iqr,argmax_f_median
primary,300,-4,loop,0.0001,32,0.2330689547383768,0.013037826738136554,0.21929244547081067,0.021792349402157102,0.048560764878862746,0.1038840422980441,0.001960917819058691,0.012478785276821436,7.0
primary,300,-4,loop,0.001,32,0.023906500547964386,0.0013905615155174397,0.02270927736375166,0.002280429638220338,0.05067048413293213,0.13046131171777525,0.006123416900749647,0.01892374937249065,8.0
primary,300,-4,loop,0.01,32,0.002544397662804508,0.00017943068779626694,0.0022671050861442733,0.0003200557575318776,0.09548437795518976,0.1450272762710155,-0.003041693360667034,0.01599081866818753,4.5
primary,300,-2,loop,0.0001,32,0.19438991163427385,0.011290522647616097,0.18825488987097558,0.026298455410480565,0.04999074917717464,0.11735174051402236,0.0010808860020685867,0.018106106353473917,5.5
primary,300,-2,loop,0.001,32,0.02015038870498402,0.001313678138705466,0.018298514991234936,0.002100389110532924,0.09254860055123398,0.07562295085782347,0.005242617006704493,0.021393642213628397,3.0
primary,300,-2,loop,0.01,32,0.0020686723881402505,9.589658895528368e-05,0.001832894457059614,0.0002396942326128369,0.11061579848763328,0.12017299282688146,-0.006012375095166325,0.015644893134254195,1.5
primary,300,0,loop,0.0001,32,0.2268181364705088,0.026825104096077967,0.2268181364705088,0.026825104096077967,0.0,0.0,0.053899751083128306,0.019447860229187847,9.0
primary,300,0,loop,0.001,32,0.021993159635452765,0.0043983619723098055,0.021993159635452765,0.004626935669098452,0.0,0.0,0.0510350882837486,0.028440491328093107,9.0
primary,300,0,loop,0.01,32,0.0022994303957617245,0.00034679453948390816,0.0022994303957617245,0.00034679453948390816,0.0,0.0,0.029821354969724677,0.012745624182478193,9.0
primary,300,2,loop,0.0001,32,0.23706412210286765,0.03656670441869958,0.2211409342653537,0.0493998856453578,0.0,0.062149073186747124,0.028845470191051596,0.02382820267295283,9.0
primary,300,2,loop,0.001,32,0.023538503847205416,0.0030881739191701285,0.02299543878094268,0.0036664568619656293,0.0,0.03791490224717025,0.030889719063308008,0.018666007002600564,9.0
primary,300,2,loop,0.01,32,0.0023712572120307054,0.0003054567515176766,0.0022709555461576025,0.000516741385164205,0.008333745759178742,0.09951681095695482,0.027691226511965733,0.028121633942082953,8.5
primary,301,-4,loop,0.0001,32,0.23003514153820426,0.015488356658773822,0.22361955109311205,0.02840951952167592,0.01326366499321354,0.06692925661655957,0.017360325166905576,0.02608839068879556,5.5
primary,301,-4,loop,0.001,32,0.023655964046209628,0.0025436677167912022,0.02278264285076258,0.003768414042315496,0.0,0.06008502569825661,0.012652822727005584,0.031380982432240107,9.0
primary,301,-4,loop,0.01,32,0.0024272701368635227,0.00011729101141879804,0.0023592377999881557,0.0002809689847422538,0.029324064247488263,0.0952471033674471,-0.0014515536528173772,0.01831429132576884,5.0
primary,301,-2,loop,0.0001,32,0.2352871156373054,0.017326872564630613,0.2349930141724414,0.019325595502975246,0.0,0.007821435292391302,0.013716062814132735,0.024277131666483334,9.0
primary,301,-2,loop,0.001,32,0.023451183409704993,0.001784061375544592,0.022640022092156965,0.003512549661770975,0.02853436026073555,0.06885325945029333,0.0031727346261476,0.02119899426774843,7.5
primary,301,-2,loop,0.01,26,0.0024750200811686643,0.00010796914201629051,0.002356920005441282,0.0002907286652425842,0.036050555408236956,0.10260166840971498,0.001025420724253997,0.022132038961226425,7.0
secondary,300,-4,loop,0.0001,32,0.22961389412528463,0.010718946746620661,0.2176258576956443,0.02959942001541624,0.04025721224245807,0.17120900534281114,0.009150744382205953,0.023060839383846867,8.0
secondary,300,-4,loop,0.001,32,0.024035699436130174,0.0019382510308251048,0.022614319241454864,0.0038775444598810258,0.05479098648319725,0.13902071606317212,0.01567391900861848,0.027580766836486248,8.0
secondary,300,-4,loop,0.01,32,0.002505535478905036,0.0002599888742077796,0.0021967638542669185,0.00035126094109049714,0.11844242030191274,0.14761118937520532,-0.001056295471240219,0.01868975731275952,7.5
secondary,300,-2,loop,0.0001,32,0.20968813940237202,0.020095715343975667,0.1944420283307921,0.038214279821205316,0.006170406716592039,0.14853039808331275,0.01566523363705034,0.019064115635464323,8.0
secondary,300,-2,loop,0.001,32,0.020707461691647975,0.0022556211813784324,0.018986567091279924,0.0030096034590930652,0.02116961512216688,0.13111840434815275,0.016705072383297305,0.02765750546252765,8.0
secondary,300,-2,loop,0.01,32,0.0021372809747222435,0.00025305606562081367,0.0019296880141576932,0.0003096962436389479,0.11454927957204875,0.11444292365788071,0.005415183149619685,0.02291676810913023,8.0
secondary,300,0,loop,0.0001,32,0.21087281770251506,0.013006002950965545,0.20518277363578746,0.02229746552989431,0.0,0.08956587457625696,0.04878809449291681,0.023883318993665692,9.0
secondary,300,0,loop,0.001,32,0.021155364226572076,0.0025255743540889934,0.019448182314992193,0.004373225841167495,0.044878272298605484,0.10733326900059312,0.0405433306455872,0.03858693760727873,7.5
secondary,300,0,loop,0.01,32,0.0021750528783002184,0.00010610559681219428,0.0020985912818843647,0.00026546247839849654,0.014145391922849427,0.07360619310632094,0.021503768479776107,0.02233300822658362,8.0
secondary,300,2,loop,0.0001,32,0.24444141023267552,0.037392904310230596,0.21410530712285858,0.057185232585553386,0.013141384124207895,0.1164565017691326,0.0419972210467458,0.023014404141521345,8.0
secondary,300,2,loop,0.001,32,0.02471954707484759,0.003931977025675867,0.021604803508392854,0.004966914791323055,0.0,0.12444949756176359,0.03834976270976318,0.028984348252206936,9.0
secondary,300,2,loop,0.01,32,0.0024693938876022272,0.00026800790804179997,0.002203495596309602,0.0005638191390820039,0.04960152590773933,0.18284829217968274,0.03503169669210218,0.03258120984398659,8.0
secondary,301,-4,loop,0.0001,32,0.220307767798674,0.01272303128466673,0.20137508750772348,0.022333688243652505,0.06946742862331776,0.12361221729200028,0.013575788809415082,0.030095279224771128,5.0
