gate_subset,trunk_uid,q_offset,arm,scale,direction,delta_norm,episode_id,base_episode_id,G_peak,G_terminal,funnel,argmax_f,lambda,G_f_00,G_f_01,G_f_02,G_f_03,G_f_04,G_f_05,G_f_06,G_f_07,G_f_08,G_f_09
primary,300,-4,loop,0.0001,0,0.0014220919609069826,5000001,5000000,0.2703118614642928,0.2703118614642928,0.0,9,0.03435661348932238,0.2367766141572435,0.2053513889250671,0.18472675566856048,0.2048886053662559,0.21580204539302208,0.19100848223994804,0.1970285270767791,0.24345098971632703,0.18566345839066883,0.2703118614642928
primary,300,-4,loop,0.0001,1,0.0014220919609069826,5000002,5000000,0.22771847550009772,0.20355248466822373,0.10612222297157216,3,-0.007428553827310339,0.19651153053297185,0.21601600701404852,0.21546986675121596,0.22771847550009772,0.21946809425933161,0.17960584684039374,0.21296104347797248,0.17313222090534144,0.21440018467080035,0.20355248466822373
primary,300,-4,loop,0.0001,2,0.0014220919609069826,5000003,5000000,0.22315034275572085,0.21961374827261057,0.015848483311387444,5,-0.0010057394715013062,0.18950200215332355,0.2213878753188555,0.16934432128227034,0.19520123791786884,0.1896560052673042,0.22315034275572085,0.20338988714508416,0.2216684155079067,0.22011292104283947,0.21961374827261057
primary,300,-4,loop,0.0001,3,0.0014220919609069826,5000004,5000000,0.24323513457578447,0.20456098766113853,0.15899901542569822,8,-0.01949191691785754,0.1836143938200447,0.2390809005952695,0.204388933367604,0.2057958770213132,0.21750118563586654,0.17039604995764002,0.1727661241275829,0.21331034773322874,0.24323513457578447,0.20456098766113853
primary,300,-4,loop,0.0001,4,0.0014220919609069826,5000005,5000000,0.23587422532678912,0.2023682382842264,0.14205022611521118,1,-0.01915115327617952,0.19059424327429192,0.23587422532678912,0.21973494615197486,0.2095665549472753,0.2129663955087269,0.17905735193967037,0.19944380657979194,0.1771537969752277,0.16722955521199218,0.2023682382842264
primary,300,-4,loop,0.0001,5,0.0014220919609069826,5000006,5000000,0.24300863489389893,0.21192645369029559,0.12790566564454126,8,-0.006246488474910886,0.1917352073977144,0.22278593272057007,0.20027274870770662,0.22769374085058516,0.1827471269457567,0.18502135923629248,0.1749512999225068,0.2373470861000462,0.24300863489389893,0.21192645369029559
primary,300,-4,loop,0.0001,6,0.0014220919609069826,5000007,5000000,0.23018254762969528,0.20266096139297088,0.11956417426085672,2,-0.014727086198915577,0.19334065214065682,0.2280013425026654,0.23018254762969528,0.1694562060669536,0.20877994745792602,0.17609278353670754,0.17942790533332426,0.22269818642535189,0.22151056288352197,0.20266096139297088
primary,300,-4,loop,0.0001,7,0.0014220919609069826,5000008,5000000,0.23810653048044528,0.22390720753261245,0.059634328042671325,0,0.021469596655825016,0.23810653048044528,0.1885709544408471,0.20907452547214495,0.19492671541368414,0.2006008865603745,0.18791044549889077,0.20066032187827587,0.22099463141464032,0.2031639682488911,0.22390720753261245
primary,300,-4,loop,0.0001,8,0.0014220919609069826,5000009,5000000,0.22073917354542338,0.21079620513014333,0.045043968660093595,0,-0.005472946036699889,0.22073917354542338,0.22023067625781664,0.21311170623042097,0.20560010474736984,0.1803752334511473,0.2087779870808828,0.2011417966615264,0.20981799373483573,0.2112413171486957,0.21079620513014333
primary,300,-4,loop,0.0001,9,0.0014220919609069826,5000010,5000000,0.22730723521124618,0.22391370309518524,0.014929274525257684,1,-0.001880223873861828,0.2187299853391838,0.22730723521124618,0.21640163279764976,0.21921096530812148,0.1862206434315711,0.17142513000788662,0.17377565258769379,0.19999815296286141,0.21314132373550843,0.22391370309518524
primary,300,-4,loop,0.0001,10,0.0014220919609069826,5000011,5000000,0.24279660674214168,0.2305362132707316,0.050496560210911624,3,0.008169943039284523,0.19767317429168857,0.21595028242381079,0.19937296109085859,0.24279660674214168,0.18459130629987616,0.1892193197572973,0.19834063513430866,0.18801751475780995,0.20486482996085514,0.2305362132707316
primary,300,-4,loop,0.0001,11,0.0014220919609069826,5000012,5000000,0.22497776531811642,0.22497776531811642,0.0,9,0.0029936746270833713,0.21355729085718983,0.21965367550334644,0.22440451146737375,0.18557586936190157,0.20058135271365046,0.1748559590027516,0.18680333805793256,0.2134799497337629,0.17132225753165553,0.22497776531811642
primary,300,-4,loop,0.0001,12,0.0014220919609069826,5000013,5000000,0.24889569944912396,0.2085448618096815,0.16211946501521754,8,0.0035772252150944586,0.23452379392854844,0.20266133452418425,0.2272688404909544,0.18882415024059782,0.1879511384110409,0.18114536058605712,0.16634605725517693,0.17874681080765584,0.24889569944912396,0.2085448618096815
primary,300,-4,loop,0.0001,13,0.0014220919609069826,5000014,5000000,0.23089661482323995,0.21729729167297906,0.05889788882618647,4,0.01119824816864341,0.21015797201562736,0.1986769492460073,0.21865769780310185,0.21278100746256035,0.23089661482323995,0.1918349272616448,0.2115402076065032,0.217743281970044,0.1919840395961896,0.21729729167297906
primary,300,-4,loop,0.0001,14,0.0014220919609069826,5000015,5000000,0.21910403711490523,0.1965060888626059,0.10313798207353475,7,-0.006988906913814893,0.21672832007785112,0.20780598236520462,0.21381151095439271,0.19302379345610624,0.2042692530226136,0.19859471765872314,0.18720995763449222,0.21910403711490523,0.19899673653636943,0.1965060888626059
primary,300,-4,loop,0.0001,15,0.0014220919609069826,5000016,5000000,0.2402992904703433,0.2012907533723481,0.16233313473993427,8,-0.004937712014973693,0.18684270989187993,0.20940124174898256,0.20521258619537988,0.17280023160869545,0.18548203674053362,0.19979003318300043,0.19553359168834378,0.2157756693258744,0.2402992904703433,0.2012907533723481
primary,300,-4,loop,0.0001,16,0.0014220919609069826,5000017,5000000,0.2636115088835853,0.2636115088835853,0.0,9,0.023957404267144163,0.21667126853620503,0.21763441603729963,0.20220329368323792,0.19566686554881726,0.21202884154156598,0.163581054543347,0.19455806339505322,0.20909861202535446,0.20781324153224118,0.2636115088835853
primary,300,-4,loop,0.0001,17,0.0014220919609069826,5000018,5000000,0.24171609725305568,0.2291100407706964,0.05215232508536522,0,0.006189389248291114,0.24171609725305568,0.21804187810440884,0.1996868394040159,0.20489592008004368,0.209525413862944,0.19801303564706582,0.18032419249165768,0.20731546653591182,0.19625626215387088,0.2291100407706964
primary,300,-4,loop,0.0001,18,0.0014220919609069826,5000019,5000000,0.23597859007175287,0.23597859007175287,0.0,9,0.011261327480736152,0.22268652433772215,0.21564858900912853,0.18386483113696972,0.19307929203667418,0.19640573919238644,0.185181432355724,0.19302962927280912,0.21373795360398445,0.19256129292194207,0.23597859007175287
primary,300,-4,loop,0.0001,19,0.0014220919609069826,5000020,5000000,0.21749250612024928,0.21749250612024928,0.0,9,0.00692308415208237,0.18158938340449796,0.20577421787555905,0.212834820031602,0.17274396939681322,0.21568887266258674,0.17131354101965232,0.1658195598622985,0.17817719217149736,0.18281365128406563,0.21749250612024928
