gate_subset,trunk_uid,q_offset,arm,n_seeds,fan_out,terminal_diversity,funnel_index,argmax_f,D_seed_f_00,D_seed_f_01,D_seed_f_02,D_seed_f_03,D_seed_f_04,D_seed_f_05,D_seed_f_06,D_seed_f_07,D_seed_f_08,D_seed_f_09
primary,300,-4,loop,64,0.004583495184393573,0.004583495184393573,2.1817425643888555e-10,9,0.0036378323634002965,0.0035774458809806294,0.0035979795306853813,0.003660247066227673,0.00374487914575746,0.0038887973309842294,0.0040594877402809725,0.004259799783435172,0.004394632034334582,0.004583495184393573
primary,300,-2,loop,64,0.0038627635332720294,0.003036861495096457,0.21381118255047948,0,0.0038627635332720294,0.0037804275669304603,0.0037589806871965916,0.0037698717874650113,0.0037345620790832012,0.003697426402008031,0.0035743450287978006,0.003371579473320195,0.003179231001305921,0.003036861495096457
primary,300,0,loop,64,0.003560959975602607,0.0027639945592647214,0.22380633946305784,0,0.003560959975602607,0.003460569303662309,0.0034165846818438855,0.0033887844164102805,0.003320767513210409,0.0032512647563318394,0.0031380109344744177,0.0029748883942994487,0.0028595442351727896,0.0027639945592647214
primary,300,2,loop,64,0.0035416634857541166,0.002870789012043247,0.18942355117022047,0,0.0035416634857541166,0.0034443154703415785,0.003421252456739076,0.003422671518806602,0.003386770383250955,0.003369551681699876,0.003288623423881453,0.003149713806742901,0.00301957714735681,0.002870789012043247
primary,301,-4,loop,64,0.004039165802242039,0.003651056074637732,0.0960866048857888,5,0.003841202525981754,0.0037979815464493855,0.003844392532775758,0.0039274608311901235,0.003986977731287015,0.004039165802242039,0.00398372706563224,0.0038111808011379042,0.0036061618706023186,0.003651056074637732
secondary,300,-4,loop,64,0.005800005695327677,0.005800005695327677,1.7241374994370062e-10,9,0.005168007655448933,0.005108242773113576,0.00516247450876738,0.005243772586605984,0.005330813549786109,0.005437593755201161,0.005463414053903293,0.005520171495152784,0.005654050336147083,0.005800005695327677
secondary,300,-2,loop,64,0.005346580634836334,0.003670727064283467,0.313443990785472,4,0.005298682714361808,0.005229136570811476,0.005273450729191378,0.005324633844498933,0.005346580634836334,0.0053173915813707895,0.005111009273688471,0.004682268282364797,0.0041328882273083236,0.003670727064283467
secondary,300,0,loop,64,0.0051462865379374575,0.003095641568149263,0.3984708109959977,0,0.0051462865379374575,0.005049850371724282,0.005060241631178031,0.00503498621092026,0.004937387296174701,0.004754012135016121,0.004413887403860685,0.003934732798660436,0.0034609194836176045,0.003095641568149263
secondary,300,2,loop,64,0.0051444220357100825,0.0032590600473996864,0.3664866482292163,0,0.0051444220357100825,0.005050420073705463,0.005066446263696488,0.005070291572222115,0.005014707896348709,0.004908348172161503,0.0046444362290773795,0.00420768461893329,0.0037138453390588807,0.0032590600473996864
secondary,301,-4,loop,64,0.005591709256838057,0.004229160889703465,0.2436729639018106,5,0.005272577300456604,0.0052307298682551994,0.005327277849976767,0.005437211516871679,0.005530747870710438,0.005591709256838057,0.005425849725562507,0.005036097711349657,0.004500699840032244,0.004229160889703465
