cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall
development_main,libero_goal,v4_dual_regime_or,4000,102,3898,1,101,93,91,2,11,3896,0.8921568627450981,0.000513083632632119,0.978494623655914,0.0,0.900990099009901,5.0,0.8725490196078431,0.8333333333333334,0.37254901960784315,0.3137254901960784
development_main,libero_long,v4_dual_regime_or,2800,222,2578,18,204,218,158,60,64,2518,0.7117117117117117,0.023273855702094646,0.7247706422018348,0.5,0.7303921568627451,18.0,0.7027027027027027,0.6846846846846847,0.6621621621621622,0.6306306306306306
development_main,libero_object,v4_dual_regime_or,4000,37,3963,4,33,31,27,4,10,3959,0.7297297297297297,0.0010093363613424174,0.8709677419354839,1.0,0.696969696969697,7.0,0.7027027027027027,0.6756756756756757,0.32432432432432434,0.05405405405405406
development_main,libero_spatial,v4_dual_regime_or,4000,126,3874,7,119,97,96,1,30,3873,0.7619047619047619,0.0002581311306143521,0.9896907216494846,1.0,0.7478991596638656,3.0,0.5396825396825397,0.30952380952380953,0.007936507936507936,0.007936507936507936
development_main,libero_goal,long_guard_v5,4000,102,3898,1,101,93,91,2,11,3896,0.8921568627450981,0.000513083632632119,0.978494623655914,0.0,0.900990099009901,5.0,0.8725490196078431,0.8333333333333334,0.37254901960784315,0.3137254901960784
development_main,libero_long,long_guard_v5,2800,222,2578,18,204,154,137,17,85,2561,0.6171171171171171,0.0065942591155934835,0.8896103896103896,0.5,0.6274509803921569,14.0,0.5990990990990991,0.5855855855855856,0.5585585585585585,0.509009009009009
development_main,libero_object,long_guard_v5,4000,37,3963,4,33,31,27,4,10,3959,0.7297297297297297,0.0010093363613424174,0.8709677419354839,1.0,0.696969696969697,7.0,0.7027027027027027,0.6756756756756757,0.32432432432432434,0.05405405405405406
development_main,libero_spatial,long_guard_v5,4000,126,3874,7,119,97,96,1,30,3873,0.7619047619047619,0.0002581311306143521,0.9896907216494846,1.0,0.7478991596638656,3.0,0.5396825396825397,0.30952380952380953,0.007936507936507936,0.007936507936507936
development_main,libero_goal,lead_guard_v5,4000,102,3898,1,101,104,90,14,12,3884,0.8823529411764706,0.0035915854284248334,0.8653846153846154,0.0,0.8910891089108911,8.0,0.8627450980392157,0.803921568627451,0.5294117647058824,0.3431372549019608
development_main,libero_long,lead_guard_v5,2800,222,2578,18,204,154,137,17,85,2561,0.6171171171171171,0.0065942591155934835,0.8896103896103896,0.5,0.6274509803921569,14.0,0.5990990990990991,0.5855855855855856,0.5585585585585585,0.509009009009009
development_main,libero_object,lead_guard_v5,4000,37,3963,4,33,47,27,20,10,3943,0.7297297297297297,0.005046681806712087,0.574468085106383,1.0,0.696969696969697,9.0,0.7297297297297297,0.6756756756756757,0.4594594594594595,0.10810810810810811
development_main,libero_spatial,lead_guard_v5,4000,126,3874,7,119,123,112,11,14,3863,0.8888888888888888,0.002839442436757873,0.9105691056910569,1.0,0.8823529411764706,5.0,0.8095238095238095,0.6507936507936508,0.07936507936507936,0.007936507936507936
development_main,libero_goal,spatial_guard_v6,4000,102,3898,1,101,93,91,2,11,3896,0.8921568627450981,0.000513083632632119,0.978494623655914,0.0,0.900990099009901,5.0,0.8725490196078431,0.8333333333333334,0.37254901960784315,0.3137254901960784
development_main,libero_long,spatial_guard_v6,2800,222,2578,18,204,154,137,17,85,2561,0.6171171171171171,0.0065942591155934835,0.8896103896103896,0.5,0.6274509803921569,14.0,0.5990990990990991,0.5855855855855856,0.5585585585585585,0.509009009009009
development_main,libero_object,spatial_guard_v6,4000,37,3963,4,33,31,27,4,10,3959,0.7297297297297297,0.0010093363613424174,0.8709677419354839,1.0,0.696969696969697,7.0,0.7027027027027027,0.6756756756756757,0.32432432432432434,0.05405405405405406
development_main,libero_spatial,spatial_guard_v6,4000,126,3874,7,119,122,111,11,15,3863,0.8809523809523809,0.002839442436757873,0.9098360655737705,1.0,0.8739495798319328,6.0,0.8412698412698413,0.6904761904761905,0.12698412698412698,0.007936507936507936
external_8b,libero_goal,v4_dual_regime_or,4000,106,3894,0,106,93,88,5,18,3889,0.8301886792452831,0.0012840267077555213,0.946236559139785,,0.8301886792452831,5.0,0.8207547169811321,0.7452830188679245,0.33962264150943394,0.3018867924528302
external_8b,libero_long,v4_dual_regime_or,4000,274,3726,26,248,267,196,71,78,3655,0.7153284671532847,0.0190552871712292,0.7340823970037453,0.5769230769230769,0.7298387096774194,17.0,0.7007299270072993,0.6861313868613139,0.6678832116788321,0.6386861313868614
external_8b,libero_object,v4_dual_regime_or,3600,44,3556,6,38,33,31,2,13,3554,0.7045454545454546,0.0005624296962879641,0.9393939393939394,0.5,0.7368421052631579,6.0,0.6590909090909091,0.5227272727272727,0.20454545454545456,0.06818181818181818
external_8b,libero_spatial,v4_dual_regime_or,4000,140,3860,9,131,98,95,3,45,3857,0.6785714285714286,0.0007772020725388601,0.9693877551020408,1.0,0.6564885496183206,2.0,0.4,0.2857142857142857,0.007142857142857143,0.0
external_8b,libero_goal,long_guard_v5,4000,106,3894,0,106,93,88,5,18,3889,0.8301886792452831,0.0012840267077555213,0.946236559139785,,0.8301886792452831,5.0,0.8207547169811321,0.7452830188679245,0.33962264150943394,0.3018867924528302
external_8b,libero_long,long_guard_v5,4000,274,3726,26,248,201,177,24,97,3702,0.6459854014598541,0.00644122383252818,0.8805970149253731,0.5384615384615384,0.657258064516129,14.0,0.635036496350365,0.6277372262773723,0.6021897810218978,0.5036496350364964
external_8b,libero_object,long_guard_v5,3600,44,3556,6,38,33,31,2,13,3554,0.7045454545454546,0.0005624296962879641,0.9393939393939394,0.5,0.7368421052631579,6.0,0.6590909090909091,0.5227272727272727,0.20454545454545456,0.06818181818181818
external_8b,libero_spatial,long_guard_v5,4000,140,3860,9,131,98,95,3,45,3857,0.6785714285714286,0.0007772020725388601,0.9693877551020408,1.0,0.6564885496183206,2.0,0.4,0.2857142857142857,0.007142857142857143,0.0
external_8b,libero_goal,lead_guard_v5,4000,106,3894,0,106,99,85,14,21,3880,0.8018867924528302,0.0035952747817154596,0.8585858585858586,,0.8018867924528302,8.0,0.7452830188679245,0.7075471698113207,0.4339622641509434,0.3018867924528302
external_8b,libero_long,lead_guard_v5,4000,274,3726,26,248,201,177,24,97,3702,0.6459854014598541,0.00644122383252818,0.8805970149253731,0.5384615384615384,0.657258064516129,14.0,0.635036496350365,0.6277372262773723,0.6021897810218978,0.5036496350364964
external_8b,libero_object,lead_guard_v5,3600,44,3556,6,38,54,29,25,15,3531,0.6590909090909091,0.00703037120359955,0.5370370370370371,0.5,0.6842105263157895,7.0,0.6136363636363636,0.5681818181818182,0.25,0.13636363636363635
external_8b,libero_spatial,lead_guard_v5,4000,140,3860,9,131,121,111,10,29,3850,0.7928571428571428,0.0025906735751295338,0.9173553719008265,1.0,0.7786259541984732,5.0,0.7142857142857143,0.5285714285714286,0.17857142857142858,0.02142857142857143
