representation,direction,width,confirmations,quantile,tp,fp,risk_recall,early4_risk_recall,early8_risk_recall,precision,timely_fpr,max_suite_fpr,max_task_fpr,spatial_tp,spatial_fp,spatial_recall,spatial_fpr,logical_gpu,eligible
L2,low,1,1,0.5,369,1905,0.757700205338809,0.6960985626283368,0.5030800821355236,0.16226912928759896,0.13309578704674072,0.4858027994632721,0.5089974403381348,114,1882,0.9047619047619048,0.4858027878162106,0,False
L2,low,1,1,0.55,368,1703,0.75564681724846,0.6940451745379876,0.4989733059548255,0.17769193626267504,0.11898274296094459,0.4336602985858917,0.45501285791397095,113,1680,0.8968253968253969,0.43366029943211154,0,False
L2,low,1,1,0.6,367,1510,0.7535934291581109,0.6878850102669405,0.486652977412731,0.19552477357485348,0.10549849786907008,0.38384097814559937,0.408740371465683,112,1487,0.8888888888888888,0.38384099122354154,0,False
L2,low,1,1,0.65,365,1320,0.7494866529774127,0.6796714579055442,0.4681724845995893,0.2166172106824926,0.09222385244183609,0.33479607105255127,0.3598971664905548,110,1297,0.873015873015873,0.33479607640681464,0,False
L2,low,1,1,0.7,363,1115,0.7453798767967146,0.6776180698151951,0.46406570841889117,0.2456021650879567,0.07790120869139942,0.281879186630249,0.305912584066391,108,1092,0.8571428571428571,0.28187919463087246,0,False
L2,low,1,1,0.725,363,1017,0.7453798767967146,0.675564681724846,0.459958932238193,0.26304347826086955,0.0710542863131419,0.2565823495388031,0.2802056670188904,108,994,0.8571428571428571,0.25658234383066597,0,False
L2,low,1,1,0.75,362,916,0.7433264887063655,0.6735112936344969,0.4537987679671458,0.28325508607198746,0.06399776427024384,0.23051109910011292,0.2570694088935852,107,893,0.8492063492063492,0.2305110996386164,0,False
L2,low,1,1,0.775,361,817,0.7412731006160165,0.6694045174537988,0.4537987679671458,0.3064516129032258,0.05708097533710613,0.20495611429214478,0.2313624620437622,106,794,0.8412698412698413,0.20495611770779557,0,False
L2,low,1,1,0.8,359,731,0.7371663244353183,0.6694045174537988,0.4517453798767967,0.3293577981651376,0.051072451617410745,0.18275684118270874,0.20822621881961823,104,708,0.8253968253968254,0.18275684047496127,0,False
L2,low,1,1,0.825,356,636,0.731006160164271,0.6652977412731006,0.44969199178644764,0.3588709677419355,0.04443512890379375,0.1582343876361847,0.18508997559547424,101,613,0.8015873015873016,0.15823438306659784,0,False
L2,low,1,1,0.85,354,530,0.7268993839835729,0.6611909650924025,0.44353182751540043,0.4004524886877828,0.0370292740864948,0.13087248802185059,0.1542416512966156,99,507,0.7857142857142857,0.13087248322147652,0,False
L2,low,1,1,0.875,352,433,0.7227926078028748,0.6509240246406571,0.433264887063655,0.4484076433121019,0.030252218263117445,0.1058337613940239,0.13110539317131042,97,410,0.7698412698412699,0.10583376355188436,0,False
L2,low,1,1,0.9,347,344,0.7125256673511293,0.6468172484599589,0.42505133470225875,0.5021707670043415,0.024034094878781526,0.08286008983850479,0.10499999672174454,92,321,0.7301587301587301,0.08286009292720702,0,False
L2,low,1,1,0.925,343,252,0.704312114989733,0.6406570841889117,0.41478439425051333,0.5764705882352941,0.01760637182980507,0.059112027287483215,0.07969151437282562,88,229,0.6984126984126984,0.05911202891068663,0,False
L2,low,1,1,0.95,335,154,0.6878850102669405,0.6160164271047228,0.39835728952772076,0.6850715746421268,0.010759449451547545,0.0338151790201664,0.057500001043081284,80,131,0.6349206349206349,0.033815178110480126,0,False
L2,low,1,1,0.96,326,121,0.6694045174537988,0.5975359342915811,0.38193018480492813,0.7293064876957495,0.008453853140501642,0.025296850129961967,0.04500000178813934,71,98,0.5634920634920635,0.025296850800206504,0,False
L2,low,1,1,0.975,312,73,0.6406570841889117,0.5667351129363449,0.3737166324435318,0.8103896103896104,0.005100258506253057,0.012906556949019432,0.02570694126188755,57,50,0.4523809523809524,0.012906556530717605,0,False
L2,low,1,1,0.98,301,61,0.6180698151950719,0.5503080082135524,0.3655030800821355,0.8314917127071824,0.00426185984769091,0.009808982722461224,0.02250000089406967,46,38,0.36507936507936506,0.00980898296334538,0,False
L2,low,1,1,0.99,288,38,0.5913757700205339,0.5277207392197125,0.3613963039014374,0.8834355828220859,0.0026549290854467967,0.006594259291887283,0.02240896411240101,33,15,0.2619047619047619,0.0038719669592152815,0,False
L2,low,1,1,0.995,273,32,0.5605749486652978,0.5133470225872689,0.35728952772073924,0.8950819672131147,0.0022357297561657235,0.006594259291887283,0.02240896411240101,18,9,0.14285714285714285,0.0023231801755291687,0,False
L2,low,1,2,0.5,354,189,0.7268993839835729,0.6406570841889117,0.39630390143737165,0.6519337016574586,0.013204778872353804,0.042849767953157425,0.12266666442155838,99,166,0.7857142857142857,0.04284976768198245,0,False
L2,low,1,2,0.55,351,167,0.7207392197125256,0.6386036960985626,0.3942505133470226,0.6776061776061776,0.01166771466498987,0.037170883268117905,0.11733333021402359,96,144,0.7619047619047619,0.0371708828084667,0,False
L2,low,1,2,0.6,350,133,0.7186858316221766,0.6365503080082136,0.3921971252566735,0.7246376811594203,0.009292251799063789,0.02839442528784275,0.09066666662693024,95,110,0.753968253968254,0.02839442436757873,0,False
L2,low,1,2,0.65,347,105,0.7125256673511293,0.6324435318275154,0.39014373716632444,0.7676991150442478,0.00733598826241878,0.02116675302386284,0.07199999690055847,92,82,0.7301587301587301,0.021166752710376872,0,False
L2,low,1,2,0.7,346,86,0.7104722792607803,0.6303901437371663,0.38809034907597534,0.8009259259259259,0.006008523719695381,0.01626226119697094,0.0560000017285347,91,63,0.7222222222222222,0.01626226122870418,0,False
L2,low,1,2,0.725,344,77,0.7063655030800822,0.62217659137577,0.3860369609856263,0.8171021377672208,0.0053797247257737725,0.013939080759882927,0.0533333346247673,89,54,0.7063492063492064,0.013939081053175014,0,False
L2,low,1,2,0.75,343,71,0.704312114989733,0.6180698151950719,0.3839835728952772,0.8285024154589372,0.004960525396492699,0.01239029411226511,0.04800000041723251,88,48,0.6984126984126984,0.0123902942694889,0,False
L2,low,1,2,0.775,338,56,0.6940451745379876,0.6119096509240246,0.3839835728952772,0.8578680203045685,0.003912527073290016,0.00851832702755928,0.029999999329447746,83,33,0.6587301587301587,0.008518327310273618,0,False
L2,low,1,2,0.8,334,47,0.6858316221765913,0.6036960985626283,0.38193018480492813,0.8766404199475065,0.0032837280793684065,0.006594259291887283,0.029999999329447746,79,24,0.626984126984127,0.00619514713474445,0,False
L2,low,1,2,0.825,330,38,0.6776180698151951,0.5995893223819302,0.37782340862423,0.8967391304347826,0.0026549290854467967,0.006594259291887283,0.02500000037252903,75,15,0.5952380952380952,0.0038719669592152815,0,False
L2,low,1,2,0.85,329,33,0.675564681724846,0.5995893223819302,0.3757700205338809,0.9088397790055248,0.002305596311045902,0.006594259291887283,0.02240896411240101,74,10,0.5873015873015873,0.002581311306143521,0,False
L2,low,1,2,0.875,319,33,0.6550308008213552,0.5893223819301848,0.3737166324435318,0.90625,0.002305596311045902,0.006594259291887283,0.02240896411240101,64,10,0.5079365079365079,0.002581311306143521,0,False
L2,low,1,2,0.9,319,30,0.6550308008213552,0.5872689938398358,0.3675564681724846,0.9140401146131805,0.0020959966464053656,0.006594259291887283,0.02240896411240101,64,7,0.5079365079365079,0.0018069179143004647,0,False
L2,low,1,2,0.925,312,26,0.6406570841889117,0.5790554414784395,0.3675564681724846,0.9230769230769231,0.0018165304268846503,0.006594259291887283,0.02240896411240101,57,3,0.4523809523809524,0.0007743933918430562,0,False
