cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,max_suite_fpr,max_task_fpr,spatial_tp,spatial_fp,spatial_recall,spatial_fpr,eligible,representation,direction,width,confirmations,quantile,gpu_rank
development_main,all,candidate,14800,487,14313,30,457,400,366,34,121,14279,0.7515400410677618,0.0023754628659260813,0.915,0.6666666666666666,0.7571115973741794,8.0,0.7268993839835729,0.6714579055441479,0.39014373716632444,0.30390143737166325,0.0065942591155934835,0.022408963585434174,111,11,0.8809523809523809,0.002839442436757873,True,back_median,low,1,2,0.8,1
development_main,all,candidate,14800,487,14313,30,457,396,367,29,120,14284,0.7535934291581109,0.002026130091525187,0.9267676767676768,0.6666666666666666,0.7592997811816192,8.0,0.7248459958932238,0.6673511293634496,0.39014373716632444,0.30390143737166325,0.0065942591155934835,0.022408963585434174,112,6,0.8888888888888888,0.0015487867836861124,True,back_mean,low,1,2,0.8,2
development_main,all,candidate,14800,487,14313,30,457,395,366,29,121,14284,0.7515400410677618,0.002026130091525187,0.9265822784810127,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6673511293634496,0.38809034907597534,0.30390143737166325,0.0065942591155934835,0.022408963585434174,111,6,0.8809523809523809,0.0015487867836861124,True,back_mean,low,1,2,0.825,3
development_main,all,candidate,14800,487,14313,30,457,397,366,31,121,14282,0.7515400410677618,0.0021658632012855447,0.9219143576826196,0.6666666666666666,0.7571115973741794,8.0,0.7248459958932238,0.6673511293634496,0.38809034907597534,0.30390143737166325,0.0065942591155934835,0.022408963585434174,111,8,0.8809523809523809,0.002065049044914817,True,back_median,low,1,2,0.825,4
development_main,all,candidate,14800,487,14313,30,457,400,366,34,121,14279,0.7515400410677618,0.0023754628659260813,0.915,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6673511293634496,0.38193018480492813,0.30184804928131415,0.0065942591155934835,0.022408963585434174,111,11,0.8809523809523809,0.002839442436757873,True,back_max,low,1,2,0.825,5
development_main,all,candidate,14800,487,14313,30,457,401,368,33,119,14280,0.75564681724846,0.002305596311045902,0.9177057356608479,0.6666666666666666,0.7614879649890591,8.0,0.7268993839835729,0.6652977412731006,0.39014373716632444,0.30184804928131415,0.0065942591155934835,0.022408963585434174,113,10,0.8968253968253969,0.002581311306143521,True,L14,low,1,2,0.85,6
development_main,all,candidate,14800,487,14313,30,457,402,368,34,119,14279,0.75564681724846,0.0023754628659260813,0.9154228855721394,0.6666666666666666,0.7614879649890591,8.0,0.728952772073922,0.6652977412731006,0.38809034907597534,0.30390143737166325,0.0065942591155934835,0.022408963585434174,113,11,0.8968253968253969,0.002839442436757873,True,back_min,low,1,2,0.85,7
development_main,all,candidate,14800,487,14313,30,457,396,367,29,120,14284,0.7535934291581109,0.002026130091525187,0.9267676767676768,0.6666666666666666,0.7592997811816192,8.0,0.7227926078028748,0.6652977412731006,0.39014373716632444,0.30184804928131415,0.0065942591155934835,0.022408963585434174,112,6,0.8888888888888888,0.0015487867836861124,True,L14,low,1,2,0.875,8
development_main,all,candidate,14800,487,14313,30,457,395,366,29,121,14284,0.7515400410677618,0.002026130091525187,0.9265822784810127,0.6666666666666666,0.7571115973741794,8.0,0.7248459958932238,0.6652977412731006,0.3860369609856263,0.30390143737166325,0.0065942591155934835,0.022408963585434174,111,6,0.8809523809523809,0.0015487867836861124,True,back_median,low,1,2,0.85,9
development_main,all,candidate,14800,487,14313,30,457,397,366,31,121,14282,0.7515400410677618,0.0021658632012855447,0.9219143576826196,0.6666666666666666,0.7571115973741794,8.0,0.7227926078028748,0.6652977412731006,0.3798767967145791,0.30184804928131415,0.0065942591155934835,0.022408963585434174,111,8,0.8809523809523809,0.002065049044914817,True,back_max,low,1,2,0.85,10
