alpha,left,right,left_only_tp,right_only_tp,left_only_fp,right_only_fp,both_tp,both_fp
0.02,v7_calibrated,v8_calibrated,9,94,98,104,655,651
0.02,v7_calibrated,v82_calibrated,11,106,237,165,653,512
0.02,v7_calibrated,knn20,35,144,420,989,629,329
0.02,v7_calibrated,c4_assigned_radius,83,140,491,143,581,258
0.02,v8_calibrated,v82_calibrated,2,12,139,61,747,616
0.02,v8_calibrated,knn20,50,74,426,989,699,329
0.02,v8_calibrated,c4_assigned_radius,97,69,496,142,652,259
0.02,v82_calibrated,knn20,56,70,351,992,703,326
0.02,v82_calibrated,c4_assigned_radius,103,65,417,141,656,260
0.02,knn20,c4_assigned_radius,69,17,954,37,704,364
0.05,v7_calibrated,v8_calibrated,15,96,387,163,782,834
0.05,v7_calibrated,v82_calibrated,15,111,464,227,782,757
0.05,v7_calibrated,knn20,15,195,279,1812,782,942
0.05,v7_calibrated,c4_assigned_radius,36,181,481,480,761,740
0.05,v8_calibrated,v82_calibrated,6,21,79,66,872,918
0.05,v8_calibrated,knn20,22,121,274,2031,856,723
0.05,v8_calibrated,c4_assigned_radius,36,100,329,552,842,668
0.05,v82_calibrated,knn20,29,113,292,2062,864,692
0.05,v82_calibrated,c4_assigned_radius,44,93,348,584,849,636
0.05,knn20,c4_assigned_radius,60,25,1695,161,917,1059
