method,cohort,query_cutoff,protocol,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
v7_frozen,all,7,historical_global_profile_not_heldout_task_fit,32000,1096,30904,2,1,1094,30903,0.0018248175182481751,3.235827077400984e-05,0.6666666666666666,2,7.0,7.0
v7_frozen,all,10,historical_global_profile_not_heldout_task_fit,32000,1096,30904,28,2,1068,30902,0.025547445255474453,6.471654154801968e-05,0.9333333333333333,28,8.0,8.5
v7_frozen,all,13,historical_global_profile_not_heldout_task_fit,32000,1096,30904,36,9,1060,30895,0.032846715328467155,0.00029122443696608856,0.8,36,9.0,12.0
v7_frozen,all,20,historical_global_profile_not_heldout_task_fit,32000,1096,30904,287,50,809,30854,0.26186131386861317,0.0016179135387004919,0.8516320474777448,162,18.0,18.0
v7_frozen,all,51,historical_global_profile_not_heldout_task_fit,32000,1096,30904,859,151,237,30753,0.7837591240875912,0.0048860988868754856,0.8504950495049505,641,25.0,23.0
v7_frozen,B,7,historical_global_profile_not_heldout_task_fit,16000,564,15436,0,1,564,15435,0.0,6.47836227001814e-05,0.0,0,,7.0
v7_frozen,B,10,historical_global_profile_not_heldout_task_fit,16000,564,15436,14,1,550,15435,0.024822695035460994,6.47836227001814e-05,0.9333333333333333,14,8.5,7.0
v7_frozen,B,13,historical_global_profile_not_heldout_task_fit,16000,564,15436,20,4,544,15432,0.03546099290780142,0.0002591344908007256,0.8333333333333334,20,9.5,12.5
v7_frozen,B,20,historical_global_profile_not_heldout_task_fit,16000,564,15436,142,29,422,15407,0.25177304964539005,0.0018787250583052605,0.8304093567251462,78,17.0,18.0
v7_frozen,B,51,historical_global_profile_not_heldout_task_fit,16000,564,15436,439,81,125,15355,0.7783687943262412,0.005247473438714693,0.8442307692307692,331,25.0,22.0
v8_frozen,all,7,historical_global_profile_not_heldout_task_fit,32000,1096,30904,2,1,1094,30903,0.0018248175182481751,3.235827077400984e-05,0.6666666666666666,2,7.0,7.0
v8_frozen,all,10,historical_global_profile_not_heldout_task_fit,32000,1096,30904,31,4,1065,30900,0.028284671532846715,0.00012943308309603936,0.8857142857142857,31,9.0,9.5
v8_frozen,all,13,historical_global_profile_not_heldout_task_fit,32000,1096,30904,47,15,1049,30889,0.04288321167883212,0.00048537406161014754,0.7580645161290323,47,10.0,12.0
v8_frozen,all,20,historical_global_profile_not_heldout_task_fit,32000,1096,30904,341,61,755,30843,0.31113138686131386,0.0019738545172146,0.8482587064676617,220,17.0,17.0
v8_frozen,all,51,historical_global_profile_not_heldout_task_fit,32000,1096,30904,903,168,193,30736,0.823905109489051,0.005436189490033653,0.8431372549019608,699,25.0,22.0
v8_frozen,B,7,historical_global_profile_not_heldout_task_fit,16000,564,15436,0,1,564,15435,0.0,6.47836227001814e-05,0.0,0,,7.0
v8_frozen,B,10,historical_global_profile_not_heldout_task_fit,16000,564,15436,15,3,549,15433,0.026595744680851064,0.00019435086810054417,0.8333333333333334,15,9.0,9.0
v8_frozen,B,13,historical_global_profile_not_heldout_task_fit,16000,564,15436,26,10,538,15426,0.04609929078014184,0.000647836227001814,0.7222222222222222,26,10.0,12.0
v8_frozen,B,20,historical_global_profile_not_heldout_task_fit,16000,564,15436,173,37,391,15399,0.3067375886524823,0.0023969940399067116,0.8238095238095238,109,17.0,17.0
v8_frozen,B,51,historical_global_profile_not_heldout_task_fit,16000,564,15436,460,91,104,15345,0.8156028368794326,0.005895309665716507,0.8348457350272233,358,24.5,22.0
v82_frozen,all,7,historical_global_profile_not_heldout_task_fit,32000,1096,30904,2,1,1094,30903,0.0018248175182481751,3.235827077400984e-05,0.6666666666666666,2,7.0,7.0
v82_frozen,all,10,historical_global_profile_not_heldout_task_fit,32000,1096,30904,35,4,1061,30900,0.03193430656934307,0.00012943308309603936,0.8974358974358975,35,9.0,9.5
v82_frozen,all,13,historical_global_profile_not_heldout_task_fit,32000,1096,30904,55,17,1041,30887,0.05018248175182482,0.0005500906031581672,0.7638888888888888,55,10.0,12.0
v82_frozen,all,20,historical_global_profile_not_heldout_task_fit,32000,1096,30904,371,68,725,30836,0.3385036496350365,0.002200362412632669,0.8451025056947609,255,17.0,17.5
v82_frozen,all,51,historical_global_profile_not_heldout_task_fit,32000,1096,30904,933,182,163,30722,0.8512773722627737,0.00588920528086979,0.8367713004484305,729,25.0,21.0
v82_frozen,B,7,historical_global_profile_not_heldout_task_fit,16000,564,15436,0,1,564,15435,0.0,6.47836227001814e-05,0.0,0,,7.0
v82_frozen,B,10,historical_global_profile_not_heldout_task_fit,16000,564,15436,17,3,547,15433,0.030141843971631204,0.00019435086810054417,0.85,17,9.0,9.0
v82_frozen,B,13,historical_global_profile_not_heldout_task_fit,16000,564,15436,29,12,535,15424,0.051418439716312055,0.0007774034724021767,0.7073170731707317,29,10.0,11.5
v82_frozen,B,20,historical_global_profile_not_heldout_task_fit,16000,564,15436,189,42,375,15394,0.3351063829787234,0.0027209121534076184,0.8181818181818182,126,17.0,17.0
v82_frozen,B,51,historical_global_profile_not_heldout_task_fit,16000,564,15436,475,99,89,15337,0.8421985815602837,0.006413578647317958,0.8275261324041812,372,24.0,21.0
v8_padding_corrected,all,7,historical_global_profile_not_heldout_task_fit,32000,1096,30904,3,2,1093,30902,0.002737226277372263,6.471654154801968e-05,0.6,3,7.0,7.0
v8_padding_corrected,all,10,historical_global_profile_not_heldout_task_fit,32000,1096,30904,55,34,1041,30870,0.05018248175182482,0.0011001812063163344,0.6179775280898876,55,9.0,9.0
v8_padding_corrected,all,13,historical_global_profile_not_heldout_task_fit,32000,1096,30904,94,61,1002,30843,0.08576642335766424,0.0019738545172146,0.6064516129032258,94,10.0,10.0
v8_padding_corrected,all,20,historical_global_profile_not_heldout_task_fit,32000,1096,30904,451,156,645,30748,0.4114963503649635,0.005047890240745535,0.742998352553542,355,16.0,16.0
v8_padding_corrected,all,51,historical_global_profile_not_heldout_task_fit,32000,1096,30904,974,274,122,30630,0.8886861313868614,0.008866166192078695,0.780448717948718,813,23.0,20.0
v8_padding_corrected,B,7,historical_global_profile_not_heldout_task_fit,16000,564,15436,1,2,563,15434,0.0017730496453900709,0.0001295672454003628,0.3333333333333333,1,7.0,7.0
v8_padding_corrected,B,10,historical_global_profile_not_heldout_task_fit,16000,564,15436,28,21,536,15415,0.04964539007092199,0.0013604560767038092,0.5714285714285714,28,9.0,9.0
v8_padding_corrected,B,13,historical_global_profile_not_heldout_task_fit,16000,564,15436,57,35,507,15401,0.10106382978723404,0.0022674267945063486,0.6195652173913043,57,11.0,10.0
v8_padding_corrected,B,20,historical_global_profile_not_heldout_task_fit,16000,564,15436,232,92,332,15344,0.41134751773049644,0.005960093288416689,0.7160493827160493,184,16.0,15.5
v8_padding_corrected,B,51,historical_global_profile_not_heldout_task_fit,16000,564,15436,501,152,63,15284,0.8882978723404256,0.009847110650427572,0.7672281776416539,423,23.0,19.0
v82_padding_corrected,all,7,historical_global_profile_not_heldout_task_fit,32000,1096,30904,6,10,1090,30894,0.005474452554744526,0.00032358270774009834,0.375,6,7.0,7.0
v82_padding_corrected,all,10,historical_global_profile_not_heldout_task_fit,32000,1096,30904,60,69,1036,30835,0.05474452554744526,0.0022327206834066786,0.46511627906976744,60,9.0,9.0
v82_padding_corrected,all,13,historical_global_profile_not_heldout_task_fit,32000,1096,30904,109,114,987,30790,0.09945255474452555,0.0036888428682371214,0.48878923766816146,109,10.0,9.0
v82_padding_corrected,all,20,historical_global_profile_not_heldout_task_fit,32000,1096,30904,494,272,602,30632,0.45072992700729925,0.008801449650530676,0.6449086161879896,417,16.0,15.0
v82_padding_corrected,all,51,historical_global_profile_not_heldout_task_fit,32000,1096,30904,1013,436,83,30468,0.9242700729927007,0.014108206057468289,0.6991028295376122,878,21.0,18.0
