cohort,method,query_start,query_end,comparable_tasks,mean_task_query_auc
all,v7_calibrated,7,13,37,0.4742245411474115
all,v8_calibrated,7,13,37,0.6417878880494339
all,v82_calibrated,7,13,37,0.6487763625887286
all,clock,7,13,37,0.5
all,eef_motion_low,7,13,37,0.7056703764706689
all,knn20,7,13,37,0.6082674669380165
all,norm_only,7,13,37,0.5921201920078418
all,c4_assigned_radius,7,13,37,0.6113172459540407
all,c32_assigned_radius,7,13,37,0.5838342583373205
all,c32_union_radius,7,13,37,0.5852169269782579
all,cosine_knn20,7,13,37,0.46610392809576634
B,v7_calibrated,7,13,36,0.47583617204033085
B,v8_calibrated,7,13,36,0.6262153540020522
B,v82_calibrated,7,13,36,0.6344841202548246
B,clock,7,13,36,0.5
B,eef_motion_low,7,13,36,0.696334681918332
B,knn20,7,13,36,0.5960917716352186
B,norm_only,7,13,36,0.5936621543111941
B,c4_assigned_radius,7,13,36,0.5943239661434266
B,c32_assigned_radius,7,13,36,0.5852061705986031
B,c32_union_radius,7,13,36,0.5799672747288809
B,cosine_knn20,7,13,36,0.4499631729478371
