method,alpha,suite,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
v82_calibrated,0.05,libero_object,8000,81,7919,80,170,1,7749,0.9876543209876543,0.02146735698951888,0.32,79,16.0,12.0
v82_calibrated,0.05,libero_spatial,8000,266,7734,252,195,14,7539,0.9473684210526315,0.0252133436772692,0.5637583892617449,198,16.0,11.0
clock,0.05,libero_goal,8000,208,7792,208,68,0,7724,1.0,0.008726899383983572,0.7536231884057971,208,19.0,19.0
clock,0.05,libero_long,8000,541,7459,541,537,0,6922,1.0,0.07199356482102158,0.5018552875695733,541,34.0,34.0
clock,0.05,libero_object,8000,81,7919,81,104,0,7815,1.0,0.01313297133476449,0.43783783783783786,81,19.0,17.0
clock,0.05,libero_spatial,8000,266,7734,266,41,0,7693,1.0,0.00530126713214378,0.8664495114006515,266,14.0,14.0
eef_motion_low,0.05,libero_goal,8000,208,7792,167,1697,41,6095,0.8028846153846154,0.21778747433264886,0.0895922746781116,101,23.0,1.0
eef_motion_low,0.05,libero_long,8000,541,7459,210,80,331,7379,0.38817005545286504,0.010725298297358896,0.7241379310344828,186,37.0,16.0
eef_motion_low,0.05,libero_object,8000,81,7919,61,275,20,7644,0.7530864197530864,0.03472660689480995,0.18154761904761904,60,15.0,1.0
eef_motion_low,0.05,libero_spatial,8000,266,7734,264,155,2,7579,0.9924812030075187,0.02004137574347039,0.630071599045346,244,15.0,1.0
knn20,0.05,libero_goal,8000,208,7792,206,1927,2,5865,0.9903846153846154,0.24730492813141683,0.09657759024847633,190,17.0,9.0
knn20,0.05,libero_long,8000,541,7459,430,159,111,7300,0.7948243992606284,0.021316530366000803,0.7300509337860781,415,32.0,16.0
knn20,0.05,libero_object,8000,81,7919,75,141,6,7778,0.9259259259259259,0.01780527844424801,0.3472222222222222,63,18.0,11.0
knn20,0.05,libero_spatial,8000,266,7734,266,527,0,7207,1.0,0.06814067752779933,0.3354350567465322,260,13.0,11.0
norm_only,0.05,libero_goal,8000,208,7792,183,871,25,6921,0.8798076923076923,0.11178131416837782,0.17362428842504743,171,23.0,10.0
norm_only,0.05,libero_long,8000,541,7459,334,54,207,7405,0.6173752310536045,0.007239576350717254,0.8608247422680413,317,34.0,25.0
norm_only,0.05,libero_object,8000,81,7919,67,253,14,7666,0.8271604938271605,0.03194847834322515,0.209375,58,19.0,12.0
norm_only,0.05,libero_spatial,8000,266,7734,240,289,26,7445,0.9022556390977443,0.037367468321696407,0.45368620037807184,159,17.0,11.0
c4_assigned_radius,0.05,libero_goal,8000,208,7792,195,771,13,7021,0.9375,0.0989476386036961,0.20186335403726707,179,17.0,10.0
c4_assigned_radius,0.05,libero_long,8000,541,7459,405,82,136,7377,0.7486136783733827,0.010993430754792867,0.8316221765913757,386,33.0,25.0
c4_assigned_radius,0.05,libero_object,8000,81,7919,76,203,5,7716,0.9382716049382716,0.02563454981689607,0.2724014336917563,65,18.0,11.0
c4_assigned_radius,0.05,libero_spatial,8000,266,7734,266,164,0,7570,1.0,0.02120506852857512,0.6186046511627907,228,14.0,11.0
c32_assigned_radius,0.05,libero_goal,8000,208,7792,207,2253,1,5539,0.9951923076923077,0.28914271047227924,0.08414634146341464,205,15.0,9.0
