fold,method,alpha,calibration,threshold,rank,groups
libero_goal_full_3,eef_motion_low,0.02,task_init,3.5299768447875977,70,70
libero_goal_full_3,eef_motion_low,0.05,task_init,3.461897850036621,68,70
libero_goal_full_3,knn20,0.02,task_init,3.0058422088623047,70,70
libero_goal_full_3,knn20,0.05,task_init,2.1294748783111572,68,70
libero_goal_full_3,norm_only,0.02,task_init,6.5808820724487305,70,70
libero_goal_full_3,norm_only,0.05,task_init,6.094091415405273,68,70
libero_goal_full_3,c4_assigned_radius,0.02,task_init,2.4704062938690186,70,70
libero_goal_full_3,c4_assigned_radius,0.05,task_init,1.7388997077941895,68,70
libero_goal_full_3,c32_assigned_radius,0.02,task_init,3.5852179527282715,70,70
libero_goal_full_3,c32_assigned_radius,0.05,task_init,1.8182001113891602,68,70
libero_goal_full_3,c32_union_radius,0.02,task_init,2.898699998855591,70,70
libero_goal_full_3,c32_union_radius,0.05,task_init,1.8182001113891602,68,70
libero_goal_full_3,cosine_knn20,0.02,task_init,0.38718995451927185,70,70
libero_goal_full_3,cosine_knn20,0.05,task_init,0.33049798011779785,68,70
libero_long_full_0,v7_calibrated,0.02,task_init,9.81620979309082,69,69
libero_long_full_0,v7_calibrated,0.05,task_init,7.090991020202637,67,69
libero_long_full_0,v8_calibrated,0.02,task_init,9.81620979309082,69,69
libero_long_full_0,v8_calibrated,0.05,task_init,7.090991020202637,67,69
libero_long_full_0,v82_calibrated,0.02,task_init,9.81620979309082,69,69
libero_long_full_0,v82_calibrated,0.05,task_init,7.090991020202637,67,69
libero_long_full_0,clock,0.02,task_init,51.0,69,69
libero_long_full_0,clock,0.05,task_init,40.0,67,69
libero_long_full_0,eef_motion_low,0.02,task_init,2.0079185962677,69,69
libero_long_full_0,eef_motion_low,0.05,task_init,1.9774997234344482,67,69
libero_long_full_0,knn20,0.02,task_init,7.1594767570495605,69,69
libero_long_full_0,knn20,0.05,task_init,4.315521240234375,67,69
libero_long_full_0,norm_only,0.02,task_init,18.69838523864746,69,69
libero_long_full_0,norm_only,0.05,task_init,14.2236909866333,67,69
libero_long_full_0,c4_assigned_radius,0.02,task_init,3.193727970123291,69,69
libero_long_full_0,c4_assigned_radius,0.05,task_init,2.1916897296905518,67,69
libero_long_full_0,c32_assigned_radius,0.02,task_init,3.2661778926849365,69,69
libero_long_full_0,c32_assigned_radius,0.05,task_init,2.0164873600006104,67,69
libero_long_full_0,c32_union_radius,0.02,task_init,3.2661778926849365,69,69
libero_long_full_0,c32_union_radius,0.05,task_init,1.9669160842895508,67,69
libero_long_full_0,cosine_knn20,0.02,task_init,0.4592459499835968,69,69
libero_long_full_0,cosine_knn20,0.05,task_init,0.4260764420032501,67,69
libero_long_full_1,v7_calibrated,0.02,task_init,7.308974742889404,70,70
libero_long_full_1,v7_calibrated,0.05,task_init,6.712421894073486,68,70
libero_long_full_1,v8_calibrated,0.02,task_init,7.308974742889404,70,70
libero_long_full_1,v8_calibrated,0.05,task_init,6.712421894073486,68,70
libero_long_full_1,v82_calibrated,0.02,task_init,7.308974742889404,70,70
libero_long_full_1,v82_calibrated,0.05,task_init,6.712421894073486,68,70
libero_long_full_1,clock,0.02,task_init,37.0,70,70
libero_long_full_1,clock,0.05,task_init,33.0,68,70
libero_long_full_1,eef_motion_low,0.02,task_init,2.447927713394165,70,70
libero_long_full_1,eef_motion_low,0.05,task_init,2.442152500152588,68,70
libero_long_full_1,knn20,0.02,task_init,5.159893035888672,70,70
libero_long_full_1,knn20,0.05,task_init,3.9340829849243164,68,70
libero_long_full_1,norm_only,0.02,task_init,13.806565284729004,70,70
libero_long_full_1,norm_only,0.05,task_init,13.135553359985352,68,70
libero_long_full_1,c4_assigned_radius,0.02,task_init,2.631014585494995,70,70
libero_long_full_1,c4_assigned_radius,0.05,task_init,2.1838085651397705,68,70
libero_long_full_1,c32_assigned_radius,0.02,task_init,3.111163854598999,70,70
libero_long_full_1,c32_assigned_radius,0.05,task_init,2.1185343265533447,68,70
libero_long_full_1,c32_union_radius,0.02,task_init,2.4176812171936035,70,70
libero_long_full_1,c32_union_radius,0.05,task_init,2.107677459716797,68,70
libero_long_full_1,cosine_knn20,0.02,task_init,0.42358821630477905,70,70
libero_long_full_1,cosine_knn20,0.05,task_init,0.3964971899986267,68,70
libero_long_full_2,v7_calibrated,0.02,task_init,7.577538967132568,68,68
libero_long_full_2,v7_calibrated,0.05,task_init,4.90557336807251,66,68
libero_long_full_2,v8_calibrated,0.02,task_init,7.577538967132568,68,68
libero_long_full_2,v8_calibrated,0.05,task_init,5.540431976318359,66,68
libero_long_full_2,v82_calibrated,0.02,task_init,7.577538967132568,68,68
libero_long_full_2,v82_calibrated,0.05,task_init,5.901872158050537,66,68
libero_long_full_2,clock,0.02,task_init,43.0,68,68
libero_long_full_2,clock,0.05,task_init,40.0,66,68
libero_long_full_2,eef_motion_low,0.02,task_init,2.15895938873291,68,68
libero_long_full_2,eef_motion_low,0.05,task_init,2.128722667694092,66,68
