task,primary_physical_pattern,group_n,episode,init_state_id,flow_noise_seed,late_motion_class,task_progress_final,task_progress_regression,selection
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,69,7,1005,active,0.3856697859396684,0.19665281645429522,closest to group median in progress-regression and late-motion plane
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,185,16,1025,stasis,0.313921374164235,0.29195219224803554,closest to group median in progress-regression and late-motion plane
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,ongoing_bowl_placement_failure,3,144,13,1016,active,0.4018356309115201,0.15161501426782809,closest to group median in progress-regression and late-motion plane
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,active_at_unfinished_pot1,45,99,10,1003,active,0.5018854041018022,0.0009593970511103667,closest to group median in progress-regression and late-motion plane
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,293,29,1005,active,0.9881182541646052,0.0033135750587461876,closest to group median in progress-regression and late-motion plane
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,286,26,1030,active,0.8603592678792281,0.10986419688088189,closest to group median in progress-regression and late-motion plane
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,389,39,1005,active,0.4971955179382582,0.0117177135940435,closest to group median in progress-regression and late-motion plane
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,498,49,1018,stasis,0.5047595988923671,0.008188824520033,closest to group median in progress-regression and late-motion plane
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,449,46,1001,active,0.5870108675375414,0.019009596106261517,closest to group median in progress-regression and late-motion plane
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,204,20,1012,active,0.9854791799452417,0.0034386680108059453,closest to group median in progress-regression and late-motion plane
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,transported_bowl_not_placed,1,435,42,1019,active,0.9382851277253959,0.036511541090690436,closest to group median in progress-regression and late-motion plane
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,226,23,1002,stasis,0.00032722578206967334,0.0,closest to group median in progress-regression and late-motion plane
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,268,26,1012,intermittent,0.20066631670451995,0.0,closest to group median in progress-regression and late-motion plane
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,empty_goal_side_close_proxy,2,106,10,1010,active,-0.0034068173824628456,0.003406890974288479,closest to group median in progress-regression and late-motion plane
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,transported_bowl_not_placed,2,130,13,1002,stasis,0.9935586881192857,0.00269911978170867,closest to group median in progress-regression and late-motion plane
