ref_variant,corpus,suite,task,scene,repeat,episode_id,n_queries,loop_valid_onset,static_onset_q,trap_valid_onset,dev_fixed,argmax_fixed,n_fixed_cells,dev_event,n_event_cells,has_event,event_unverified
group,grid50x8,libero_long,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,36,0,288,52,-1,47,47,35.714285714285715,C@t20,9,,0,True,True
group,grid50x8,libero_long,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,6,1,49,52,31,43,31,33.33333333333333,S_margin@t20,9,,0,True,True
group,grid50x8,libero_long,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,44,2,354,52,-1,-1,-1,35.714285714285715,S_margin@t20,9,,0,False,False
group,grid50x8,libero_long,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,7,5,61,52,-1,40,40,33.33333333333333,V@t20,9,,0,True,True
group,grid50x8,libero_long,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,16,5,133,52,-1,-1,-1,35.714285714285715,S_margin@t20,9,,0,False,False
group,grid50x8,libero_long,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,30,1,241,52,-1,-1,-1,33.33333333333333,V@t20,9,,0,False,False
group,grid50x8,libero_object,pick_up_the_milk_and_place_it_in_the_basket,13,4,108,28,-1,21,21,33.33333333333333,S_ent@t8,18,,0,True,True
group,grid50x8,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,34,4,276,28,21,-1,21,35.714285714285715,S_margin@t12,18,,0,True,True
group,grid50x8,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,13,0,104,22,14,-1,14,35.714285714285715,A@t8,9,,0,True,True
group,grid50x8,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,43,4,348,22,-1,-1,-1,35.714285714285715,S_margin@t8,9,,0,False,False
group,grid50x8,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,48,0,384,22,-1,-1,-1,33.33333333333333,C@t8,9,,0,False,False
group,grid50x8,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,29,0,232,22,16,21,16,35.714285714285715,S_margin@t8,9,,0,True,True
group,grid50x8,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,40,5,325,22,14,21,14,21.42857142857143,C@t8,9,,0,True,True
group,grid50x8,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,44,5,357,22,-1,-1,-1,35.714285714285715,V@t8,9,,0,False,False
group,grid50x8,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,0,8,22,-1,-1,-1,33.33333333333333,V@t8,9,,0,False,False
group,grid50x8,libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,12,5,101,22,-1,-1,-1,35.714285714285715,mob1_w8@t8,9,,0,False,False
group,main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,29,20,308,30,23,-1,23,35.18518518518518,mob1_w8@t12,27,,0,True,True
group,main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,7,10,74,52,45,-1,45,39.65517241379311,V@t20,27,,0,True,True
group,main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,46,1,449,22,13,-1,13,35.71428571428571,S_margin@t8,9,,0,True,True
group,main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,46,30,478,22,-1,-1,-1,39.285714285714285,mob1_w8@t8,9,,0,False,False
