corpus,suite,t,outcome,n_eps,frac_alive
grid50x8,libero_goal,8,fail,102,1.0
grid50x8,libero_goal,8,succ,3898,0.7934838378655721
grid50x8,libero_goal,12,fail,102,1.0
grid50x8,libero_goal,12,succ,3898,0.32606464853771167
grid50x8,libero_goal,16,fail,102,1.0
grid50x8,libero_goal,16,succ,3898,0.09799897383273473
grid50x8,libero_long,20,fail,267,1.0
grid50x8,libero_long,20,succ,3733,0.9105277256897937
grid50x8,libero_long,25,fail,267,1.0
grid50x8,libero_long,25,succ,3733,0.3048486472006429
grid50x8,libero_long,30,fail,267,1.0
grid50x8,libero_long,30,succ,3733,0.08974015537101528
grid50x8,libero_object,8,fail,37,1.0
grid50x8,libero_object,8,succ,3963,1.0
grid50x8,libero_object,12,fail,37,1.0
grid50x8,libero_object,12,succ,3963,0.8508705526116578
grid50x8,libero_object,16,fail,37,1.0
grid50x8,libero_object,16,succ,3963,0.046934140802422405
grid50x8,libero_spatial,8,fail,126,1.0
grid50x8,libero_spatial,8,succ,3874,0.9150748580278781
grid50x8,libero_spatial,12,fail,126,1.0
grid50x8,libero_spatial,12,succ,3874,0.16365513680949922
grid50x8,libero_spatial,16,fail,126,1.0
grid50x8,libero_spatial,16,succ,3874,0.0005162622612287042
main16x32,libero_goal,8,fail,42,1.0
main16x32,libero_goal,8,succ,982,1.0
main16x32,libero_goal,12,fail,42,1.0
main16x32,libero_goal,12,succ,982,0.780040733197556
main16x32,libero_goal,16,fail,42,1.0
main16x32,libero_goal,16,succ,982,0.4786150712830957
main16x32,libero_long,20,fail,216,1.0
main16x32,libero_long,20,succ,296,1.0
main16x32,libero_long,25,fail,216,1.0
main16x32,libero_long,25,succ,296,1.0
main16x32,libero_long,30,fail,216,1.0
main16x32,libero_long,30,succ,296,1.0
main16x32,libero_spatial,8,fail,49,1.0
main16x32,libero_spatial,8,succ,975,1.0
main16x32,libero_spatial,12,fail,49,1.0
main16x32,libero_spatial,12,succ,975,0.26256410256410256
main16x32,libero_spatial,16,fail,49,1.0
main16x32,libero_spatial,16,succ,975,0.0041025641025641026
