corpus,suite,task,scene,repeat,episode_id,success,n_queries,loop_onset_q,loop_valid_onset,static_onset_q,trap_valid_onset,dev_fixed,argmax_fixed,n_fixed_cells,dev_event,argmax_event,n_event_cells,has_event,onset_used,status,event_unverified
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,1,7,15,0,30,26,26,18,18,50.0,A@t12,27,50.0,V@t14,45,True,18,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,2,1,17,0,30,-1,-1,-1,-1,50.0,V@t16,27,,,0,False,-1,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,3,1,25,0,30,23,23,-1,23,50.0,S_margin@t12,27,50.0,V@t19,18,True,23,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,4,1,33,0,30,-1,-1,-1,-1,48.275862068965516,C@t16,27,,,0,False,-1,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,4,5,37,0,30,23,23,-1,23,44.54022988505747,S_margin@t16,27,50.0,V@t19,18,True,23,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,5,0,40,0,30,22,22,-1,22,42.241379310344826,S_margin@t8,27,50.0,V@t19,27,True,22,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,5,1,41,0,30,-1,-1,-1,-1,45.97701149425287,flow_com@t12,27,,,0,False,-1,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,5,3,43,0,30,-1,-1,-1,-1,44.25287356321839,C@t16,27,,,0,False,-1,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,5,4,44,0,30,21,21,-1,21,43.67816091954023,S_margin@t16,27,50.0,V@t19,36,True,21,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,5,5,45,0,30,-1,-1,-1,-1,50.0,A@t12,27,,,0,False,-1,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,5,6,46,0,30,-1,-1,-1,-1,48.5632183908046,flow_com@t12,27,,,0,False,-1,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,7,4,60,0,30,8,8,-1,8,49.425287356321846,mob1_w8@t16,27,45.40229885057471,flow_com@t8,41,True,8,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,8,6,70,0,30,-1,-1,13,13,50.0,V@t8,27,50.0,V@t9,45,True,13,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,9,0,72,0,30,22,22,-1,22,49.425287356321846,mob1_w8@t8,27,50.0,V@t18,27,True,22,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,9,1,73,0,30,22,22,-1,22,48.27586206896552,mob1_w8@t8,27,50.0,mob1_w8@t18,27,True,22,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,9,3,75,0,30,22,22,-1,22,49.425287356321846,mob1_w8@t8,27,50.0,flow_com@t18,27,True,22,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,9,6,78,0,30,21,21,-1,21,47.98850574712644,S_ent@t12,27,50.0,V@t19,36,True,21,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,9,7,79,0,30,22,22,-1,22,48.56321839080459,mob1_w8@t8,27,50.0,V@t19,27,True,22,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,13,7,111,0,30,-1,-1,-1,-1,50.0,C@t12,27,,,0,False,-1,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,15,1,121,0,30,23,23,-1,23,42.816091954022994,C@t8,27,50.0,V@t19,18,True,23,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,16,1,129,0,30,23,23,-1,23,44.827586206896555,mob1_w8@t16,27,50.0,V@t19,18,True,23,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,16,3,131,0,30,21,21,-1,21,49.712643678160916,S_margin@t12,27,50.0,mob1_w8@t18,36,True,21,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,16,4,132,0,30,-1,-1,27,27,50.0,S_margin@t12,27,,,0,True,27,detectable,True
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,16,5,133,0,30,-1,-1,-1,-1,49.425287356321846,S_margin@t12,27,,,0,False,-1,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,16,6,134,0,30,23,23,-1,23,47.1264367816092,S_margin@t12,27,50.0,V@t19,18,True,23,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,16,7,135,0,30,-1,-1,29,29,50.0,S_margin@t12,27,,,0,True,29,detectable,True
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,17,4,140,0,30,23,23,-1,23,44.54022988505747,S_margin@t8,27,50.0,V@t19,18,True,23,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,18,3,147,0,30,-1,-1,26,26,43.103448275862064,D_layer@t8,27,,,0,True,26,detectable,True
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,23,5,189,0,30,22,22,-1,22,46.55172413793103,V@t8,27,50.0,V@t19,27,True,22,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,24,3,195,0,30,22,22,-1,22,47.41379310344828,A@t12,27,50.0,V@t19,27,True,22,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,24,7,199,0,30,22,22,-1,22,45.689655172413794,C@t16,27,50.0,V@t19,27,True,22,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,25,3,203,0,30,22,22,-1,22,50.0,mob1_w8@t8,27,50.0,mob1_w8@t18,27,True,22,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,26,2,210,0,30,23,23,-1,23,39.08045977011494,mob1_w8@t16,27,50.0,V@t19,18,True,23,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,26,5,213,0,30,-1,-1,-1,-1,49.13793103448276,S_margin@t16,27,,,0,False,-1,detectable,False
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,27,7,223,0,30,22,22,-1,22,47.98850574712644,flow_com@t12,27,50.0,V@t18,27,True,22,detectable,False
