task,usable,adverse,recovered_success,compounded_failure,physical_score_auc,routed_risk_auc_within_adverse,within_adverse_pairs
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,512,154,134,20,0.421875,0.38095238095238093,21
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,472,193,103,90,0.49783549783549785,0.43089430894308944,123
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,512,178,174,4,0.44871794871794873,0.4,5
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,512,149,138,11,0.49238578680203043,0.23076923076923078,13
