task,branch,target,denoise,scene_macro_spearman
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,0,0.39541253508342333
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,1,0.3790539362765055
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,2,0.3895041251910289
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,3,0.3979207478497574
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,4,0.37594995068160675
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,5,0.3791505877887068
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,6,0.3393840867787369
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,7,0.29662467104680873
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,8,0.29381816313324716
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,action,9,0.18195085100043074
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,0,0.5012457565530033
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,1,0.5033562936760347
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,2,0.5016075190143795
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,3,0.5046102125952194
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,4,0.5059499592865109
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,5,0.5070743682525258
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,6,0.5087594051601888
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,7,0.4985004971176029
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,8,0.46455386768312706
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,action,9,0.3964432981073145
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden,action,0,0.46683425332050954
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden,action,1,0.47158334292165505
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden,action,2,0.474275719074958
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden,action,3,0.4813609786775393
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden,action,4,0.4872534940827762
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden,action,5,0.49614389661527325
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden,action,6,0.5043780399896938
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden,action,7,0.5042582228463646
