task,branch,denoise,mean_cosine_to_final,failure_conditional_auc,auc_ci_low,auc_ci_high
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,0,0.1571747064590454,0.44483985765124556,0.32295081967213113,0.583011583011583
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,1,0.17657704651355743,0.4608540925266904,0.3916786226685796,0.5438596876096876
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,2,0.20173317193984985,0.4412811387900356,0.31576576576576576,0.6010919828402699
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,3,0.23808181285858154,0.4804270462633452,0.3518908386157872,0.6294416243654822
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,4,0.2881327271461487,0.4679715302491103,0.3261455525606469,0.5889967637540453
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,5,0.356688916683197,0.501779359430605,0.3401015228426396,0.6417021121997843
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,6,0.4544380009174347,0.45373665480427045,0.34648809523809526,0.5598705501618123
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,7,0.5755826234817505,0.4359430604982206,0.2520622794133766,0.5810903879085697
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,8,0.7326923608779907,0.37722419928825623,0.21649484536082475,0.5377777777777778
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed,9,1.0,0.5,0.5,0.5
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,0,0.2475447654724121,0.40391459074733094,0.28802588996763756,0.5199225677194028
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,1,0.27329736948013306,0.40213523131672596,0.2857142857142857,0.5199110070257612
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,2,0.30811449885368347,0.41637010676156583,0.29449838187702265,0.5400129870129871
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,3,0.35523468255996704,0.4234875444839858,0.3070138043036947,0.5407407407407407
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,4,0.4169726073741913,0.4430604982206406,0.32867132867132864,0.5524213868788133
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,5,0.4977940320968628,0.45373665480427045,0.35148514851485146,0.5404987667119469
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,6,0.599563479423523,0.4750889679715303,0.3811881188118812,0.5568428853754941
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,7,0.7208456993103027,0.498220640569395,0.3910596361185984,0.5871121718377088
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,8,0.8687506914138794,0.5391459074733096,0.4565122460603759,0.6179035122336229
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared,9,1.0,0.5,0.5,0.5
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden,0,0.47792893648147583,0.42704626334519574,0.30238726790450926,0.5329949238578681
