method,delta,lo,hi,tasks
absolute_gate,0.04486790398281479,0.013545371729668002,0.08277379199301312,36
recovery,0.04489045088036169,0.013564216241707068,0.08279690256299868,36
selected,0.01478285191018087,0.002034508836263468,0.027569161047075567,36
