task,suite,query,method,auc,failures,successes
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v82_reference,0.43114781729310636,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,recent4,0.43114781729310636,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,absolute_gate,0.43148491488285856,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,recovery,0.43148491488285856,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,recovery_fixed,0.4273835608742064,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,recovery_confirm2,0.5943592336648126,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,recent4_confirm2,0.5940783190066857,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,selected,0.444069891566942,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v82_reference,0.43715939097702117,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,recent4,0.43715939097702117,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,absolute_gate,0.4385639642676555,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,recovery,0.4385639642676555,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,recovery_fixed,0.4574976122254059,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,recovery_confirm2,0.45783470981515817,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,recovery_confirm3,0.5962694533400753,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,reference_confirm3,0.5959885386819485,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,recent4_confirm2,0.4575537951570313,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,selected,0.4531715264902523,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v82_reference,0.6168324063149615,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,recent4,0.6168324063149615,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,absolute_gate,0.6090229788190348,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,recovery,0.6090229788190348,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,recovery_fixed,0.619473004101354,51,349
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,recovery_confirm2,0.5617731333220968,51,349
