method,calibration,alpha,scope,query,tp,fp,failures,successes,active_failure,active_success,recall,fpr
v82_reference,episode,0.005,all,0,0,0,564,15436,564,15436,0.0,0.0
v82_reference,episode,0.005,all,1,0,0,564,15436,564,15436,0.0,0.0
v82_reference,episode,0.005,all,2,0,0,564,15436,564,15436,0.0,0.0
v82_reference,episode,0.005,all,3,0,0,564,15436,564,15436,0.0,0.0
v82_reference,episode,0.005,all,4,0,0,564,15436,564,15436,0.0,0.0
v82_reference,episode,0.005,all,5,0,0,564,15436,564,15436,0.0,0.0
v82_reference,episode,0.005,all,6,0,0,564,15436,564,15436,0.0,0.0
v82_reference,episode,0.005,all,7,0,1,564,15436,564,15299,0.0,6.47836227001814e-05
v82_reference,episode,0.005,all,8,7,1,564,15436,564,14292,0.012411347517730497,6.47836227001814e-05
v82_reference,episode,0.005,all,9,11,1,564,15436,564,12438,0.01950354609929078,6.47836227001814e-05
v82_reference,episode,0.005,all,10,14,3,564,15436,564,11178,0.024822695035460994,0.00019435086810054417
v82_reference,episode,0.005,all,11,19,3,564,15436,564,10571,0.03368794326241135,0.00019435086810054417
v82_reference,episode,0.005,all,12,20,6,564,15436,564,8982,0.03546099290780142,0.00038870173620108835
v82_reference,episode,0.005,all,13,23,15,564,15436,564,6735,0.040780141843971635,0.0009717543405027209
v82_reference,episode,0.005,all,14,39,17,564,15436,564,5543,0.06914893617021277,0.0011013215859030838
v82_reference,episode,0.005,all,15,54,17,564,15436,564,4584,0.09574468085106383,0.0011013215859030838
v82_reference,episode,0.005,all,16,64,20,564,15436,564,4239,0.11347517730496454,0.001295672454003628
v82_reference,episode,0.005,all,17,78,23,564,15436,564,4024,0.13829787234042554,0.0014900233221041722
v82_reference,episode,0.005,all,18,92,28,564,15436,564,3739,0.16312056737588654,0.001813941435605079
v82_reference,episode,0.005,all,19,123,33,564,15436,564,3530,0.21808510638297873,0.002137859549105986
v82_reference,episode,0.005,all,20,140,39,564,15436,564,3431,0.24822695035460993,0.0025265612853070745
v82_reference,episode,0.005,all,21,162,43,564,15436,564,3212,0.2872340425531915,0.0027856957761078
v82_reference,episode,0.005,all,22,167,51,564,15436,424,2776,0.29609929078014185,0.003303964757709251
v82_reference,episode,0.005,all,23,174,54,564,15436,424,2326,0.30851063829787234,0.003498315625809795
v82_reference,episode,0.005,all,24,192,59,564,15436,424,1750,0.3404255319148936,0.0038222337393107025
v82_reference,episode,0.005,all,25,206,60,564,15436,424,1118,0.36524822695035464,0.0038870173620108835
v82_reference,episode,0.005,all,26,213,61,564,15436,424,707,0.3776595744680851,0.003951800984711065
v82_reference,episode,0.005,all,27,215,61,564,15436,424,499,0.38120567375886527,0.003951800984711065
v82_reference,episode,0.005,all,28,220,62,564,15436,380,389,0.3900709219858156,0.004016584607411246
v82_reference,episode,0.005,all,29,233,63,564,15436,380,355,0.41312056737588654,0.0040813682301114275
v82_reference,episode,0.005,all,30,251,64,564,15436,274,333,0.4450354609929078,0.004146151852811609
v82_reference,episode,0.005,all,31,275,68,564,15436,274,313,0.4875886524822695,0.004405286343612335
v82_reference,episode,0.005,all,32,308,71,564,15436,274,295,0.5460992907801419,0.004599637211712879
v82_reference,episode,0.005,all,33,327,74,564,15436,274,287,0.5797872340425532,0.004793988079813423
v82_reference,episode,0.005,all,34,340,74,564,15436,274,284,0.6028368794326241,0.004793988079813423
v82_reference,episode,0.005,all,35,351,75,564,15436,274,278,0.6223404255319149,0.004858771702513604
v82_reference,episode,0.005,all,36,356,76,564,15436,274,270,0.6312056737588653,0.004923555325213786
v82_reference,episode,0.005,all,37,359,76,564,15436,274,245,0.6365248226950354,0.004923555325213786
v82_reference,episode,0.005,all,38,359,76,564,15436,274,185,0.6365248226950354,0.004923555325213786
v82_reference,episode,0.005,all,39,362,76,564,15436,274,110,0.6418439716312057,0.004923555325213786
v82_reference,episode,0.005,all,40,366,76,564,15436,274,60,0.648936170212766,0.004923555325213786
v82_reference,episode,0.005,all,41,369,76,564,15436,274,37,0.6542553191489362,0.004923555325213786
v82_reference,episode,0.005,all,42,370,76,564,15436,274,28,0.6560283687943262,0.004923555325213786
v82_reference,episode,0.005,all,43,374,76,564,15436,274,23,0.6631205673758865,0.004923555325213786
v82_reference,episode,0.005,all,44,375,76,564,15436,274,14,0.6648936170212766,0.004923555325213786
v82_reference,episode,0.005,all,45,376,76,564,15436,274,11,0.6666666666666666,0.004923555325213786
v82_reference,episode,0.005,all,46,378,76,564,15436,274,8,0.6702127659574468,0.004923555325213786
v82_reference,episode,0.005,all,47,381,76,564,15436,274,5,0.675531914893617,0.004923555325213786
v82_reference,episode,0.005,all,48,384,76,564,15436,274,2,0.6808510638297872,0.004923555325213786
v82_reference,episode,0.005,all,49,386,76,564,15436,274,2,0.6843971631205674,0.004923555325213786
v82_reference,episode,0.005,all,50,389,76,564,15436,274,2,0.6897163120567376,0.004923555325213786
v82_reference,episode,0.005,all,51,392,76,564,15436,274,0,0.6950354609929078,0.004923555325213786
v82_reference,episode,0.005,libero_goal,0,0,0,106,3894,106,3894,0.0,0.0
v82_reference,episode,0.005,libero_goal,1,0,0,106,3894,106,3894,0.0,0.0
v82_reference,episode,0.005,libero_goal,2,0,0,106,3894,106,3894,0.0,0.0
v82_reference,episode,0.005,libero_goal,3,0,0,106,3894,106,3894,0.0,0.0
v82_reference,episode,0.005,libero_goal,4,0,0,106,3894,106,3894,0.0,0.0
v82_reference,episode,0.005,libero_goal,5,0,0,106,3894,106,3894,0.0,0.0
v82_reference,episode,0.005,libero_goal,6,0,0,106,3894,106,3894,0.0,0.0
v82_reference,episode,0.005,libero_goal,7,0,0,106,3894,106,3771,0.0,0.0
v82_reference,episode,0.005,libero_goal,8,0,0,106,3894,106,3073,0.0,0.0
v82_reference,episode,0.005,libero_goal,9,0,0,106,3894,106,1921,0.0,0.0
v82_reference,episode,0.005,libero_goal,10,0,2,106,3894,106,1566,0.0,0.0005136106831022085
v82_reference,episode,0.005,libero_goal,11,1,2,106,3894,106,1553,0.009433962264150943,0.0005136106831022085
v82_reference,episode,0.005,libero_goal,12,1,3,106,3894,106,1277,0.009433962264150943,0.0007704160246533128
v82_reference,episode,0.005,libero_goal,13,3,4,106,3894,106,729,0.02830188679245283,0.001027221366204417
v82_reference,episode,0.005,libero_goal,14,13,4,106,3894,106,495,0.12264150943396226,0.001027221366204417
v82_reference,episode,0.005,libero_goal,15,17,4,106,3894,106,413,0.16037735849056603,0.001027221366204417
v82_reference,episode,0.005,libero_goal,16,19,4,106,3894,106,394,0.1792452830188679,0.001027221366204417
v82_reference,episode,0.005,libero_goal,17,24,4,106,3894,106,369,0.22641509433962265,0.001027221366204417
v82_reference,episode,0.005,libero_goal,18,26,5,106,3894,106,221,0.24528301886792453,0.0012840267077555213
v82_reference,episode,0.005,libero_goal,19,30,5,106,3894,106,83,0.2830188679245283,0.0012840267077555213
v82_reference,episode,0.005,libero_goal,20,30,5,106,3894,106,33,0.2830188679245283,0.0012840267077555213
v82_reference,episode,0.005,libero_goal,21,33,5,106,3894,106,18,0.3113207547169811,0.0012840267077555213
v82_reference,episode,0.005,libero_goal,22,35,5,106,3894,106,9,0.330188679245283,0.0012840267077555213
v82_reference,episode,0.005,libero_goal,23,41,5,106,3894,106,6,0.3867924528301887,0.0012840267077555213
v82_reference,episode,0.005,libero_goal,24,57,5,106,3894,106,5,0.5377358490566038,0.0012840267077555213
v82_reference,episode,0.005,libero_goal,25,69,6,106,3894,106,2,0.6509433962264151,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,26,73,6,106,3894,106,1,0.6886792452830188,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,27,73,6,106,3894,106,1,0.6886792452830188,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,28,76,6,106,3894,106,1,0.7169811320754716,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,29,83,6,106,3894,106,1,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,30,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,31,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,32,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,33,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,34,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,35,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,36,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,37,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,38,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,39,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
v82_reference,episode,0.005,libero_goal,40,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256
