method,calibration,alpha,scope,tp,fp,failures,successes,active_failure,active_success,recall,fpr,recall_lo,recall_hi,fpr_lo,fpr_hi
recovery_confirm3,episode,0.005,libero_object,29,1,44,3956,0,0,0.6590909090909091,0.0002527805864509606,0.41855620155038764,0.8333333333333334,0.0,0.0007600709399543957
recovery_confirm3,episode,0.005,libero_spatial,60,4,140,3860,0,0,0.42857142857142855,0.0010362694300518134,0.3165820107732909,0.6051256331812025,0.0,0.002654033631656829
reference_confirm3,episode,0.005,all,384,78,564,15436,274,0,0.6808510638297872,0.005053122570614149,0.611240964891427,0.7493560466866153,0.0025765652139308494,0.008197145407779197
reference_confirm3,episode,0.005,libero_goal,77,7,106,3894,0,0,0.7264150943396226,0.0017976373908577298,0.5430010393739301,1.0,0.0002553593560742932,0.00407456494393438
reference_confirm3,episode,0.005,libero_long,206,52,274,3726,274,0,0.7518248175182481,0.013955984970477724,0.7118224826450504,0.9056659267480577,0.00531512325116589,0.025472649724851745
reference_confirm3,episode,0.005,libero_object,22,17,44,3956,0,0,0.5,0.004297269969666329,0.2777564102564103,0.689675697865353,0.00025412637864665816,0.010568763030678519
reference_confirm3,episode,0.005,libero_spatial,79,2,140,3860,0,0,0.5642857142857143,0.0005181347150259067,0.3798316208930734,0.7159218113975576,0.0,0.0012976901116013497
recent4_confirm2,episode,0.005,all,381,74,564,15436,274,0,0.675531914893617,0.004793988079813423,0.6032930007753089,0.7396183037042424,0.0024690764058169345,0.0077077594794229196
recent4_confirm2,episode,0.005,libero_goal,80,7,106,3894,0,0,0.7547169811320755,0.0017976373908577298,0.5554517133956387,1.0,0.0002553593560742932,0.0038199046349384814
recent4_confirm2,episode,0.005,libero_long,202,51,274,3726,274,0,0.7372262773722628,0.013687600644122383,0.6995278026540748,0.8873283450704226,0.005096807495276495,0.024786907574362034
recent4_confirm2,episode,0.005,libero_object,21,14,44,3956,0,0,0.4772727272727273,0.003538928210313448,0.26525241675617617,0.6666666666666666,0.00025412637864665816,0.008304028095533121
recent4_confirm2,episode,0.005,libero_spatial,78,2,140,3860,0,0,0.5571428571428572,0.0005181347150259067,0.35291394335511983,0.7034656192613751,0.0,0.0012976901116013497
selected,episode,0.005,all,363,75,564,15436,274,0,0.6436170212765957,0.004858771702513604,0.562037988594511,0.7112413760253503,0.002630312856023149,0.007486454125860817
selected,episode,0.005,libero_goal,82,13,106,3894,0,0,0.7735849056603774,0.003338469440164355,0.5087719298245614,1.0,0.0005107187121485864,0.007547169811320755
selected,episode,0.005,libero_long,195,49,274,3726,274,0,0.7116788321167883,0.013150831991411701,0.6802024740476518,0.8226043643263756,0.005094718280577237,0.02318840579710145
selected,episode,0.005,libero_object,20,11,44,3956,0,0,0.45454545454545453,0.002780586450960566,0.2777777777777778,0.6101930320150658,0.00025412637864665816,0.006320010402813549
selected,episode,0.005,libero_spatial,66,2,140,3860,0,0,0.4714285714285714,0.0005181347150259067,0.3406534954407295,0.6579057017543859,0.0,0.0012976901116013497
