fold,method,calibration,alpha,threshold,watch_threshold,rank,units,exceedances
0,v82_reference,episode,0.005,4.933255195617676,3.049753427505493,3083,3097,14
0,v82_reference,episode,0.01,4.260152816772461,3.049753427505493,3068,3097,29
0,v82_reference,episode,0.02,3.856074810028076,3.049753427505493,3037,3097,60
0,v82_reference,episode,0.05,3.4610114097595215,3.049753427505493,2944,3097,153
0,recent4,episode,0.005,4.933255195617676,3.049753427505493,3083,3097,14
0,recent4,episode,0.01,4.260152816772461,3.049753427505493,3068,3097,29
0,recent4,episode,0.02,3.856074810028076,3.049753427505493,3037,3097,60
0,recent4,episode,0.05,3.4610114097595215,3.049753427505493,2944,3097,153
0,absolute_gate,episode,0.005,3.592226982116699,2.3341636657714844,3083,3097,14
0,absolute_gate,episode,0.01,3.4170641899108887,2.3341636657714844,3068,3097,29
0,absolute_gate,episode,0.02,3.031846523284912,2.3341636657714844,3037,3097,60
0,absolute_gate,episode,0.05,2.645374298095703,2.3341636657714844,2944,3097,153
0,recovery,episode,0.005,3.592226982116699,2.3341636657714844,3083,3097,14
0,recovery,episode,0.01,3.4170641899108887,2.3341636657714844,3068,3097,29
0,recovery,episode,0.02,3.031846523284912,2.3341636657714844,3037,3097,60
0,recovery,episode,0.05,2.645374298095703,2.3341636657714844,2944,3097,153
0,recovery_fixed,episode,0.005,3.486449956893921,2.1667873859405518,3083,3097,14
0,recovery_fixed,episode,0.01,3.1865031719207764,2.1667873859405518,3068,3097,29
0,recovery_fixed,episode,0.02,2.84919810295105,2.1667873859405518,3037,3097,60
0,recovery_fixed,episode,0.05,2.4407904148101807,2.1667873859405518,2944,3097,153
0,recovery_confirm2,episode,0.005,3.374734878540039,2.1334967613220215,3083,3097,14
0,recovery_confirm2,episode,0.01,3.1817357540130615,2.1334967613220215,3068,3097,29
0,recovery_confirm2,episode,0.02,2.780510425567627,2.1334967613220215,3037,3097,60
0,recovery_confirm2,episode,0.05,2.396496534347534,2.1334967613220215,2944,3097,153
0,recovery_confirm3,episode,0.005,3.30053973197937,1.9481844902038574,3083,3097,14
0,recovery_confirm3,episode,0.01,2.9320433139801025,1.9481844902038574,3068,3097,29
0,recovery_confirm3,episode,0.02,2.64290189743042,1.9481844902038574,3037,3097,60
0,recovery_confirm3,episode,0.05,2.239097833633423,1.9481844902038574,2944,3097,153
0,reference_confirm3,episode,0.005,4.347729206085205,2.570772409439087,3083,3097,14
0,reference_confirm3,episode,0.01,3.704477310180664,2.570772409439087,3068,3097,29
0,reference_confirm3,episode,0.02,3.3864352703094482,2.570772409439087,3037,3097,60
0,reference_confirm3,episode,0.05,2.955183506011963,2.570772409439087,2944,3097,153
0,recent4_confirm2,episode,0.005,4.633334636688232,2.849052667617798,3083,3097,14
0,recent4_confirm2,episode,0.01,4.09279203414917,2.849052667617798,3068,3097,29
0,recent4_confirm2,episode,0.02,3.662344217300415,2.849052667617798,3037,3097,60
0,recent4_confirm2,episode,0.05,3.242694616317749,2.849052667617798,2944,3097,153
0,clock,episode,0.005,38.0,24.0,3083,3097,13
0,clock,episode,0.01,37.0,24.0,3068,3097,28
0,clock,episode,0.02,28.0,24.0,3037,3097,60
0,clock,episode,0.05,25.0,24.0,2944,3097,141
0,v82_reference,task_init,0.005,7.831860542297363,3.5724501609802246,398,398,0
0,v82_reference,task_init,0.01,7.181811332702637,3.5724501609802246,396,398,2
0,v82_reference,task_init,0.02,5.598891258239746,3.5724501609802246,392,398,6
0,v82_reference,task_init,0.05,4.011006832122803,3.5724501609802246,380,398,18
0,recent4,task_init,0.005,7.831860542297363,3.5724501609802246,398,398,0
0,recent4,task_init,0.01,7.181811332702637,3.5724501609802246,396,398,2
0,recent4,task_init,0.02,5.598891258239746,3.5724501609802246,392,398,6
0,recent4,task_init,0.05,4.011006832122803,3.5724501609802246,380,398,18
0,absolute_gate,task_init,0.005,5.070796012878418,2.8513169288635254,398,398,0
0,absolute_gate,task_init,0.01,4.519214630126953,2.8513169288635254,396,398,2
0,absolute_gate,task_init,0.02,3.8482370376586914,2.8513169288635254,392,398,6
0,absolute_gate,task_init,0.05,3.2985458374023438,2.8513169288635254,380,398,18
0,recovery,task_init,0.005,5.070796012878418,2.8513169288635254,398,398,0
0,recovery,task_init,0.01,4.519214630126953,2.8513169288635254,396,398,2
0,recovery,task_init,0.02,3.8482370376586914,2.8513169288635254,392,398,6
0,recovery,task_init,0.05,3.2985458374023438,2.8513169288635254,380,398,18
0,recovery_fixed,task_init,0.005,4.750722408294678,2.623168468475342,398,398,0
0,recovery_fixed,task_init,0.01,4.519214630126953,2.623168468475342,396,398,2
0,recovery_fixed,task_init,0.02,3.6262614727020264,2.623168468475342,392,398,6
0,recovery_fixed,task_init,0.05,3.000290870666504,2.623168468475342,380,398,18
0,recovery_confirm2,task_init,0.005,4.569026470184326,2.6619505882263184,398,398,0
0,recovery_confirm2,task_init,0.01,4.205783367156982,2.6619505882263184,396,398,2
0,recovery_confirm2,task_init,0.02,3.67960524559021,2.6619505882263184,392,398,6
0,recovery_confirm2,task_init,0.05,3.0446207523345947,2.6619505882263184,380,398,18
0,recovery_confirm3,task_init,0.005,4.473171234130859,2.501518726348877,398,398,0
0,recovery_confirm3,task_init,0.01,4.067235469818115,2.501518726348877,396,398,2
0,recovery_confirm3,task_init,0.02,3.382420539855957,2.501518726348877,392,398,6
0,recovery_confirm3,task_init,0.05,2.894798755645752,2.501518726348877,380,398,18
0,reference_confirm3,task_init,0.005,6.867819786071777,3.183391809463501,398,398,0
0,reference_confirm3,task_init,0.01,6.853178977966309,3.183391809463501,396,398,2
0,reference_confirm3,task_init,0.02,4.574345111846924,3.183391809463501,392,398,6
0,reference_confirm3,task_init,0.05,3.6026523113250732,3.183391809463501,380,398,18
0,recent4_confirm2,task_init,0.005,7.233177185058594,3.3863065242767334,398,398,0
0,recent4_confirm2,task_init,0.01,6.948846340179443,3.3863065242767334,396,398,2
0,recent4_confirm2,task_init,0.02,5.177489757537842,3.3863065242767334,392,398,6
0,recent4_confirm2,task_init,0.05,3.844261407852173,3.3863065242767334,380,398,18
0,clock,task_init,0.005,46.0,25.0,398,398,0
0,clock,task_init,0.01,42.0,25.0,396,398,2
0,clock,task_init,0.02,40.0,25.0,392,398,3
0,clock,task_init,0.05,27.0,25.0,380,398,18
1,v82_reference,episode,0.005,4.780259609222412,3.0676071643829346,3102,3116,14
1,v82_reference,episode,0.01,4.087165355682373,3.0676071643829346,3086,3116,30
1,v82_reference,episode,0.02,3.8899013996124268,3.0676071643829346,3055,3116,61
1,v82_reference,episode,0.05,3.4857048988342285,3.0676071643829346,2962,3116,154
1,recent4,episode,0.005,4.780259609222412,3.0676071643829346,3102,3116,14
1,recent4,episode,0.01,4.087165355682373,3.0676071643829346,3086,3116,30
1,recent4,episode,0.02,3.8899013996124268,3.0676071643829346,3055,3116,61
1,recent4,episode,0.05,3.4857048988342285,3.0676071643829346,2962,3116,154
1,absolute_gate,episode,0.005,3.399876832962036,2.3201777935028076,3102,3116,14
