fold,calibration,alpha,method,tp,fp,utility,eligible,selected
0,episode,0.005,v82_reference,81,15,0.2285015358645193,True,True
0,episode,0.005,recent4,81,15,0.2285015358645193,True,False
0,episode,0.005,absolute_gate,76,23,0.20792602899472684,False,False
0,episode,0.005,recovery,76,23,0.20792602899472684,False,False
0,episode,0.005,recovery_fixed,71,18,0.19475503797683777,False,False
0,episode,0.005,recovery_confirm2,76,28,0.2012889465971399,False,False
0,episode,0.005,recovery_confirm3,73,25,0.18242405510915097,False,False
0,episode,0.005,reference_confirm3,79,14,0.20166381547510911,False,False
0,episode,0.005,recent4_confirm2,81,16,0.2176024864547876,False,False
0,episode,0.01,v82_reference,94,47,0.28209413261858945,True,True
0,episode,0.01,recent4,94,47,0.28209413261858945,True,False
0,episode,0.01,absolute_gate,81,39,0.22979445384271813,False,False
0,episode,0.01,recovery,81,39,0.22979445384271813,False,False
0,episode,0.01,recovery_fixed,80,37,0.23363430803146107,False,False
0,episode,0.01,recovery_confirm2,83,42,0.2387989255788485,False,False
0,episode,0.01,recovery_confirm3,88,47,0.25079543712841224,False,False
0,episode,0.01,reference_confirm3,95,40,0.25388688637454454,True,False
0,episode,0.01,recent4_confirm2,93,38,0.2590100720228136,False,False
0,episode,0.02,v82_reference,96,84,0.2994522376093712,True,False
0,episode,0.02,recent4,96,84,0.2994522376093712,True,False
0,episode,0.02,absolute_gate,93,85,0.3143881831405922,False,False
0,episode,0.02,recovery,93,85,0.3143881831405922,False,False
0,episode,0.02,recovery_fixed,90,84,0.3017407684366188,False,False
0,episode,0.02,recovery_confirm2,99,90,0.33319423239127577,False,False
0,episode,0.02,recovery_confirm3,98,76,0.3055640949930865,True,True
0,episode,0.02,reference_confirm3,97,74,0.2708647262285996,True,False
0,episode,0.02,recent4_confirm2,96,80,0.28767784935058693,True,False
0,episode,0.05,v82_reference,100,189,0.3614724635766463,True,False
0,episode,0.05,recent4,100,189,0.3614724635766463,True,False
0,episode,0.05,absolute_gate,100,185,0.4063249909505365,True,True
0,episode,0.05,recovery,100,185,0.4063249909505365,True,False
0,episode,0.05,recovery_fixed,100,195,0.39751015081664415,False,False
0,episode,0.05,recovery_confirm2,101,204,0.39560370806700007,False,False
0,episode,0.05,recovery_confirm3,101,192,0.374887050375328,False,False
0,episode,0.05,reference_confirm3,102,191,0.34326590541151436,False,False
0,episode,0.05,recent4_confirm2,100,191,0.35301168867747035,False,False
0,task_init,0.005,v82_reference,41,2,0.09577066064831886,True,True
0,task_init,0.005,recent4,41,2,0.09577066064831886,True,False
0,task_init,0.005,absolute_gate,28,2,0.08541756885145897,False,False
0,task_init,0.005,recovery,28,2,0.08541756885145897,False,False
0,task_init,0.005,recovery_fixed,34,2,0.09577849654149079,False,False
0,task_init,0.005,recovery_confirm2,40,3,0.10697123350357328,False,False
0,task_init,0.005,recovery_confirm3,37,3,0.09282879211498746,False,False
0,task_init,0.005,reference_confirm3,45,3,0.0924603563089026,False,False
0,task_init,0.005,recent4_confirm2,42,3,0.09375962567463832,False,False
