method,calibration,alpha,scope,gained_tp,lost_tp,added_fp,removed_fp,shared_tp,earlier,later,median_delta_q,recall_delta_lo,recall_delta_hi,fpr_delta_lo,fpr_delta_hi
recent4,episode,0.005,all,0,0,0,0,392,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.005,libero_goal,0,0,0,0,83,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.005,libero_long,0,0,0,0,201,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.005,libero_object,0,0,0,0,20,0,0,0.0,0.0,0.0,0.0,0.0
recent4,episode,0.005,libero_spatial,0,0,0,0,88,0,0,0.0,0.0,0.0,0.0,0.0
absolute_gate,episode,0.005,all,59,101,48,43,291,70,184,1.0,-0.16749124405592414,0.014068837028525027,-0.0017828470466856909,0.0022153229119895148
absolute_gate,episode,0.005,libero_goal,10,11,17,0,72,28,36,0.5,-0.15934065934065933,0.30952380952380953,0.0007617983567633343,0.008813314213003168
absolute_gate,episode,0.005,libero_long,12,23,30,28,178,16,136,1.0,-0.09523809523809523,0.0392156862745098,-0.005720908903626582,0.005745269918604369
absolute_gate,episode,0.005,libero_object,12,9,0,13,11,4,5,0.0,-0.2222222222222222,0.27906976744186046,-0.007310448371110095,-0.0005092719714867507
absolute_gate,episode,0.005,libero_spatial,25,58,1,2,30,22,7,-2.5,-0.4378386374540221,0.0,-0.0007804472013958217,0.0
recovery,episode,0.005,all,59,101,48,43,291,70,184,1.0,-0.16749124405592414,0.014068837028525027,-0.0017828470466856909,0.0022153229119895148
recovery,episode,0.005,libero_goal,10,11,17,0,72,28,36,0.5,-0.15934065934065933,0.30952380952380953,0.0007617983567633343,0.008813314213003168
recovery,episode,0.005,libero_long,12,23,30,28,178,16,136,1.0,-0.09523809523809523,0.0392156862745098,-0.005720908903626582,0.005745269918604369
recovery,episode,0.005,libero_object,12,9,0,13,11,4,5,0.0,-0.2222222222222222,0.27906976744186046,-0.007310448371110095,-0.0005092719714867507
recovery,episode,0.005,libero_spatial,25,58,1,2,30,22,7,-2.5,-0.4378386374540221,0.0,-0.0007804472013958217,0.0
recovery_fixed,episode,0.005,all,45,91,42,35,301,70,164,1.0,-0.1735294180254587,-0.005527719719110522,-0.0013422034477423984,0.0022231631543835743
recovery_fixed,episode,0.005,libero_goal,10,5,16,0,78,26,34,0.0,-0.07735401981329777,0.34524911816578474,0.0007668662661350634,0.008476982924462452
recovery_fixed,episode,0.005,libero_long,4,17,23,20,184,20,118,1.0,-0.09093228200371058,-0.031246960116731535,-0.0038562984844902875,0.005789936231096468
recovery_fixed,episode,0.005,libero_object,8,6,0,13,14,4,8,1.5,-0.2059077079107505,0.21055161943319822,-0.007310448371110095,-0.0005092719714867507
recovery_fixed,episode,0.005,libero_spatial,23,63,3,2,25,20,4,-3.0,-0.4647918211020509,-0.058798027881673036,-0.0005220569042025581,0.001072826523312299
recovery_confirm2,episode,0.005,all,69,97,59,39,295,68,211,2.0,-0.15405369411073147,0.057703488372092965,-0.0005181793324625356,0.0033716390742052986
recovery_confirm2,episode,0.005,libero_goal,10,14,21,0,69,27,39,1.0,-0.22403186813186812,0.34524911816578474,0.0007617983567633343,0.011240739808615023
