global_row,failure,suite,task,length,first_alarm,first_watch,last_state,alarm_entries,signal_clearances,alarm_clearances,first_alarm_clearance
400,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
401,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
402,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
403,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
404,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
405,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
406,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
407,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,15,-1,-1,NORMAL,0,0,0,-1
408,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,11,-1,-1,NORMAL,0,0,0,-1
409,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
410,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
411,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
412,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
413,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
414,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
415,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
416,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
417,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
418,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
419,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
420,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
421,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
422,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
423,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
424,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
425,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
426,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
427,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
428,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
429,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
430,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
431,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
432,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
433,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
434,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
435,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
436,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
437,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
438,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
439,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
440,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
441,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,14,-1,-1,NORMAL,0,0,0,-1
442,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
443,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,14,-1,-1,NORMAL,0,0,0,-1
444,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,14,-1,-1,NORMAL,0,0,0,-1
445,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,14,-1,-1,NORMAL,0,0,0,-1
446,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
447,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
448,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
449,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
450,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
451,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
452,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
453,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
454,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,14,-1,-1,NORMAL,0,0,0,-1
455,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
456,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
457,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
458,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
459,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
460,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
461,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
462,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
463,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
464,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
465,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
466,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,12,-1,-1,NORMAL,0,0,0,-1
467,False,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,13,-1,-1,NORMAL,0,0,0,-1
