scope,method,auc,lo,hi,tasks
all,absolute_gate,0.6464243085530996,0.5819902287104552,0.7073677770903255,36
all,recent4,0.601561414991962,0.5433812530676739,0.6572168414092914,36
all,recent4_confirm2,0.5870985509567759,0.5368801605865046,0.638038773982545,36
all,recovery,0.6464468554506466,0.5820347588331103,0.7073727600957022,36
all,recovery_confirm2,0.6151219060554507,0.5587716764388432,0.6709802512719956,36
all,recovery_confirm3,0.6003024545457962,0.5426052845961831,0.6591298008386374,36
all,recovery_fixed,0.6449247147100463,0.5810114239828972,0.7054321348304834,36
all,reference_confirm3,0.58215768376078,0.5297355219697927,0.635032824155527,36
all,selected,0.6163392564804658,0.5634510961267424,0.6684208022240985,36
all,v82_reference,0.6015564045702848,0.5433665975842684,0.6572168414092914,36
libero_goal,absolute_gate,0.48545621810761863,0.34132308589564303,0.606924531485077,8
libero_goal,recent4,0.4888224669182936,0.3525996020267374,0.5813981775531805,8
libero_goal,recent4_confirm2,0.4633178021889695,0.3500568820470216,0.545461590544545,8
libero_goal,recovery,0.48545621810761863,0.34132308589564303,0.606924531485077,8
libero_goal,recovery_confirm2,0.4552482914230003,0.33954316427229214,0.5669776951289385,8
libero_goal,recovery_confirm3,0.4337790832032854,0.31961246044080066,0.5514181903033212,8
libero_goal,recovery_fixed,0.48865178370362394,0.35085799364848613,0.6105349020054978,8
libero_goal,reference_confirm3,0.46136036906730027,0.35358381421713975,0.5493606330030683,8
libero_goal,selected,0.5069693307190996,0.37269810931799563,0.6017445952634517,8
libero_goal,v82_reference,0.4888224669182936,0.3525996020267374,0.5813981775531805,8
libero_long,absolute_gate,0.626263741513691,0.49540219971478294,0.7662472397722957,10
libero_long,recent4,0.6236148430884765,0.5181129326342485,0.7425154817755553,10
libero_long,recent4_confirm2,0.611647210727934,0.512385428333288,0.7234140870009431,10
libero_long,recovery,0.6263449103448597,0.49549351464984787,0.7662492689930749,10
libero_long,recovery_confirm2,0.61063899186525,0.49170704813085575,0.7396950767156046,10
libero_long,recovery_confirm3,0.6143461803437443,0.4998007240459178,0.7392909875143697,10
libero_long,recovery_fixed,0.625567066104351,0.49894709912290913,0.7594921274181456,10
libero_long,reference_confirm3,0.6146119752781608,0.5143753436063491,0.7256817100498729,10
libero_long,selected,0.6276106000323758,0.5328528208151673,0.7368258652768354,10
libero_long,v82_reference,0.623596805570439,0.5180764066602227,0.7425150308376043,10
libero_object,absolute_gate,0.7605682717428237,0.5972618906729259,0.8964623595683981,8
libero_object,recent4,0.6260403901807805,0.4866972963682919,0.7657718260399504,8
libero_object,recent4_confirm2,0.6288757836565615,0.5117502574961479,0.7469041404619908,8
libero_object,recovery,0.7605682717428237,0.5972618906729259,0.8964623595683981,8
libero_object,recovery_confirm2,0.7311296392754829,0.5805310335291016,0.8542124467098834,8
libero_object,recovery_confirm3,0.7262175478555766,0.5653995591865295,0.8524690965517687,8
libero_object,recovery_fixed,0.7511204198303099,0.5851151611998393,0.8891252235448485,8
libero_object,reference_confirm3,0.6375515707063913,0.5184460303738675,0.7540649692020397,8
libero_object,selected,0.6675463573195539,0.5563027180680398,0.7811564428646722,8
libero_object,v82_reference,0.6260403901807805,0.4866972963682919,0.7657718260399504,8
libero_spatial,absolute_gate,0.7040441773971139,0.617578206256686,0.7832645344493245,10
libero_spatial,recent4,0.6501159652033273,0.5586937837354407,0.7413522038934734,10
libero_spatial,recent4_confirm2,0.6281527040400341,0.5459004795317242,0.7117463176316728,10
libero_spatial,recovery,0.7040441773971139,0.617578206256686,0.7832645344493245,10
libero_spatial,recovery_confirm2,0.654697525375586,0.5716579867020207,0.7322412038578375,10
libero_spatial,recovery_confirm3,0.6187453511740328,0.5234108597372604,0.7092527162138096,10
libero_spatial,recovery_fixed,0.704344144024669,0.6180076640311489,0.7840489650829113,10
libero_spatial,reference_confirm3,0.602026134441694,0.5066366444534889,0.6937733017206009,10
libero_spatial,selected,0.6515981728663782,0.5595500057818384,0.7406251819862397,10
libero_spatial,v82_reference,0.6501159652033273,0.5586937837354407,0.7413522038934734,10
