suite,view,episodes,failure_episodes,points,failure_points
libero_goal,full,276,75,2234,622
libero_goal,matched,273,75,1381,615
libero_long,full,307,106,2516,892
libero_long,matched,307,106,2502,885
libero_object,full,245,44,1985,372
libero_object,matched,245,44,1704,365
libero_spatial,full,315,114,2535,926
libero_spatial,matched,315,114,1678,919
