suite,representation,seed,points,dimensions,kl_divergence,neighbor_overlap_15,pca_variance_2d,seconds
libero_goal,routing_full,20260906,2234,256,0.8042132258415222,0.6284691136974038,0.13492216169834137,7.705789854750037
libero_goal,routing_matched,20260906,1381,256,0.6681944131851196,0.6771904417089066,0.15020419657230377,4.417200971394777
libero_goal,routing_matched,20260907,1381,256,0.666917085647583,0.6784455708423848,0.15020419657230377,4.405031489208341
libero_goal,routing_matched,20260908,1381,256,0.6681684851646423,0.6752111996138065,0.15020419657230377,4.412914304062724
libero_goal,dynamics_matched,20260906,1381,10,0.83336341381073,0.6092686459087618,0.9017351269721985,5.326300786808133
libero_goal,dynamics_matched,20260907,1381,10,0.83336341381073,0.6092686459087618,0.9017351269721985,5.325050102546811
libero_goal,dynamics_matched,20260908,1381,10,0.83336341381073,0.6092686459087618,0.9017351269721985,5.2955806236714125
libero_long,routing_full,20260906,2516,256,0.9322464466094971,0.6339427662957074,0.1133020892739296,8.99841921031475
libero_long,routing_matched,20260906,2502,256,0.9754939079284668,0.6280042632560618,0.10791990906000137,9.349289072677493
libero_long,routing_matched,20260907,2502,256,0.9751197695732117,0.6275246469491074,0.10791990906000137,9.264805667102337
libero_long,routing_matched,20260908,2502,256,0.974279522895813,0.6273647748467892,0.10791990906000137,9.32806651853025
libero_long,dynamics_matched,20260906,2502,10,1.2295154333114624,0.4921396216360246,0.9046802520751953,12.142870457842946
libero_long,dynamics_matched,20260907,2502,10,1.2295154333114624,0.4921396216360246,0.9046802520751953,12.234129706397653
libero_long,dynamics_matched,20260908,2502,10,1.2295154333114624,0.4921396216360246,0.9046802520751953,12.242465207353234
libero_object,routing_full,20260906,1985,256,1.1870712041854858,0.4537699412258606,0.11001619696617126,8.830263199284673
libero_object,routing_matched,20260906,1704,256,1.25948965549469,0.44933489827856027,0.1074199229478836,5.755485592409968
libero_object,routing_matched,20260907,1704,256,1.249604344367981,0.44835680751173707,0.1074199229478836,5.675798235461116
libero_object,routing_matched,20260908,1704,256,1.2498013973236084,0.4508215962441315,0.1074199229478836,5.752640808001161
libero_object,dynamics_matched,20260906,1704,10,1.0702619552612305,0.47679968701095465,0.8887513279914856,7.931341307237744
libero_object,dynamics_matched,20260907,1704,10,1.0702619552612305,0.47679968701095465,0.8887513279914856,7.913427971303463
libero_object,dynamics_matched,20260908,1704,10,1.0702619552612305,0.47679968701095465,0.8887513279914856,7.911316795274615
libero_spatial,routing_full,20260906,2535,256,0.8177812695503235,0.6750032873109796,0.09911182522773743,8.574251756072044
libero_spatial,routing_matched,20260906,1678,256,0.7529273629188538,0.6545490663488279,0.1449224054813385,6.469933358952403
libero_spatial,routing_matched,20260907,1678,256,0.7527642250061035,0.6546285260230433,0.1449224054813385,6.459222489967942
libero_spatial,routing_matched,20260908,1678,256,0.7537898421287537,0.6553039332538736,0.1449224054813385,6.477804655209184
libero_spatial,dynamics_matched,20260906,1678,10,0.9661585688591003,0.5396901072705602,0.887507438659668,6.503067679703236
libero_spatial,dynamics_matched,20260907,1678,10,0.9661585688591003,0.5396901072705602,0.887507438659668,6.507569748908281
libero_spatial,dynamics_matched,20260908,1678,10,0.9661585688591003,0.5396901072705602,0.887507438659668,6.533981008455157
