detector,named_mode,named_mode_short,n_dev,n_ext,dev_recall,dev_expected_task,dev_sel_task,dev_p_task,ext_recall,ext_expected_task,ext_sel_task,ext_p_task,external_validates,small_cell
v7_turbulence|task_agnostic,approached_target_without_observed_contact,no_contact,14,14,0.6428571343421936,0.2039960473775863,1.6559569563190542,5e-05,0.6428571343421936,0.1879458576440811,1.7741810366545243,0.0,True,True
partial_edge_std|per_task,goal_predicate_regressed,regressed,28,26,0.25,0.0941512659192085,1.408875696920498,0.0022,0.1153846159577369,0.0232705008238554,2.3098767190001896,0.0162,True,True
partial_query_d1|global,approached_target_without_observed_contact,no_contact,14,14,0.3571428656578064,0.1443799138069152,1.306631254256941,0.0298,0.4285714328289032,0.1696065366268158,1.3373439155208042,0.01405,True,True
flow_path|global,object_released_outside_goal,released_outside,18,25,0.2777777910232544,0.1151875033974647,1.2699470487170748,0.01365,0.3199999928474426,0.1489974856376648,1.1027838877400564,0.00755,True,True
flow_settling_log_ratio|per_task,approached_target_without_observed_contact,no_contact,14,14,0.8571428656578064,0.3811752796173095,1.1690811287869676,0.0,0.5714285969734192,0.395801842212677,0.5297949100694371,0.0707,False,True
partial_edge_std|global,approached_target_without_observed_contact,no_contact,14,14,0.6428571343421936,0.2933629751205444,1.131811352933412,0.003,0.4285714328289032,0.2361636906862259,0.8597485152458799,0.07815,False,True
v7_periodicity|task_agnostic,approached_target_without_observed_contact,no_contact,14,14,0.7857142686843872,0.3722449243068695,1.0777525829206158,0.00015,0.7857142686843872,0.3611225187778473,1.1215163739287204,0.0001,True,True
v7_acceleration|task_agnostic,approached_target_without_observed_contact,no_contact,14,14,0.8571428656578064,0.5471947193145752,0.6474813802749183,0.01275,0.8571428656578064,0.5305908918380737,0.6919357775118692,0.002,True,True
