comparison,mode,mode_short,n_mode,single_caught,bundle_caught,extra,expected_extra_suite,expected_extra_task,expected_extra_uniform_over_misses,p_suite,p_task
global_fp57,object_released_or_dropped_before_goal,dropped,241,108,165,57,52.86690139770508,56.61800003051758,58.568809509277344,0.32405,1.0
global_fp57,stable_grasp_not_observed,no_grasp,143,65,114,49,40.55780029296875,39.89925003051758,34.34862518310547,0.0496,0.0089
global_fp57,object_moved_but_goal_unmet,moved_unmet,89,36,50,14,23.794599533081055,19.793899536132812,23.33945083618164,0.0093,0.06165
global_fp57,goal_predicate_regressed,regressed,26,9,17,8,8.840399742126465,8.551650047302246,7.486238479614258,0.8288,0.82545
global_fp57,object_released_outside_goal,released_outside,25,9,15,6,6.21619987487793,4.70419979095459,7.045871734619141,1.0,0.5577
global_fp57,timeout_while_holding_target,timeout_holding,23,7,12,5,6.885499954223633,7.517149925231934,7.045871734619141,0.4749,0.1904
global_fp57,approached_target_without_observed_contact,no_contact,14,3,5,2,3.828399896621704,4.316850185394287,4.844037055969238,0.3506,0.1903
global_fp57,no_meaningful_target_progress,no_meaningful_target_progress,2,0,2,2,0.675849974155426,1.5989999771118164,0.8807339668273926,0.11195,1.0
global_fp57,mechanism_threshold_not_reached,mechanism,1,0,1,1,0.33434998989105225,1.0,0.4403669834136963,0.33435,1.0
task_agnostic_fp100,object_released_or_dropped_before_goal,dropped,241,188,206,18,21.641000747680664,18.90595054626465,14.416000366210938,0.16605,0.8061
task_agnostic_fp100,stable_grasp_not_observed,no_grasp,143,119,124,5,4.797150135040283,4.911799907684326,6.528000354766846,1.0,1.0
task_agnostic_fp100,object_moved_but_goal_unmet,moved_unmet,89,60,63,3,4.318150043487549,5.37624979019165,7.88800048828125,0.5852,0.21365
task_agnostic_fp100,goal_predicate_regressed,regressed,26,22,22,0,0.1919499933719635,0.3458999991416931,1.0880000591278076,1.0,1.0
task_agnostic_fp100,object_released_outside_goal,released_outside,25,16,23,7,1.9149500131607056,2.9737000465393066,2.448000192642212,0.0016,0.0068
task_agnostic_fp100,timeout_while_holding_target,timeout_holding,23,18,19,1,0.6257500052452087,1.0917500257492065,1.3600001335144043,1.0,1.0
task_agnostic_fp100,approached_target_without_observed_contact,no_contact,14,13,13,0,0.48980000615119934,0.39465001225471497,0.2720000147819519,1.0,1.0
task_agnostic_fp100,no_meaningful_target_progress,no_meaningful_target_progress,2,2,2,0,0.014150000177323818,0.0,0.0,1.0,1.0
task_agnostic_fp100,mechanism_threshold_not_reached,mechanism,1,1,1,0,0.0071000000461936,0.0,0.0,1.0,1.0
interpretable_two_head,object_released_or_dropped_before_goal,dropped,241,202,210,8,18.78660011291504,13.143250465393066,18.092782974243164,0.00025,0.01295
interpretable_two_head,stable_grasp_not_observed,no_grasp,143,60,120,60,35.30984878540039,43.892601013183594,38.50515365600586,0.0,0.0
interpretable_two_head,object_moved_but_goal_unmet,moved_unmet,89,56,65,9,15.776000022888184,12.083000183105469,15.30927848815918,0.03145,0.20995
interpretable_two_head,goal_predicate_regressed,regressed,26,17,19,2,8.162949562072754,6.15749979019165,4.175257682800293,0.007,0.0219
interpretable_two_head,object_released_outside_goal,released_outside,25,22,22,0,2.498800039291382,0.6425999999046326,1.3917526006698608,0.12145,0.6226
interpretable_two_head,timeout_while_holding_target,timeout_holding,23,9,16,7,5.053400039672852,6.334750175476074,6.494845390319824,0.4006,0.75575
interpretable_two_head,approached_target_without_observed_contact,no_contact,14,4,5,1,3.4738500118255615,5.147299766540527,4.6391754150390625,0.18115,0.007
interpretable_two_head,no_meaningful_target_progress,no_meaningful_target_progress,2,0,2,2,0.623449981212616,1.5989999771118164,0.9278350472450256,0.09465,1.0
interpretable_two_head,mechanism_threshold_not_reached,mechanism,1,0,1,1,0.3151000142097473,1.0,0.4639175236225128,0.3151,1.0
interpretable_two_head_global_base,object_released_or_dropped_before_goal,dropped,241,61,210,149,152.4532470703125,155.3072967529297,129.26829528808594,0.4222,0.03505
interpretable_two_head_global_base,stable_grasp_not_observed,no_grasp,143,78,120,42,48.79629898071289,40.78644943237305,46.68021774291992,0.05125,0.65965
interpretable_two_head_global_base,object_moved_but_goal_unmet,moved_unmet,89,27,65,38,34.56449890136719,35.41794967651367,44.5257453918457,0.3669,0.3059
interpretable_two_head_global_base,goal_predicate_regressed,regressed,26,12,19,7,4.7288498878479,8.204449653625488,10.054200172424316,0.2865,0.5811
interpretable_two_head_global_base,object_released_outside_goal,released_outside,25,3,22,19,13.295900344848633,17.002700805664062,15.799457550048828,0.0044,0.42185
interpretable_two_head_global_base,timeout_while_holding_target,timeout_holding,23,9,16,7,5.6753997802734375,4.541800022125244,10.054200172424316,0.6002,0.1173
interpretable_two_head_global_base,approached_target_without_observed_contact,no_contact,14,2,5,3,4.936550140380859,3.5364999771118164,8.61788558959961,0.2356,0.64865
interpretable_two_head_global_base,no_meaningful_target_progress,no_meaningful_target_progress,2,2,2,0,0.36535000801086426,0.20284999907016754,0.0,1.0,1.0
interpretable_two_head_global_base,mechanism_threshold_not_reached,mechanism,1,1,1,0,0.18389999866485596,0.0,0.0,1.0,1.0
