partner,predicted_grasp_head,dev_tp,dev_fp,ext_tp,ext_fp,ext_precision,ext_recall,ext_lift,ext_early_tp,ext_early_fp,recall::dropped,recall::no_grasp,recall::moved_unmet,recall::regressed,recall::released_outside,recall::timeout_holding,recall::no_contact,recall::no_meaningful_target_progress,recall::mechanism
(none),False,322,45,370,93,0.7991360691144709,0.6560283687943262,1.5479067335088585,97,69,0.8381742738589212,0.4195804195804196,0.6292134831460674,0.6538461538461539,0.88,0.391304347826087,0.2857142857142857,0.0,0.0
action_consensus|global,False,322,51,370,98,0.7905982905982906,0.6560283687943262,1.545908604260124,97,74,0.8381742738589212,0.4195804195804196,0.6292134831460674,0.6538461538461539,0.88,0.391304347826087,0.2857142857142857,0.0,0.0
conditional_effective_rank|global,False,341,63,409,245,0.6253822629969419,0.725177304964539,1.6333803182380784,136,220,0.8630705394190872,0.5664335664335665,0.6966292134831461,0.6923076923076923,0.88,0.391304347826087,0.6428571428571429,0.0,0.0
conditional_energy|global,False,327,47,379,97,0.7962184873949579,0.6719858156028369,1.545329936356202,97,70,0.8547717842323651,0.45454545454545453,0.6292134831460674,0.6538461538461539,0.88,0.391304347826087,0.2857142857142857,0.0,0.0
conditional_query_d1|global,True,395,73,470,118,0.7993197278911565,0.8333333333333334,1.6700382618151604,126,79,0.8630705394190872,0.8811188811188811,0.7415730337078652,0.8461538461538461,0.88,0.6086956521739131,0.6428571428571429,1.0,1.0
expert_load_effective_rank|global,False,335,52,389,109,0.7811244979919679,0.6897163120567376,1.5534852724340387,99,82,0.8381742738589212,0.5314685314685315,0.6404494382022472,0.6538461538461539,0.88,0.4782608695652174,0.2857142857142857,0.0,0.0
flow_endpoint|global,False,325,48,373,100,0.7885835095137421,0.6613475177304965,1.5614303650937313,100,75,0.8464730290456431,0.4195804195804196,0.6292134831460674,0.6538461538461539,0.92,0.391304347826087,0.2857142857142857,0.0,0.0
flow_path|global,False,330,46,378,97,0.7957894736842105,0.6702127659574468,1.567327865062776,100,73,0.8589211618257261,0.4195804195804196,0.6404494382022472,0.6538461538461539,0.96,0.391304347826087,0.2857142857142857,0.0,0.0
flow_settling_log_ratio|global,False,322,46,370,95,0.7956989247311828,0.6560283687943262,1.5477167391303168,97,71,0.8381742738589212,0.4195804195804196,0.6292134831460674,0.6538461538461539,0.88,0.391304347826087,0.2857142857142857,0.0,0.0
mobility|global,True,395,55,460,106,0.8127208480565371,0.8156028368794326,1.6164825721122766,105,72,0.8713692946058091,0.8391608391608392,0.7303370786516854,0.7307692307692307,0.88,0.6956521739130435,0.35714285714285715,1.0,1.0
partial_edge_std|global,False,362,84,425,238,0.6410256410256411,0.7535460992907801,1.6889414918394887,151,212,0.8589211618257261,0.6433566433566433,0.7078651685393258,0.8076923076923077,0.88,0.43478260869565216,0.7142857142857143,0.0,0.0
partial_query_d1|global,False,340,66,403,263,0.6051051051051051,0.7145390070921985,1.610868026279339,133,236,0.8506224066390041,0.5454545454545454,0.6629213483146067,0.7692307692307693,0.88,0.391304347826087,0.7142857142857143,0.0,0.0
state_action_alignment|global,False,327,47,379,97,0.7962184873949579,0.6719858156028369,1.5457123049511186,97,70,0.8547717842323651,0.45454545454545453,0.6292134831460674,0.6538461538461539,0.88,0.391304347826087,0.2857142857142857,0.0,0.0
