label,family,heads,n_heads,note,dev_tp,dev_fp,ext_tp,ext_fp,ext_precision,ext_recall,ext_lift,ext_mean_alarm_prior,ext_early_tp,ext_early_fp,ext_timely_fpr,recall::dropped(n=241),recall::no_grasp(n=143),recall::moved_unmet(n=89),recall::regressed(n=26),recall::released_outside(n=25),recall::timeout_holding(n=23),recall::no_contact(n=14),recall::no_meaningful_target_progress(n=2),recall::mechanism(n=1)
single|mobility|global,global,mobility|global,1,published best single global,172,15,195,17,0.9198113207547169,0.34574468085106386,1.7640674271437853,0.5214150585184776,36,4,0.0011306198457036445,0.25311203319502074,0.5454545454545454,0.30337078651685395,0.46153846153846156,0.12,0.391304347826087,0.14285714285714285,1.0,1.0
single|expert_load_effective_rank|global,global,expert_load_effective_rank|global,1,frozen frame-survey head,214,15,237,36,0.8681318681318682,0.42021276595744683,1.293551706753098,0.6711226645210323,30,22,0.0023942537909018356,0.44813278008298757,0.45454545454545453,0.4044943820224719,0.34615384615384615,0.36,0.30434782608695654,0.21428571428571427,0.0,0.0
single|expert_load_effective_rank|per_task,per_task,expert_load_effective_rank|per_task,1,published best single per_task,322,45,370,93,0.7991360691144709,0.6560283687943262,1.5479067335088585,0.5162688757758398,97,69,0.006185155626496409,0.8381742738589212,0.4195804195804196,0.6292134831460674,0.6538461538461539,0.88,0.391304347826087,0.2857142857142857,0.0,0.0
single|v7_guard,task_agnostic,v7_guard|task_agnostic,1,published v7 guard (itself a 4-head bundle),382,67,439,80,0.8458574181117534,0.7783687943262412,1.3957188919963397,0.6060370916824788,57,44,0.005320563979781857,0.7800829875518672,0.8321678321678322,0.6741573033707865,0.8461538461538461,0.64,0.782608695652174,0.9285714285714286,1.0,1.0
bundle|global_prereg_16fp,global,expert_load_effective_rank|global OR flow_path|global,2,"pre-registered greedy, dev FP<=16",225,16,255,40,0.864406779661017,0.4521276595744681,1.3178955360077849,0.6558993152670569,33,26,0.0026602819898909284,0.4854771784232365,0.46853146853146854,0.4157303370786517,0.38461538461538464,0.56,0.30434782608695654,0.21428571428571427,0.0,0.0
bundle|global_frontier_dev32,global,expert_load_effective_rank|global OR mobility|global OR flow_path|global OR conditional_energy|global,4,greedy at dev FP budget 32 (frontier point),341,30,392,57,0.8730512249443207,0.6950354609929078,1.4845161436373904,0.5881049045415927,59,30,0.003790901835594573,0.7178423236514523,0.8041958041958042,0.5730337078651685,0.6538461538461539,0.64,0.5217391304347826,0.35714285714285715,1.0,1.0
bundle|global_frontier_dev52,global,expert_load_effective_rank|global OR mobility|global OR conditional_query_d1|global OR flow_path|global,4,greedy at dev FP budget 52 (frontier point),357,51,407,71,0.8514644351464435,0.7216312056737588,1.5639387929790347,0.5444359069350471,86,39,0.004722000532056398,0.6970954356846473,0.8741258741258742,0.6067415730337079,0.7692307692307693,0.6,0.5217391304347826,0.7142857142857143,1.0,1.0
bundle|per_task_prereg_89fp,per_task,expert_load_effective_rank|per_task OR mobility|per_task OR action_consensus|per_task,3,"pre-registered greedy, dev FP<=88",368,88,409,155,0.725177304964539,0.725177304964539,1.6148470506023063,0.44906872430677697,131,119,0.010308592710827348,0.9087136929460581,0.43356643356643354,0.6741573033707865,0.6538461538461539,0.96,0.782608695652174,0.42857142857142855,1.0,1.0
bundle|v7_plus_global_prereg,task_agnostic,v7_guard|task_agnostic OR flow_endpoint|global OR conditional_energy|global OR flow_path|global,4,"pre-registered greedy, dev FP<=76",409,74,473,94,0.8342151675485009,0.8386524822695035,1.3955464910600839,0.5977695282045495,63,53,0.0062516626762436816,0.8547717842323651,0.8671328671328671,0.7078651685393258,0.8461538461538461,0.92,0.8260869565217391,0.9285714285714286,1.0,1.0
twohead|per_task_plus_global,mixed,expert_load_effective_rank|per_task OR mobility|global,2,POST-HOC: task-relative head OR absolute head,395,55,460,106,0.8127208480565371,0.8156028368794326,1.6164825721122766,0.5027711786552361,105,72,0.00704974727321096,0.8713692946058091,0.8391608391608392,0.7303370786516854,0.7307692307692307,0.88,0.6956521739130435,0.35714285714285715,1.0,1.0
twohead|per_task_plus_global_cq,mixed,expert_load_effective_rank|per_task OR conditional_query_d1|global,2,POST-HOC: the other predicted grasp head,395,73,470,118,0.7993197278911565,0.8333333333333334,1.6700382618151604,0.47862360172657237,126,79,0.007847831870178238,0.8630705394190872,0.8811188811188811,0.7415730337078652,0.8461538461538461,0.88,0.6086956521739131,0.6428571428571429,1.0,1.0
twohead|v7_plus_global_grasp,task_agnostic,v7_guard|task_agnostic OR mobility|global,2,POST-HOC: v7 guard OR the grasp head,383,69,439,81,0.8442307692307692,0.7783687943262412,1.39515580494954,0.6051157628672902,57,45,0.00538707102952913,0.7800829875518672,0.8321678321678322,0.6741573033707865,0.8461538461538461,0.64,0.782608695652174,0.9285714285714286,1.0,1.0
