representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,quantity,family
L2,low,0.5,per_task,84,1688,0.17248459958932238,0.11793474463774191,0.04740406320541761,24,1648,0.014354066985645933,0.2857142857142857,0.0631937448950856,0.7501385348204628,mobility_s0,primary_step_mobility
L2,low,0.5,global,288,4636,0.5913757700205339,0.3239013484245092,0.05848903330625508,230,4549,0.048127223268466204,0.7986111111111112,0.04832793374111549,1.2102531347516503,mobility_s0,primary_step_mobility
L2,low,0.6,per_task,43,764,0.08829568788501027,0.05337804792845665,0.05328376703841388,6,749,0.007947019867549669,0.13953488372093023,0.06872457246530636,0.7753233687312158,mobility_s0,primary_step_mobility
L2,low,0.6,global,211,3794,0.433264887063655,0.2650737092153986,0.05268414481897628,168,3749,0.04288996681133521,0.7962085308056872,0.04527301397754462,1.1636986405435161,mobility_s0,primary_step_mobility
L2,low,0.7,per_task,22,410,0.045174537987679675,0.02864528750087333,0.05092592592592592,3,402,0.007407407407407408,0.13636363636363635,0.06040506934149419,0.84307371022159,mobility_s0,primary_step_mobility
L2,low,0.7,global,120,3323,0.2464065708418891,0.23216656186683435,0.03485332558814987,104,3304,0.03051643192488263,0.8666666666666667,0.03605945065391235,0.9665517626061888,mobility_s0,primary_step_mobility
L2,low,0.75,per_task,15,194,0.030800821355236138,0.013554111646754699,0.07177033492822966,2,190,0.010416666666666666,0.13333333333333333,0.07095007983153089,1.0115610172482745,mobility_s0,primary_step_mobility
L2,low,0.75,global,105,2968,0.21560574948665298,0.20736393488437085,0.03416856492027335,90,2963,0.02947920078611202,0.8571428571428571,0.034976073257127344,0.9769125501620042,mobility_s0,primary_step_mobility
L2,low,0.8,per_task,8,25,0.01642710472279261,0.0017466638720044715,0.24242424242424243,0,24,0.0,0.0,0.17702934804912515,1.36940143030392,mobility_s0,primary_step_mobility
L2,low,0.8,global,102,2322,0.20944558521560575,0.1622301404317753,0.04207920792079208,73,2315,0.030569514237855946,0.7156862745098039,0.0433053161936425,0.9716868878784352,mobility_s0,primary_step_mobility
L2,low,0.85,per_task,6,9,0.012320328542094456,0.0006287989939216097,0.4,0,9,0.0,0.0,0.24492622548287407,1.6331448345778274,mobility_s0,primary_step_mobility
L2,low,0.85,global,74,1086,0.15195071868583163,0.07587507859987425,0.06379310344827586,32,1058,0.029357798165137616,0.43243243243243246,0.06515005735569308,0.9791718693352978,mobility_s0,primary_step_mobility
L2,low,0.9,per_task,5,2,0.01026694045174538,0.00013973310976035772,0.7142857142857143,0,2,0.0,0.0,0.4132842222697663,1.7283159525491707,mobility_s0,primary_step_mobility
