quantity,family,mode,feasible,representation,direction,quantile,dev_tp,dev_fp,dev_low_prior_tp,dev_low_prior_fp,dev_lift,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,median_alarm_chunk
mobility_s0,primary_step_mobility,per_task,True,L13,low,0.75,291.0,35.0,40.0,24.0,1.3674461774145015,318,50,0.5638297872340425,0.0033253524873636604,0.8641304347826086,75,39,0.6578947368421053,0.2358490566037736,0.5962360829405453,1.4493091906159876,24.0
mobility_s0,primary_step_mobility,global,True,back_median,low,0.975,97.0,7.0,17.0,6.0,1.380350790651016,109,11,0.19326241134751773,0.0007315775472200053,0.9083333333333333,22,11,0.6666666666666666,0.2018348623853211,0.6598274792319969,1.3766224686346553,35.0
mobility_s1,primary_step_mobility,per_task,True,L13,low,0.75,295.0,39.0,40.0,26.0,1.388987770494702,328,50,0.5815602836879432,0.0033253524873636604,0.8677248677248677,74,39,0.6548672566371682,0.22560975609756098,0.5815737310073222,1.4920289921312535,24.0
mobility_s1,primary_step_mobility,global,True,L13,low,0.975,89.0,8.0,18.0,7.0,1.4060414802175745,104,9,0.18439716312056736,0.0005985634477254589,0.9203539823008849,17,9,0.6538461538461539,0.16346153846153846,0.7015756224105086,1.3118386000053517,37.0
mobility_s2,primary_step_mobility,per_task,True,L13,low,0.75,300.0,37.0,39.0,25.0,1.4141132927736404,333,51,0.5904255319148937,0.003391859537110934,0.8671875,72,40,0.6428571428571429,0.21621621621621623,0.5811149402057773,1.4922822319676075,24.0
mobility_s2,primary_step_mobility,global,True,back_median,low,0.975,112.0,4.0,18.0,3.0,1.4970675131609161,128,5,0.22695035460992907,0.00033253524873636604,0.9624060150375939,25,4,0.8620689655172413,0.1953125,0.6211676053852704,1.5493499768724663,35.0
mobility_s3,primary_step_mobility,per_task,True,L13,low,0.75,304.0,37.0,40.0,23.0,1.4361270847875058,337,55,0.5975177304964538,0.0036578877361000267,0.8596938775510204,69,43,0.6160714285714286,0.20474777448071216,0.5782641778578789,1.4866801549694284,24.0
mobility_s3,primary_step_mobility,global,True,back_median,low,0.975,118.0,3.0,18.0,2.0,1.6085837973551316,142,5,0.25177304964539005,0.00033253524873636604,0.9659863945578231,26,4,0.8666666666666667,0.18309859154929578,0.5898655840632304,1.6376381681801502,35.0
mobility_s4,primary_step_mobility,per_task,True,L13,low,0.75,314.0,35.0,38.0,22.0,1.429196950979885,344,61,0.6099290780141844,0.004056930034583666,0.8493827160493828,67,47,0.5877192982456141,0.19476744186046513,0.5729043667683027,1.482590752171549,24.0
mobility_s4,primary_step_mobility,global,True,L14,low,0.96,170.0,18.0,19.0,12.0,1.6261057332216384,202,25,0.35815602836879434,0.0016626762436818302,0.8898678414096917,37,18,0.6727272727272727,0.18316831683168316,0.517965794681093,1.71800503150517,33.0
mobility_s5,primary_step_mobility,per_task,True,L12,low,0.85,265.0,30.0,33.0,19.0,1.3116996978979387,295,45,0.5230496453900709,0.0029928172386272946,0.8676470588235294,63,36,0.6363636363636364,0.2135593220338983,0.623416584494219,1.3917612723239563,21.0
mobility_s5,primary_step_mobility,global,True,L14,low,0.96,175.0,17.0,20.0,8.0,1.6258669089858224,206,19,0.36524822695035464,0.001263633945198191,0.9155555555555556,38,11,0.7755102040816326,0.18446601941747573,0.5301594235058411,1.7269438492692724,33.0
mobility_s6,primary_step_mobility,per_task,True,all_median,low,0.7,283.0,29.0,34.0,21.0,1.3085256938555316,304,50,0.5390070921985816,0.0033253524873636604,0.8587570621468926,67,37,0.6442307692307693,0.22039473684210525,0.6165853319008148,1.392762717042763,23.0
mobility_s6,primary_step_mobility,global,True,L14,low,0.96,183.0,24.0,21.0,12.0,1.6023142532030246,211,27,0.374113475177305,0.0017956903431763766,0.8865546218487395,41,14,0.7454545454545455,0.1943127962085308,0.5218085358650476,1.6990036783875533,33.0
mobility_s7,primary_step_mobility,per_task,True,L12,low,0.9,212.0,23.0,31.0,12.0,1.3201417333610295,250,38,0.4432624113475177,0.002527267890396382,0.8680555555555556,63,29,0.6847826086956522,0.252,0.6124070874939505,1.417448578375786,20.0
mobility_s7,primary_step_mobility,global,True,back_median,low,0.96,187.0,22.0,21.0,9.0,1.6352972696190888,218,33,0.38652482269503546,0.002194732641660016,0.8685258964143426,39,17,0.6964285714285714,0.17889908256880735,0.5233664264277694,1.659498684970021,33.0
mobility_s8,primary_step_mobility,per_task,True,all_median,low,0.85,286.0,28.0,30.0,14.0,1.2817716553139296,309,51,0.5478723404255319,0.003391859537110934,0.8583333333333333,61,34,0.6421052631578947,0.19741100323624594,0.6448873024173369,1.330981909731982,22.0
mobility_s8,primary_step_mobility,global,True,L14,low,0.96,211.0,28.0,22.0,14.0,1.5938221206067782,239,39,0.4237588652482269,0.0025937749401436553,0.8597122302158273,43,21,0.671875,0.1799163179916318,0.5179536193155685,1.6598247374965034,32.0
mobility_s9,primary_step_mobility,per_task,True,L2,low,0.7,243.0,31.0,41.0,18.0,1.31229780486713,272,57,0.48226950354609927,0.003790901835594573,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383,20.0
mobility_s9,primary_step_mobility,global,True,L12,low,0.975,172.0,15.0,18.0,5.0,1.7428417708393027,195,17,0.34574468085106386,0.0011306198457036445,0.9198113207547169,36,4,0.9,0.18461538461538463,0.5214150585184776,1.7640674271437853,34.0
mobility_settling_log_ratio,derived_step_summary,per_task,True,L15,low,0.95,162.0,30.0,33.0,20.0,1.4322514011116059,164,31,0.2907801418439716,0.0020617185421654693,0.841025641025641,50,19,0.7246376811594203,0.3048780487804878,0.5422371210777995,1.5510292606930753,19.0
mobility_settling_log_ratio,derived_step_summary,global,True,all_median,high,0.96,27.0,8.0,8.0,5.0,1.6396144303702898,35,14,0.06205673758865248,0.000931098696461825,0.7142857142857143,12,11,0.5217391304347826,0.34285714285714286,0.4270602815168028,1.6725641442204935,21.0
