mode,head,tp,fp,tp_missed_by_step9,fp_added_over_step9,risk_caught_only_by_step9,false_alarm_dependence,median_alarm_chunk
per_task,mobility_s0,318,50,96,29,50,110.79157894736842,24.0
per_task,mobility_s1,328,50,101,28,45,116.06736842105263,24.0
per_task,mobility_s2,333,51,103,29,42,113.79153766769866,24.0
per_task,mobility_s3,337,55,103,33,38,105.51578947368421,24.0
per_task,mobility_s4,344,61,106,38,34,99.46160483175152,24.0
per_task,mobility_s5,295,45,68,26,45,111.37777777777778,21.0
per_task,mobility_s6,304,50,83,29,51,110.79157894736842,23.0
per_task,mobility_s7,250,38,41,20,63,124.95290858725761,20.0
per_task,mobility_s8,309,51,60,24,23,139.65325077399382,22.0
per_task,mobility_s9,272,57,0,0,0,263.7894736842105,20.0
per_task,mobility_settling_log_ratio,164,31,35,15,143,136.14940577249575,19.0
per_task,mobility_step_range,165,41,15,27,122,90.07445442875482,21.0
per_task,token_differentiation_s0,37,8,2,7,237,32.973684210526315,14.0
per_task,token_differentiation_s3,74,5,11,5,209,0.0,19.0
per_task,token_differentiation_s6,43,1,0,1,229,0.0,15.0
per_task,token_differentiation_s9,101,33,46,28,217,39.96810207336523,18.5
per_task,conditional_effective_rank_s0,60,10,8,7,220,79.13684210526317,17.5
per_task,conditional_effective_rank_s3,86,13,16,10,202,60.874493927125506,24.0
per_task,conditional_effective_rank_s6,88,6,16,3,200,131.89473684210526,25.0
per_task,conditional_effective_rank_s9,103,10,9,6,178,105.51578947368422,21.0
per_task,load_entropy_s0,9,1,6,1,269,0.0,16.5
per_task,load_entropy_s3,100,16,51,11,223,82.4342105263158,19.0
per_task,load_entropy_s6,107,23,51,18,216,57.34553775743707,18.5
per_task,load_entropy_s9,370,93,125,79,27,39.71024335031126,18.0
per_task,flow_speed_s1,81,18,40,12,231,87.92982456140352,19.0
per_task,flow_speed_s3,101,20,55,15,226,65.94736842105264,21.0
per_task,flow_speed_s6,99,18,47,12,220,87.92982456140352,20.0
per_task,flow_speed_s9,285,62,100,52,87,42.54668930390492,18.0
per_task,mobility_s0_or_s9,368,86,96,29,0,174.8372093023256,21.0
per_task,mobility_s0_and_s9,222,21,0,0,50,263.7894736842105,21.0
global,mobility_s0,109,11,5,10,91,80.40641711229947,35.0
global,mobility_s1,104,9,5,9,96,0.0,37.0
global,mobility_s2,128,5,5,3,72,353.78823529411767,35.0
global,mobility_s3,142,5,6,3,59,353.78823529411767,35.0
global,mobility_s4,202,25,26,17,19,283.03058823529415,33.0
global,mobility_s5,206,19,28,10,17,418.9597523219814,33.0
global,mobility_s6,211,27,27,13,11,458.6143790849673,33.0
global,mobility_s7,218,33,27,17,4,428.8342245989305,33.0
global,mobility_s8,239,39,44,22,0,385.5384615384615,32.0
global,mobility_s9,195,17,0,0,0,884.4705882352941,34.0
global,mobility_settling_log_ratio,35,14,34,14,194,0.0,21.0
global,mobility_step_range,226,20,41,10,10,442.2352941176471,33.0
global,token_differentiation_s0,16,52,16,52,195,0.0,8.0
global,token_differentiation_s3,1,4,1,4,195,0.0,7.0
global,token_differentiation_s6,30,6,30,6,195,0.0,17.0
global,token_differentiation_s9,15,5,0,5,180,0.0,16.0
global,conditional_effective_rank_s0,19,6,3,6,179,0.0,16.0
global,conditional_effective_rank_s3,35,11,14,11,174,0.0,16.0
global,conditional_effective_rank_s6,67,127,34,125,162,13.928670680870775,17.0
global,conditional_effective_rank_s9,88,158,50,156,157,11.195830230826507,17.0
global,load_entropy_s0,66,21,66,21,195,0.0,12.0
global,load_entropy_s3,109,31,109,31,195,0.0,12.0
global,load_entropy_s6,58,5,58,5,195,0.0,13.0
global,load_entropy_s9,238,36,169,33,126,73.70588235294117,17.0
global,flow_speed_s1,1,4,1,4,195,0.0,11.0
global,flow_speed_s3,0,0,0,0,195,,
global,flow_speed_s6,70,14,69,14,194,0.0,18.0
global,flow_speed_s9,5,0,0,0,190,,15.0
global,mobility_s0_or_s9,200,27,5,10,0,556.8888888888889,33.0
global,mobility_s0_and_s9,104,1,0,0,91,884.4705882352941,37.0
