suite,representation,seed,init,neighbor_overlap_15,kl_divergence,seconds
libero_goal,routing,20260907,random,0.6763697803524017,0.6675477027893066,4.661239882931113
libero_goal,routing,20260908,random,0.676418054549843,0.6666545867919922,4.76342729665339
libero_goal,dynamics,20260907,random,0.6092203717113203,0.8342489004135132,4.8536775149405
libero_goal,dynamics,20260908,random,0.6105720492396814,0.8378146290779114,4.4913280718028545
libero_long,routing,20260907,random,0.6252331468158807,0.9683548212051392,9.593268848955631
libero_long,routing,20260908,random,0.6259525712763123,0.9780092239379883,9.504269383847713
libero_long,dynamics,20260907,random,0.493445243804956,1.2326948642730713,9.918955199420452
libero_long,dynamics,20260908,random,0.4923794297895018,1.2330470085144043,9.720789892598987
libero_object,routing,20260907,random,0.4435054773082942,1.2646219730377197,6.047847339883447
libero_object,routing,20260908,random,0.44827856025039126,1.254433512687683,6.2273817248642445
libero_object,dynamics,20260907,random,0.4760954616588419,1.0717532634735107,7.712041450664401
libero_object,dynamics,20260908,random,0.47406103286384976,1.0752604007720947,6.442003834992647
libero_spatial,routing,20260907,random,0.6514898688915376,0.7572844624519348,5.33397002518177
libero_spatial,routing,20260908,random,0.6531982518871672,0.7554284334182739,6.090933660045266
libero_spatial,dynamics,20260907,random,0.5375844259038538,0.9684959650039673,5.885464919731021
libero_spatial,dynamics,20260908,random,0.5386571315057608,0.9681573510169983,5.537036618217826
