fold,suite,seed,method,calibration,alpha,scope,origin,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.01,seen,round5,560,12,548,12,7,1.0,0.0127737226277372,0.631578947368421,0.9936131386861314,0.5666666666666668,14.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.01,unseen,round5,1200,78,1122,57,1,0.7307692307692307,0.0008912655971479,0.9827586206896552,0.8649389825860414,0.8452991452991452,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.03,seen,round5,560,12,548,12,19,1.0,0.0346715328467153,0.3870967741935484,0.9826642335766425,0.5527777777777779,13.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.03,unseen,round5,1200,78,1122,63,2,0.8076923076923077,0.0017825311942959,0.9692307692307692,0.902954888249006,0.8170940170940172,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,round5,560,12,548,12,22,1.0,0.0401459854014598,0.3529411764705882,0.97992700729927,0.4888888888888889,13.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,unseen,round5,1200,78,1122,63,2,0.8076923076923077,0.0017825311942959,0.9692307692307692,0.902954888249006,0.8059829059829059,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.1,seen,round5,560,12,548,12,32,1.0,0.0583941605839416,0.2727272727272727,0.9708029197080292,0.4305555555555556,10.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.1,unseen,round5,1200,78,1122,71,2,0.9102564102564102,0.0017825311942959,0.9726027397260274,0.9542369395310571,0.7572649572649574,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.15,seen,round5,560,12,548,12,44,1.0,0.0802919708029197,0.2142857142857142,0.95985401459854,0.3999999999999999,9.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.15,unseen,round5,1200,78,1122,76,3,0.9743589743589745,0.0026737967914438,0.9620253164556962,0.9858425887837652,0.7247863247863248,22.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.2,seen,round5,560,12,548,12,106,1.0,0.1934306569343065,0.1016949152542373,0.9032846715328468,0.375,9.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.2,unseen,round5,1200,78,1122,78,8,1.0,0.0071301247771836,0.9069767441860463,0.9964349376114082,0.6636752136752136,18.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.01,seen,round5,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.01,unseen,round5,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.03,seen,round5,560,12,548,12,7,1.0,0.0127737226277372,0.631578947368421,0.9936131386861314,0.5722222222222223,14.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.03,unseen,round5,1200,78,1122,57,1,0.7307692307692307,0.0008912655971479,0.9827586206896552,0.8649389825860414,0.8534188034188034,24.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,round5,560,12,548,12,7,1.0,0.0127737226277372,0.631578947368421,0.9936131386861314,0.5722222222222223,14.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,unseen,round5,1200,78,1122,57,1,0.7307692307692307,0.0008912655971479,0.9827586206896552,0.8649389825860414,0.847863247863248,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.1,seen,round5,560,12,548,12,16,1.0,0.0291970802919708,0.4285714285714285,0.9854014598540146,0.5555555555555557,14.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.1,unseen,round5,1200,78,1122,63,2,0.8076923076923077,0.0017825311942959,0.9692307692307692,0.902954888249006,0.8170940170940172,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.15,seen,round5,560,12,548,12,30,1.0,0.0547445255474452,0.2857142857142857,0.9726277372262774,0.4388888888888889,11.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.15,unseen,round5,1200,78,1122,68,2,0.8717948717948718,0.0017825311942959,0.9714285714285714,0.935006170300288,0.7816239316239315,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.2,seen,round5,560,12,548,12,33,1.0,0.0602189781021897,0.2666666666666666,0.9698905109489052,0.4166666666666667,10.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.2,unseen,round5,1200,78,1122,72,2,0.9230769230769232,0.0017825311942959,0.972972972972973,0.9606471959413136,0.7504273504273504,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.01,seen,round5,560,12,548,12,9,1.0,0.0164233576642335,0.5714285714285714,0.9917883211678832,0.5972222222222222,14.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.01,unseen,round5,1200,78,1122,62,1,0.7948717948717948,0.0008912655971479,0.984126984126984,0.8969902646373233,0.8128205128205128,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.03,seen,round5,560,12,548,12,14,1.0,0.0255474452554744,0.4615384615384615,0.9872262773722628,0.5416666666666666,13.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.03,unseen,round5,1200,78,1122,64,2,0.8205128205128205,0.0017825311942959,0.9696969696969696,0.9093651446592624,0.7863247863247863,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,seen,round5,560,12,548,12,20,1.0,0.0364963503649635,0.375,0.9817518248175182,0.5361111111111111,13.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.05,unseen,round5,1200,78,1122,66,3,0.8461538461538461,0.0026737967914438,0.9565217391304348,0.9217400246812012,0.7717948717948717,22.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.1,seen,round5,560,12,548,12,44,1.0,0.0802919708029197,0.2142857142857142,0.95985401459854,0.513888888888889,13.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.1,unseen,round5,1200,78,1122,74,4,0.9487179487179488,0.0035650623885918,0.9487179487179488,0.9725764431646784,0.7034188034188035,19.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.15,seen,round5,560,12,548,12,80,1.0,0.145985401459854,0.1304347826086956,0.927007299270073,0.4527777777777778,12.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.15,unseen,round5,1200,78,1122,77,15,0.9871794871794872,0.0133689839572192,0.8369565217391305,0.986905251611134,0.6465811965811964,17.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.2,seen,round5,560,12,548,12,104,1.0,0.1897810218978102,0.1034482758620689,0.9051094890510948,0.4194444444444444,10.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,episode,0.2,unseen,round5,1200,78,1122,77,29,0.9871794871794872,0.0258467023172905,0.7264150943396226,0.9806663924310984,0.6247863247863248,17.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.01,seen,round5,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.01,unseen,round5,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.03,seen,round5,560,12,548,12,2,1.0,0.0036496350364963,0.8571428571428571,0.998175182481752,0.6305555555555555,17.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.03,unseen,round5,1200,78,1122,58,1,0.7435897435897436,0.0008912655971479,0.9830508474576272,0.8713492389962978,0.8495726495726496,23.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,seen,round5,560,12,548,12,4,1.0,0.0072992700729927,0.75,0.9963503649635036,0.6222222222222222,17.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,unseen,round5,1200,78,1122,58,1,0.7435897435897436,0.0008912655971479,0.9830508474576272,0.8713492389962978,0.8474358974358975,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.1,seen,round5,560,12,548,12,14,1.0,0.0255474452554744,0.4615384615384615,0.9872262773722628,0.5416666666666666,13.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.1,unseen,round5,1200,78,1122,64,2,0.8205128205128205,0.0017825311942959,0.9696969696969696,0.9093651446592624,0.7811965811965812,22.5
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.15,seen,round5,560,12,548,12,44,1.0,0.0802919708029197,0.2142857142857142,0.95985401459854,0.513888888888889,13.0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.15,unseen,round5,1200,78,1122,74,4,0.9487179487179488,0.0035650623885918,0.9487179487179488,0.9725764431646784,0.7089743589743589,20.5
