fold,suite,seed,method,view,scope,origin,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc,scorable_fraction,mixed_tasks
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,seen,round5,560,12,1.0,1.0,1.0,1.0,0.9482142857142856,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,unseen,round5,1200,78,0.999268705151058,0.986779957646578,0.9990139634031768,0.9932539682539684,0.9908333333333332,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,seen,round5,560,12,0.5918491484184915,0.0275321615238316,0.6701079701475271,0.5873015873015873,0.8571428571428571,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,unseen,round5,1200,78,0.6730197906668495,0.1838077587972782,0.5664462232991975,0.5563888888888889,0.6666666666666666,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,q7,seen,round5,531,12,0.7859666024405909,0.1263953590895382,0.488673370991409,0.5873015873015873,1.0,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,q7,unseen,round5,1189,78,0.3864040250178864,0.0550168481652211,0.5633870214478226,0.4935128495842781,1.0,3
libero_goal_20260907,libero_goal,20260907,dyn_radius,q14,seen,round5,43,12,0.9005376344086021,0.8041292735042737,0.7058823529411765,0.4285714285714285,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,q14,unseen,round5,428,78,0.6265934065934066,0.4220467281055145,0.3065762121467498,0.2593452380952381,1.0,2
libero_goal_20260907,libero_goal,20260907,dyn_radius,q21,seen,round5,15,12,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,q21,unseen,round5,83,78,0.3307692307692307,0.9157313874916544,0.2491830065359477,0.4375,1.0,2
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,seen,round5,560,12,0.9989355231143552,0.9455657768157768,1.0,1.0,0.9482142857142856,3
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,unseen,round5,1200,78,0.9985145573380868,0.9772795799583454,0.9989467579621332,0.994642857142857,0.9908333333333332,3
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,common_horizon,seen,round5,560,12,0.3841240875912409,0.0288690476190476,0.6118143459915611,0.5238095238095238,0.8571428571428571,3
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,common_horizon,unseen,round5,1200,78,0.6936274509803921,0.2181032030791388,0.5701443901342772,0.5712698412698413,0.6666666666666666,3
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,q7,seen,round5,531,12,0.5,0.0225988700564971,0.5,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,q7,unseen,round5,1189,78,0.5,0.0656013456686291,0.5,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,q14,seen,round5,43,12,0.7876344086021505,0.6188380041011621,0.7058823529411765,0.4285714285714285,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,q14,unseen,round5,428,78,0.6274725274725275,0.3630035134873298,0.3239929209506152,0.2661507936507936,1.0,2
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,q21,seen,round5,15,12,0.9722222222222222,0.9935897435897436,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,q21,unseen,round5,83,78,0.3666666666666666,0.9146463542336444,0.2573529411764705,0.1875,1.0,2
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,full,seen,round5,560,12,1.0,1.0,1.0,1.0,0.9482142857142856,3
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,full,unseen,round5,1200,78,0.9977832624891448,0.95925391156372,0.9977228263603256,0.9906746031746032,0.9908333333333332,3
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,common_horizon,seen,round5,560,12,0.4041970802919708,0.0179961191261034,0.420381386955754,0.2746031746031746,0.8571428571428571,3
