method,recall,fpr,t_det
clock_q7,1.0,0.051272033974290955,0.7189588189588189
dyn_pca2_success_knn_k20,0.8775509815425782,0.05578164693865514,0.6996651193309682
dyn_radius,0.8420824351496621,0.0406409245038627,0.7587767779713824
dyn_radius_outward,0.7551288716729894,0.0265321207554014,0.7859466686177843
dyn_success_knn_k1,0.9032395009285765,0.07931078055712239,0.625705856582884
dyn_success_knn_k20,0.9226630823269479,0.05988528052410233,0.6410504575555823
dyn_success_knn_k20_persist3,0.927438069244792,0.05978029673609158,0.6690674842791354
dyn_success_knn_k5,0.9071350762527234,0.06960576343369881,0.6377153472750156
dyn_vote_knn_k20,0.822180811329971,0.02870027911864934,0.7279767450142541
eef_motion_low,0.8275782535236317,0.030895661025039486,0.6773830213853915
route_hellinger_aligned_k20,0.4543669795035341,0.07014209001296239,0.8046446739748782
route_ja_k20,0.7159130551987695,0.3186109578131386,0.5917075443221845
route_success_knn_k20,0.6338937284315436,0.11139718348340122,0.7156215296860191
route_wj_aligned_k20,0.46336765708614447,0.08793003610956625,0.8041139693851688
route_wj_site_k20,0.47094341466190204,0.0888027640390353,0.799077192890059
success_only__cumsum,0.8608821733821733,0.08536156816346986,0.7094463998404299
success_only__current,0.1536463528690419,0.04135757669031227,0.9207640298377869
v7_guard_constant,0.6723758376699553,0.03647718839810495,0.8095949014881064
v7_success_fusion_constant,0.3684028506507498,0.044458904908982355,0.8757657183110039
v7_turbulence_constant,0.710086687355595,0.012234888638908857,0.7887710754582731
