fold,suite,seed,method,calibration,scope,global_row,first_alarm,drop_goal_release,failed_goal_release,reason,origin
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1234,23,,,object_moved_but_goal_unmet,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1241,24,16.0,16.0,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1242,24,,,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1243,26,16.0,16.0,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1245,26,17.0,17.0,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1246,24,17.0,17.0,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1247,-1,17.0,17.0,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1259,23,14.0,14.0,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1272,23,,,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1273,23,,,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1274,23,,,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1276,23,,,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1278,24,,,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1328,22,19.0,19.0,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1331,24,18.0,18.0,object_released_or_dropped_before_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1332,14,28.0,28.0,object_released_outside_goal,round5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,unseen,1335,24,17.0,17.0,object_released_or_dropped_before_goal,round5
