dataset,grouping,task,fold,method,budget,reference_size,calibration_size,calibration_alarms,threshold
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__deviation,0.01,256,128,1,0.9194408400291871
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__deviation,0.03,256,128,3,0.9113180193524064
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__deviation,0.05,256,128,6,0.902932634484188
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__deviation,0.1,256,128,12,0.8952182029640156
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__knn5,0.01,256,128,1,1.4332536903708377
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__knn5,0.03,256,128,3,1.430237850275463
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__knn5,0.05,256,128,6,1.4230873562437991
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__knn5,0.1,256,128,12,1.4140044374320109
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__deviation,0.01,256,128,1,0.9162469798785537
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__deviation,0.03,256,128,3,0.9061148414611194
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__deviation,0.05,256,128,6,0.8987567999824023
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__deviation,0.1,256,128,12,0.885840959498464
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__knn5,0.01,256,128,1,1.1949895510057154
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__knn5,0.03,256,128,3,1.193314066319663
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__knn5,0.05,256,128,6,1.1811954093444732
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__knn5,0.1,256,128,12,1.158474454246271
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__deviation,0.01,256,128,1,0.9169335564614911
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__deviation,0.03,256,128,3,0.9076853841848578
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__deviation,0.05,256,128,6,0.9056168635277156
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__deviation,0.1,256,128,12,0.8984606538153337
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__knn5,0.01,256,128,1,1.301303384729115
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__knn5,0.03,256,128,3,1.300423273514934
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__knn5,0.05,256,128,6,1.2982969559179747
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__knn5,0.1,256,128,12,1.2867831538618255
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__deviation,0.01,256,128,1,1.0177704272667272
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__deviation,0.03,256,128,3,1.0021311508813544
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__deviation,0.05,256,128,6,0.9922729813635819
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__deviation,0.1,256,128,12,0.9827393280518113
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__knn5,0.01,256,128,1,1.4848614210382798
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__knn5,0.03,256,128,3,1.4736029028520878
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__knn5,0.05,256,128,6,1.4700791552589958
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__knn5,0.1,256,128,12,1.4642999735874795
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__deviation,0.01,256,128,1,1.0886893659286685
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__deviation,0.03,256,128,3,1.0780130543850315
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__deviation,0.05,256,128,6,1.071966512665225
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__deviation,0.1,256,128,12,1.042334214568421
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__knn5,0.01,256,128,1,0.9947314155843842
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__knn5,0.03,256,128,3,0.9846783568577113
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__knn5,0.05,256,128,6,0.9699462250260279
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__knn5,0.1,256,128,12,0.9567086415549888
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__deviation,0.01,256,128,1,0.9988257793328575
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__deviation,0.03,256,128,3,0.9766139520361513
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__deviation,0.05,256,128,6,0.9688464810726103
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__deviation,0.1,256,128,12,0.9390739095389835
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__knn5,0.01,256,128,1,1.3560618960875985
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__knn5,0.03,256,128,3,1.3476078263041333
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__knn5,0.05,256,128,6,1.3437967011910559
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__knn5,0.1,256,128,12,1.3351372075044141
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d0__deviation,0.01,256,128,1,1.0181276329074316
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d0__deviation,0.03,256,128,3,1.0110651500867547
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d0__deviation,0.05,256,128,6,1.008228352651241
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d0__deviation,0.1,256,128,12,0.9914228085130421
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d0__knn5,0.01,256,128,1,1.4711555097204652
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d0__knn5,0.03,256,128,3,1.4701095368372001
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d0__knn5,0.05,256,128,6,1.4598320154800757
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d0__knn5,0.1,256,128,12,1.4481042677549545
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d9__deviation,0.01,256,128,1,1.085025925981942
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d9__deviation,0.03,256,128,3,1.080147106416451
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d9__deviation,0.05,256,128,6,1.0633744762527666
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d9__deviation,0.1,256,128,12,1.0416095267050616
q0,flow_noise_seed,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_d9__knn5,0.01,256,128,1,0.89872837313804
