lead,method,wins,ties,pairs,binomial_exact_lo,binomial_exact_hi
-4,authority_low,22,0,23,0.7805133925465195,0.9988998313695585
-4,disagreement_low,21,0,23,0.7196206640905891,0.9892900339621241
-4,cancellation_low,20,0,23,0.6641108624628791,0.9722484925772068
-4,cosine_high,21,0,23,0.7196206640905891,0.9892900339621241
-4,route_entropy_low,17,0,23,0.5159480295975618,0.8977138660846415
-4,route_margin_low,4,0,23,0.04950764530579343,0.38781188995479754
-4,route_token_collapse,13,0,23,0.3449466074523746,0.7680858004617686
-4,action_translation_low,22,0,23,0.7805133925465195,0.9988998313695585
-4,action_rotation_low,20,0,23,0.6641108624628791,0.9722484925772068
-4,eef_motion_low,22,0,23,0.7805133925465195,0.9988998313695585
-4,clock,0,23,23,,
-4,function4__deviation,4,0,23,0.04950764530579343,0.38781188995479754
-4,function4__knn5,4,0,23,0.04950764530579343,0.38781188995479754
-4,proprio__deviation,4,0,23,0.04950764530579343,0.38781188995479754
-4,proprio__knn5,3,0,23,0.027751507422793194,0.3358891375371209
-4,action__deviation,0,0,23,0.0,0.14818512891522437
-4,action__knn5,2,0,23,0.010709966037875884,0.2803793359094109
-4,routing__deviation,9,0,23,0.1970764239690144,0.6145810426111503
-4,routing__knn5,13,0,23,0.3449466074523746,0.7680858004617686
-2,authority_low,17,0,23,0.5159480295975618,0.8977138660846415
-2,disagreement_low,21,0,23,0.7196206640905891,0.9892900339621241
-2,cancellation_low,18,0,23,0.5629692737631854,0.9253965923511963
-2,cosine_high,22,0,23,0.7805133925465195,0.9988998313695585
-2,route_entropy_low,9,0,23,0.1970764239690144,0.6145810426111503
-2,route_margin_low,14,0,23,0.3854189573888496,0.8029235760309856
-2,route_token_collapse,13,0,23,0.3449466074523746,0.7680858004617686
-2,action_translation_low,22,0,23,0.7805133925465195,0.9988998313695585
-2,action_rotation_low,21,0,23,0.7196206640905891,0.9892900339621241
-2,eef_motion_low,23,0,23,0.8518148710847756,1.0
-2,clock,0,23,23,,
-2,function4__deviation,6,0,23,0.10228613391535846,0.48405197040243814
-2,function4__knn5,4,0,23,0.04950764530579343,0.38781188995479754
-2,proprio__deviation,2,0,23,0.010709966037875884,0.2803793359094109
-2,proprio__knn5,3,0,23,0.027751507422793194,0.3358891375371209
-2,action__deviation,0,0,23,0.0,0.14818512891522437
-2,action__knn5,0,0,23,0.0,0.14818512891522437
-2,routing__deviation,4,0,23,0.04950764530579343,0.38781188995479754
-2,routing__knn5,8,0,23,0.1637635983749499,0.5726560369635056
