dataset,grouping,task,fold,method,budget,reference_size,calibration_size,calibration_alarms,threshold
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,hidden_descriptor__deviation,0.01,256,128,1,1.5255369127926304
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,hidden_descriptor__deviation,0.03,256,128,3,1.5019606692902419
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,hidden_descriptor__deviation,0.05,256,128,6,1.4982908130368293
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,hidden_descriptor__deviation,0.1,256,128,12,1.4573640562013492
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,hidden_descriptor__knn5,0.01,256,128,1,1.0805598355615016
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,hidden_descriptor__knn5,0.03,256,128,3,1.0181959327091938
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,hidden_descriptor__knn5,0.05,256,128,6,0.9489515546505786
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,hidden_descriptor__knn5,0.1,256,128,12,0.7226834313362746
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,proprio__deviation,0.01,256,128,1,2.2644248206001114
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,proprio__deviation,0.03,256,128,3,2.2069916586683838
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,proprio__deviation,0.05,256,128,6,2.1445645815148913
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,proprio__deviation,0.1,256,128,12,2.059587281730358
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,proprio__knn5,0.01,256,128,1,0.750757529096075
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,proprio__knn5,0.03,256,128,3,0.6715658017252097
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,proprio__knn5,0.05,256,128,6,0.6580394322477267
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,proprio__knn5,0.1,256,128,12,0.6194005147836295
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,action__deviation,0.01,256,128,1,18.056267586731504
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,action__deviation,0.03,256,128,3,17.986546099400865
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,action__deviation,0.05,256,128,6,17.981862914926015
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,action__deviation,0.1,256,128,12,17.917340052036764
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,action__knn5,0.01,256,128,1,17.818028676606975
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,action__knn5,0.03,256,128,3,12.56097534558398
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,action__knn5,0.05,256,128,6,9.331682411490489
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,action__knn5,0.1,256,128,12,0.8479057420951861
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d0__deviation,0.01,256,128,1,0.994411007218767
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d0__deviation,0.03,256,128,3,0.9562749216207521
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d0__deviation,0.05,256,128,6,0.9490434898047916
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d0__deviation,0.1,256,128,12,0.9319813654117717
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d0__knn5,0.01,256,128,1,1.0839022874135484
q34,init_state_id,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,route_d0__knn5,0.03,256,128,3,1.063821197368258
