dataset,setting,scope,method,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc
q0,init_state_id,all,routed_d0__deviation,2048,307,0.49606445058532767,0.1490893852196189,0.5191196890679673,0.5015792742422419
q0,init_state_id,all,routed_d0__knn5,2048,307,0.3689070080282588,0.11044620243736722,0.49982036731980745,0.5053345105151088
q0,init_state_id,all,routed_d9__deviation,2048,307,0.5019897584038526,0.16395010628423318,0.4529330602398911,0.5278462617534558
q0,init_state_id,all,routed_d9__knn5,2048,307,0.4653565007193814,0.13427126217024643,0.45140160525767326,0.5192158519292628
q0,init_state_id,all,routed_flowmean__deviation,2048,307,0.5359194891550216,0.2277798837128342,0.5241915274837308,0.5337132002082019
q0,init_state_id,all,routed_flowmean__knn5,2048,307,0.43678892096533684,0.12925379639072915,0.4848544697513062,0.5161162785549743
q0,init_state_id,all,shared_d0__deviation,2048,307,0.5392441724494703,0.16995433749207878,0.5271439358741641,0.5034463435649558
q0,init_state_id,all,shared_d0__knn5,2048,307,0.4193179628316498,0.12004318111473052,0.5213761732006762,0.5436056025840262
q0,init_state_id,all,shared_d9__deviation,2048,307,0.5604046496921347,0.31811787554881577,0.5032246982975216,0.545212313092489
q0,init_state_id,all,shared_d9__knn5,2048,307,0.5188601406582386,0.20835736326708965,0.49359476773506034,0.5279514697287278
q0,init_state_id,all,shared_flowmean__deviation,2048,307,0.5856307075756754,0.2598102162630771,0.5507760824634425,0.5076289423849716
q0,init_state_id,all,shared_flowmean__knn5,2048,307,0.5040272261065283,0.19224758047265383,0.5293323677671032,0.5503010283871351
q0,init_state_id,all,hidden_d0__deviation,2048,307,0.4857517582279831,0.1477863231295915,0.4892818003573882,0.48522619919784965
q0,init_state_id,all,hidden_d0__knn5,2048,307,0.3505080572586424,0.1073457595091037,0.4446211305240211,0.47424124175217297
q0,init_state_id,all,hidden_d9__deviation,2048,307,0.5331785431638187,0.2895811863060259,0.47651147194827215,0.548886262464036
q0,init_state_id,all,hidden_d9__knn5,2048,307,0.4192075766108437,0.12210977662587341,0.4472546796216309,0.5445693900236811
q0,init_state_id,all,hidden_flowmean__deviation,2048,307,0.5186281424992563,0.1793763659034334,0.49199478723043955,0.4959179639690898
q0,init_state_id,all,hidden_flowmean__knn5,2048,307,0.42585320129395104,0.12689530149220743,0.43868799187825647,0.4728058984832973
q0,init_state_id,all,function4_d0__deviation,2048,307,0.5477008795349559,0.171910402616384,0.5468936881360243,0.5565471879510578
q0,init_state_id,all,function4_d0__knn5,2048,307,0.5973129374521737,0.22779401266757168,0.5812925731632689,0.5578688487398515
q0,init_state_id,all,function4_d9__deviation,2048,307,0.3962135655310607,0.11845554991834581,0.448399383030647,0.5418364161078533
q0,init_state_id,all,function4_d9__knn5,2048,307,0.4177313947766737,0.12017668524990163,0.4564631688209166,0.5473934821578761
q0,init_state_id,all,function4_flowmean__deviation,2048,307,0.5860628976944248,0.19521703354351402,0.5480594279139561,0.5467076099513476
q0,init_state_id,all,function4_flowmean__knn5,2048,307,0.6106958635102444,0.21438213517146712,0.542416180217972,0.554144847232868
q0,init_state_id,all,route_d0__deviation,2048,307,0.4992263609779097,0.18453552800601464,0.523043791496864,0.5166502404483568
q0,init_state_id,all,route_d0__knn5,2048,307,0.4098471992770638,0.13443774388589275,0.490228271939953,0.48985332145476185
q0,init_state_id,all,route_d9__deviation,2048,307,0.48583969301404895,0.2493713144174622,0.4226273606182971,0.5420057048909435
q0,init_state_id,all,route_d9__knn5,2048,307,0.4462372330851826,0.14445088743768417,0.40707677781564955,0.4922533670203506
q0,init_state_id,all,route_flowmean__deviation,2048,307,0.4555826427958023,0.21624178566137542,0.46339581203043545,0.5383614845987439
q0,init_state_id,all,route_flowmean__knn5,2048,307,0.3947822865663711,0.15268980468333884,0.43412018960349724,0.49838537733793364
q0,init_state_id,all,proprio__deviation,2048,307,0.46003644616239486,0.16319777952916484,0.4646699491044396,0.5
q0,init_state_id,all,proprio__knn5,2048,307,0.4130979799321593,0.13430884988891245,0.4290054103055223,0.5
q0,init_state_id,all,action__deviation,2048,307,0.5264674351293858,0.2727155295540187,0.47818986318545387,0.5390565189087457
q0,init_state_id,all,action__knn5,2048,307,0.45807475205196757,0.22988310311451987,0.4977583263905002,0.5458546068659517
q0,init_state_id,all,authority_low__d0,2048,307,0.59545133932163,0.16619076663979976,0.43555980407999584,0.49422850188252976
q0,init_state_id,all,disagreement_low__d0,2048,307,0.6370108159786861,0.18507852769526234,0.4683743014355941,0.44149839172421174
q0,init_state_id,all,cancellation_low__d0,2048,307,0.6938316554004118,0.24605166258903752,0.47054408685501214,0.44267030273730235
q0,init_state_id,all,cosine_high__d0,2048,307,0.5852546460437765,0.16407037516776501,0.4357450634925439,0.47046116140390704
q0,init_state_id,all,authority_low__d9,2048,307,0.7157171268898963,0.26357907513565276,0.45000592763516195,0.47076934908124934
q0,init_state_id,all,disagreement_low__d9,2048,307,0.6245680437503625,0.20659643148399073,0.4778902235652305,0.49435874714369227
q0,init_state_id,all,cancellation_low__d9,2048,307,0.6148325403611313,0.20499743223038103,0.4661156395457207,0.4987624067259546
q0,init_state_id,all,cosine_high__d9,2048,307,0.5262017598182931,0.14932748071465782,0.40711133749631084,0.48484377690533054
q0,init_state_id,all,authority_low__flowmean,2048,307,0.5950228911086706,0.16490915417994678,0.433386070766215,0.44769505154371364
q0,init_state_id,all,disagreement_low__flowmean,2048,307,0.6567381433037661,0.20918485076894777,0.4460710858735075,0.43359543101756964
q0,init_state_id,all,cancellation_low__flowmean,2048,307,0.6871009023605812,0.2651561119245177,0.45554421298097814,0.44390862261855374
q0,init_state_id,all,cosine_high__flowmean,2048,307,0.5686985838757538,0.1566276318709976,0.4072307884492235,0.46470660774051575
q0,init_state_id,all,route_entropy_low__d0,2048,307,0.40061591769304017,0.11950846652371694,0.5818065026262464,0.5032904782503221
q0,init_state_id,all,route_entropy_low__d9,2048,307,0.3946644165339849,0.11493785165105935,0.5216703682265693,0.5316623885360254
q0,init_state_id,all,route_entropy_low__flowmean,2048,307,0.3959647287960231,0.11716125563266272,0.5539073671535877,0.5266528643568342
q0,init_state_id,all,route_margin_low__d0,2048,307,0.5690559358787024,0.16202588966768905,0.4802052682331588,0.5129622166649734
q0,init_state_id,all,route_margin_low__d9,2048,307,0.674895741149925,0.22191887651436476,0.5785030891503806,0.5319807533039821
q0,init_state_id,all,route_margin_low__flowmean,2048,307,0.5747754388787755,0.17383044624855082,0.5182481034816211,0.5420708259181167
q0,init_state_id,all,route_token_collapse__d0,2048,307,0.6363129505488441,0.18197560064778226,0.48963244990911564,0.49647587753929123
q0,init_state_id,all,route_token_collapse__d9,2048,307,0.7283357686903517,0.2737020625629275,0.4287144907615582,0.4772868700928194
q0,init_state_id,all,route_token_collapse__flowmean,2048,307,0.6311977653338622,0.17733507036428778,0.466555482168899,0.4844066089160077
q0,init_state_id,all,clock,2048,307,0.5,0.14990234375,0.5,0.5
q0,init_state_id,all,random,2048,307,0.5233382664124666,0.1605640242192296,0.5329211519350097,0.5837240967471378
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed_d0__deviation,512,42,0.4575987841945289,0.07727176251719997,0.4575987841945289,0.3317110764711274
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed_d0__knn5,512,42,0.4394630192502533,0.10970949736271254,0.4394630192502533,0.5428824712433485
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed_d9__deviation,512,42,0.27188449848024315,0.057643127073214395,0.27188449848024315,0.5116124029639045
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed_d9__knn5,512,42,0.2841945288753799,0.05915303326274857,0.2841945288753799,0.5151477307027125
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed_flowmean__deviation,512,42,0.3608915906788247,0.07786248778294205,0.3608915906788247,0.4862240063495427
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,routed_flowmean__knn5,512,42,0.30379939209726436,0.08607191977460166,0.30379939209726436,0.612432075784213
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared_d0__deviation,512,42,0.5041033434650456,0.08333148802686147,0.5041033434650456,0.42348272456924935
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared_d0__knn5,512,42,0.4663627152988855,0.09751557269771377,0.4663627152988855,0.5205175272432543
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared_d9__deviation,512,42,0.4395136778115501,0.0750436686970306,0.4395136778115501,0.5867794547061193
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared_d9__knn5,512,42,0.406838905775076,0.07009785205791422,0.406838905775076,0.547097881916331
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared_flowmean__deviation,512,42,0.4949848024316109,0.08639833109200246,0.4949848024316109,0.4960070377180658
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,shared_flowmean__knn5,512,42,0.43844984802431614,0.1048801233203989,0.43844984802431614,0.569866734853625
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden_d0__deviation,512,42,0.4534447821681864,0.07686328953651321,0.4534447821681864,0.4068297520466598
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,hidden_d0__knn5,512,42,0.26296859169199593,0.06636548207351764,0.26296859169199593,0.37899464383454534
