dataset,setting,scope,method,budget,tp,fp,failures,successes,recall,fpr,precision,coverage
q0,init_state_id,all,routed_flowmean__knn5,0.1,110,285,307,1741,0.3583061889250814,0.1636990235496841,0.27848101265822783,0.80712890625
q0,init_state_id,all,shared_d0__deviation,0.01,7,19,307,1741,0.02280130293159609,0.010913268236645606,0.2692307692307692,0.9873046875
q0,init_state_id,all,shared_d0__deviation,0.03,13,49,307,1741,0.04234527687296417,0.028144744399770247,0.20967741935483872,0.9697265625
q0,init_state_id,all,shared_d0__deviation,0.05,21,89,307,1741,0.06840390879478828,0.0511200459506031,0.19090909090909092,0.9462890625
q0,init_state_id,all,shared_d0__deviation,0.1,41,174,307,1741,0.13355048859934854,0.09994256174612291,0.19069767441860466,0.89501953125
q0,init_state_id,all,shared_d0__knn5,0.01,75,178,307,1741,0.24429967426710097,0.1022400919012062,0.2964426877470356,0.87646484375
q0,init_state_id,all,shared_d0__knn5,0.03,83,191,307,1741,0.2703583061889251,0.10970706490522689,0.3029197080291971,0.8662109375
q0,init_state_id,all,shared_d0__knn5,0.05,86,203,307,1741,0.28013029315960913,0.11659965537047674,0.2975778546712803,0.85888671875
q0,init_state_id,all,shared_d0__knn5,0.1,89,216,307,1741,0.2899022801302932,0.12406662837449742,0.29180327868852457,0.85107421875
q0,init_state_id,all,shared_d9__deviation,0.01,75,96,307,1741,0.24429967426710097,0.05514072372199885,0.43859649122807015,0.91650390625
q0,init_state_id,all,shared_d9__deviation,0.03,81,111,307,1741,0.26384364820846906,0.06375646180356118,0.421875,0.90625
q0,init_state_id,all,shared_d9__deviation,0.05,89,122,307,1741,0.2899022801302932,0.0700746697300402,0.4218009478672986,0.89697265625
q0,init_state_id,all,shared_d9__deviation,0.1,89,141,307,1741,0.2899022801302932,0.08098793796668581,0.3869565217391304,0.8876953125
q0,init_state_id,all,shared_d9__knn5,0.01,91,127,307,1741,0.2964169381107492,0.07294658242389432,0.41743119266055045,0.8935546875
q0,init_state_id,all,shared_d9__knn5,0.03,94,147,307,1741,0.30618892508143325,0.08443423319931075,0.3900414937759336,0.88232421875
q0,init_state_id,all,shared_d9__knn5,0.05,95,160,307,1741,0.30944625407166126,0.09190120620333142,0.37254901960784315,0.87548828125
q0,init_state_id,all,shared_d9__knn5,0.1,103,198,307,1741,0.3355048859934853,0.11372774267662263,0.34219269102990035,0.85302734375
q0,init_state_id,all,shared_flowmean__deviation,0.01,24,23,307,1741,0.0781758957654723,0.013210798391728892,0.5106382978723404,0.97705078125
q0,init_state_id,all,shared_flowmean__deviation,0.03,40,69,307,1741,0.13029315960912052,0.03963239517518667,0.3669724770642202,0.94677734375
q0,init_state_id,all,shared_flowmean__deviation,0.05,56,102,307,1741,0.18241042345276873,0.05858701895462378,0.35443037974683544,0.9228515625
q0,init_state_id,all,shared_flowmean__deviation,0.1,70,170,307,1741,0.2280130293159609,0.09764503159103963,0.2916666666666667,0.8828125
q0,init_state_id,all,shared_flowmean__knn5,0.01,84,161,307,1741,0.2736156351791531,0.09247558874210224,0.34285714285714286,0.88037109375
q0,init_state_id,all,shared_flowmean__knn5,0.03,92,166,307,1741,0.2996742671009772,0.09534750143595634,0.35658914728682173,0.8740234375
q0,init_state_id,all,shared_flowmean__knn5,0.05,92,167,307,1741,0.2996742671009772,0.09592188397472717,0.3552123552123552,0.87353515625
q0,init_state_id,all,shared_flowmean__knn5,0.1,93,173,307,1741,0.30293159609120524,0.0993681792073521,0.34962406015037595,0.8701171875
q0,init_state_id,all,hidden_d0__deviation,0.01,9,25,307,1741,0.029315960912052116,0.014359563469270534,0.2647058823529412,0.9833984375
q0,init_state_id,all,hidden_d0__deviation,0.03,14,53,307,1741,0.04560260586319218,0.030442274554853533,0.208955223880597,0.96728515625
q0,init_state_id,all,hidden_d0__deviation,0.05,24,91,307,1741,0.0781758957654723,0.05226881102814474,0.20869565217391303,0.94384765625
q0,init_state_id,all,hidden_d0__deviation,0.1,39,169,307,1741,0.1270358306188925,0.09707064905226881,0.1875,0.8984375
q0,init_state_id,all,hidden_d0__knn5,0.01,55,177,307,1741,0.1791530944625407,0.10166570936243538,0.23706896551724138,0.88671875
q0,init_state_id,all,hidden_d0__knn5,0.03,71,205,307,1741,0.23127035830618892,0.11774842044801838,0.2572463768115942,0.865234375
q0,init_state_id,all,hidden_d0__knn5,0.05,82,233,307,1741,0.2671009771986971,0.13383113153360138,0.26031746031746034,0.84619140625
q0,init_state_id,all,hidden_d0__knn5,0.1,95,309,307,1741,0.30944625407166126,0.17748420448018382,0.23514851485148514,0.802734375
q0,init_state_id,all,hidden_d9__deviation,0.01,58,100,307,1741,0.18892508143322476,0.05743825387708214,0.3670886075949367,0.9228515625
q0,init_state_id,all,hidden_d9__deviation,0.03,64,118,307,1741,0.20846905537459284,0.06777713957495692,0.3516483516483517,0.9111328125
q0,init_state_id,all,hidden_d9__deviation,0.05,72,131,307,1741,0.23452768729641693,0.0752441125789776,0.35467980295566504,0.90087890625
q0,init_state_id,all,hidden_d9__deviation,0.1,89,164,307,1741,0.2899022801302932,0.0941987363584147,0.35177865612648224,0.87646484375
q0,init_state_id,all,hidden_d9__knn5,0.01,77,262,307,1741,0.250814332247557,0.1504882251579552,0.22713864306784662,0.83447265625
q0,init_state_id,all,hidden_d9__knn5,0.03,81,273,307,1741,0.26384364820846906,0.15680643308443423,0.2288135593220339,0.8271484375
q0,init_state_id,all,hidden_d9__knn5,0.05,88,281,307,1741,0.28664495114006516,0.1614014933946008,0.23848238482384823,0.81982421875
q0,init_state_id,all,hidden_d9__knn5,0.1,90,313,307,1741,0.2931596091205212,0.1797817346352671,0.22332506203473945,0.80322265625
q0,init_state_id,all,hidden_flowmean__deviation,0.01,11,28,307,1741,0.035830618892508145,0.016082711085583,0.28205128205128205,0.98095703125
q0,init_state_id,all,hidden_flowmean__deviation,0.03,18,62,307,1741,0.05863192182410423,0.035611717403790925,0.225,0.9609375
q0,init_state_id,all,hidden_flowmean__deviation,0.05,31,103,307,1741,0.10097719869706841,0.0591614014933946,0.23134328358208955,0.9345703125
q0,init_state_id,all,hidden_flowmean__deviation,0.1,59,183,307,1741,0.19218241042345277,0.10511200459506032,0.24380165289256198,0.8818359375
q0,init_state_id,all,hidden_flowmean__knn5,0.01,79,185,307,1741,0.25732899022801303,0.10626076967260195,0.29924242424242425,0.87109375
q0,init_state_id,all,hidden_flowmean__knn5,0.03,83,207,307,1741,0.2703583061889251,0.11889718552556003,0.28620689655172415,0.8583984375
q0,init_state_id,all,hidden_flowmean__knn5,0.05,86,222,307,1741,0.28013029315960913,0.12751292360712235,0.2792207792207792,0.849609375
q0,init_state_id,all,hidden_flowmean__knn5,0.1,95,267,307,1741,0.30944625407166126,0.1533601378518093,0.26243093922651933,0.8232421875
q0,init_state_id,all,function4_d0__deviation,0.01,20,53,307,1741,0.06514657980456026,0.030442274554853533,0.273972602739726,0.96435546875
q0,init_state_id,all,function4_d0__deviation,0.03,32,73,307,1741,0.10423452768729642,0.04192992533026996,0.3047619047619048,0.94873046875
q0,init_state_id,all,function4_d0__deviation,0.05,37,115,307,1741,0.12052117263843648,0.06605399195864446,0.24342105263157895,0.92578125
q0,init_state_id,all,function4_d0__deviation,0.1,46,188,307,1741,0.1498371335504886,0.10798391728891442,0.19658119658119658,0.8857421875
q0,init_state_id,all,function4_d0__knn5,0.01,19,41,307,1741,0.06188925081433225,0.023549684089603676,0.31666666666666665,0.970703125
q0,init_state_id,all,function4_d0__knn5,0.03,31,83,307,1741,0.10097719869706841,0.04767375071797817,0.2719298245614035,0.9443359375
q0,init_state_id,all,function4_d0__knn5,0.05,40,114,307,1741,0.13029315960912052,0.06547960941987363,0.2597402597402597,0.9248046875
q0,init_state_id,all,function4_d0__knn5,0.1,48,166,307,1741,0.1563517915309446,0.09534750143595634,0.22429906542056074,0.8955078125
q0,init_state_id,all,function4_d9__deviation,0.01,9,57,307,1741,0.029315960912052116,0.032739804709936815,0.13636363636363635,0.9677734375
q0,init_state_id,all,function4_d9__deviation,0.03,14,73,307,1741,0.04560260586319218,0.04192992533026996,0.16091954022988506,0.95751953125
q0,init_state_id,all,function4_d9__deviation,0.05,19,143,307,1741,0.06188925081433225,0.08213670304422746,0.11728395061728394,0.9208984375
q0,init_state_id,all,function4_d9__deviation,0.1,34,205,307,1741,0.11074918566775244,0.11774842044801838,0.14225941422594143,0.88330078125
q0,init_state_id,all,function4_d9__knn5,0.01,4,47,307,1741,0.013029315960912053,0.026995979322228605,0.0784313725490196,0.97509765625
q0,init_state_id,all,function4_d9__knn5,0.03,9,88,307,1741,0.029315960912052116,0.05054566341183228,0.09278350515463918,0.95263671875
q0,init_state_id,all,function4_d9__knn5,0.05,16,132,307,1741,0.05211726384364821,0.07581849511774842,0.10810810810810811,0.927734375
q0,init_state_id,all,function4_d9__knn5,0.1,27,200,307,1741,0.08794788273615635,0.11487650775416428,0.11894273127753303,0.88916015625
q0,init_state_id,all,function4_flowmean__deviation,0.01,18,55,307,1741,0.05863192182410423,0.03159103963239517,0.2465753424657534,0.96435546875
q0,init_state_id,all,function4_flowmean__deviation,0.03,31,85,307,1741,0.10097719869706841,0.048822515795519814,0.2672413793103448,0.943359375
q0,init_state_id,all,function4_flowmean__deviation,0.05,48,129,307,1741,0.1563517915309446,0.07409534750143595,0.2711864406779661,0.91357421875
q0,init_state_id,all,function4_flowmean__deviation,0.1,61,210,307,1741,0.1986970684039088,0.12062033314187248,0.22509225092250923,0.86767578125
q0,init_state_id,all,function4_flowmean__knn5,0.01,14,38,307,1741,0.04560260586319218,0.021826536473291212,0.2692307692307692,0.974609375
q0,init_state_id,all,function4_flowmean__knn5,0.03,30,59,307,1741,0.09771986970684039,0.03388856978747846,0.33707865168539325,0.95654296875
q0,init_state_id,all,function4_flowmean__knn5,0.05,44,97,307,1741,0.14332247557003258,0.05571510626076967,0.3120567375886525,0.93115234375
q0,init_state_id,all,function4_flowmean__knn5,0.1,61,158,307,1741,0.1986970684039088,0.09075244112578977,0.2785388127853881,0.89306640625
q0,init_state_id,all,route_d0__deviation,0.01,11,43,307,1741,0.035830618892508145,0.02469844916714532,0.2037037037037037,0.9736328125
q0,init_state_id,all,route_d0__deviation,0.03,23,82,307,1741,0.0749185667752443,0.04709936817920735,0.21904761904761905,0.94873046875
q0,init_state_id,all,route_d0__deviation,0.05,39,129,307,1741,0.1270358306188925,0.07409534750143595,0.23214285714285715,0.91796875
q0,init_state_id,all,route_d0__deviation,0.1,54,227,307,1741,0.1758957654723127,0.13038483630097644,0.19217081850533807,0.86279296875
q0,init_state_id,all,route_d0__knn5,0.01,80,189,307,1741,0.26058631921824105,0.10855829982768524,0.29739776951672864,0.86865234375
q0,init_state_id,all,route_d0__knn5,0.03,81,201,307,1741,0.26384364820846906,0.1154508902929351,0.2872340425531915,0.8623046875
q0,init_state_id,all,route_d0__knn5,0.05,82,208,307,1741,0.2671009771986971,0.11947156806433085,0.2827586206896552,0.8583984375
q0,init_state_id,all,route_d0__knn5,0.1,84,216,307,1741,0.2736156351791531,0.12406662837449742,0.28,0.853515625
q0,init_state_id,all,route_d9__deviation,0.01,74,189,307,1741,0.24104234527687296,0.10855829982768524,0.2813688212927757,0.87158203125
q0,init_state_id,all,route_d9__deviation,0.03,85,235,307,1741,0.2768729641693811,0.134979896611143,0.265625,0.84375
q0,init_state_id,all,route_d9__deviation,0.05,91,280,307,1741,0.2964169381107492,0.16082711085582999,0.24528301886792453,0.81884765625
q0,init_state_id,all,route_d9__deviation,0.1,98,310,307,1741,0.31921824104234525,0.17805858701895463,0.24019607843137256,0.80078125
q0,init_state_id,all,route_d9__knn5,0.01,94,282,307,1741,0.30618892508143325,0.16197587593337162,0.25,0.81640625
q0,init_state_id,all,route_d9__knn5,0.03,101,305,307,1741,0.3289902280130293,0.17518667432510052,0.24876847290640394,0.8017578125
q0,init_state_id,all,route_d9__knn5,0.05,104,317,307,1741,0.33876221498371334,0.1820792647903504,0.24703087885985747,0.79443359375
q0,init_state_id,all,route_d9__knn5,0.1,111,343,307,1741,0.36156351791530944,0.19701321079839174,0.2444933920704846,0.7783203125
q0,init_state_id,all,route_flowmean__deviation,0.01,43,123,307,1741,0.14006514657980457,0.07064905226881103,0.25903614457831325,0.9189453125
q0,init_state_id,all,route_flowmean__deviation,0.03,53,156,307,1741,0.17263843648208468,0.08960367604824813,0.2535885167464115,0.89794921875
q0,init_state_id,all,route_flowmean__deviation,0.05,59,208,307,1741,0.19218241042345277,0.11947156806433085,0.2209737827715356,0.86962890625
q0,init_state_id,all,route_flowmean__deviation,0.1,80,259,307,1741,0.26058631921824105,0.14876507754164273,0.2359882005899705,0.83447265625
q0,init_state_id,all,route_flowmean__knn5,0.01,79,254,307,1741,0.25732899022801303,0.14589316484778864,0.23723723723723725,0.83740234375
q0,init_state_id,all,route_flowmean__knn5,0.03,85,276,307,1741,0.2768729641693811,0.1585295807007467,0.23545706371191136,0.82373046875
q0,init_state_id,all,route_flowmean__knn5,0.05,89,288,307,1741,0.2899022801302932,0.16542217116599656,0.23607427055702918,0.81591796875
q0,init_state_id,all,route_flowmean__knn5,0.1,92,307,307,1741,0.2996742671009772,0.17633543940264215,0.23057644110275688,0.80517578125
q0,init_state_id,all,proprio__deviation,0.01,71,441,307,1741,0.23127035830618892,0.2533026995979322,0.138671875,0.75
q0,init_state_id,all,proprio__deviation,0.03,71,441,307,1741,0.23127035830618892,0.2533026995979322,0.138671875,0.75
q0,init_state_id,all,proprio__deviation,0.05,71,441,307,1741,0.23127035830618892,0.2533026995979322,0.138671875,0.75
q0,init_state_id,all,proprio__deviation,0.1,71,441,307,1741,0.23127035830618892,0.2533026995979322,0.138671875,0.75
q0,init_state_id,all,proprio__knn5,0.01,26,262,307,1741,0.08469055374592833,0.1504882251579552,0.09027777777777778,0.859375
q0,init_state_id,all,proprio__knn5,0.03,26,262,307,1741,0.08469055374592833,0.1504882251579552,0.09027777777777778,0.859375
q0,init_state_id,all,proprio__knn5,0.05,26,262,307,1741,0.08469055374592833,0.1504882251579552,0.09027777777777778,0.859375
q0,init_state_id,all,proprio__knn5,0.1,26,262,307,1741,0.08469055374592833,0.1504882251579552,0.09027777777777778,0.859375
q0,init_state_id,all,action__deviation,0.01,65,89,307,1741,0.21172638436482086,0.0511200459506031,0.42207792207792205,0.9248046875
q0,init_state_id,all,action__deviation,0.03,76,120,307,1741,0.247557003257329,0.06892590465249857,0.3877551020408163,0.904296875
q0,init_state_id,all,action__deviation,0.05,79,141,307,1741,0.25732899022801303,0.08098793796668581,0.35909090909090907,0.892578125
q0,init_state_id,all,action__deviation,0.1,85,191,307,1741,0.2768729641693811,0.10970706490522689,0.3079710144927536,0.865234375
q0,init_state_id,all,action__knn5,0.01,76,190,307,1741,0.247557003257329,0.10913268236645605,0.2857142857142857,0.8701171875
q0,init_state_id,all,action__knn5,0.03,86,222,307,1741,0.28013029315960913,0.12751292360712235,0.2792207792207792,0.849609375
q0,init_state_id,all,action__knn5,0.05,89,235,307,1741,0.2899022801302932,0.134979896611143,0.27469135802469136,0.841796875
q0,init_state_id,all,action__knn5,0.1,97,257,307,1741,0.31596091205211724,0.1476163124641011,0.2740112994350282,0.8271484375
q0,init_state_id,all,authority_low__d0,0.01,2,33,307,1741,0.006514657980456026,0.018954623779437105,0.05714285714285714,0.98291015625
q0,init_state_id,all,authority_low__d0,0.03,9,89,307,1741,0.029315960912052116,0.0511200459506031,0.09183673469387756,0.9521484375
q0,init_state_id,all,authority_low__d0,0.05,16,134,307,1741,0.05211726384364821,0.07696726019529006,0.10666666666666667,0.9267578125
q0,init_state_id,all,authority_low__d0,0.1,29,223,307,1741,0.09446254071661238,0.12808730614589317,0.11507936507936507,0.876953125
q0,init_state_id,all,disagreement_low__d0,0.01,14,54,307,1741,0.04560260586319218,0.031016657093624354,0.20588235294117646,0.966796875
q0,init_state_id,all,disagreement_low__d0,0.03,17,88,307,1741,0.05537459283387622,0.05054566341183228,0.1619047619047619,0.94873046875
q0,init_state_id,all,disagreement_low__d0,0.05,26,130,307,1741,0.08469055374592833,0.07466973004020677,0.16666666666666666,0.923828125
q0,init_state_id,all,disagreement_low__d0,0.1,40,213,307,1741,0.13029315960912052,0.12234348075818495,0.15810276679841898,0.87646484375
q0,init_state_id,all,cancellation_low__d0,0.01,8,52,307,1741,0.026058631921824105,0.02986789201608271,0.13333333333333333,0.970703125
q0,init_state_id,all,cancellation_low__d0,0.03,12,95,307,1741,0.03908794788273615,0.05456634118322803,0.11214953271028037,0.94775390625
q0,init_state_id,all,cancellation_low__d0,0.05,15,126,307,1741,0.048859934853420196,0.07237219988512349,0.10638297872340426,0.93115234375
q0,init_state_id,all,cancellation_low__d0,0.1,25,239,307,1741,0.08143322475570032,0.1372774267662263,0.0946969696969697,0.87109375
q0,init_state_id,all,cosine_high__d0,0.01,26,28,307,1741,0.08469055374592833,0.016082711085583,0.48148148148148145,0.9736328125
q0,init_state_id,all,cosine_high__d0,0.03,36,88,307,1741,0.11726384364820847,0.05054566341183228,0.2903225806451613,0.939453125
q0,init_state_id,all,cosine_high__d0,0.05,41,130,307,1741,0.13355048859934854,0.07466973004020677,0.23976608187134502,0.91650390625
q0,init_state_id,all,cosine_high__d0,0.1,53,221,307,1741,0.17263843648208468,0.12693854106835153,0.19343065693430658,0.8662109375
q0,init_state_id,all,authority_low__d9,0.01,17,172,307,1741,0.05537459283387622,0.09879379666858128,0.08994708994708994,0.90771484375
q0,init_state_id,all,authority_low__d9,0.03,21,213,307,1741,0.06840390879478828,0.12234348075818495,0.08974358974358974,0.8857421875
q0,init_state_id,all,authority_low__d9,0.05,26,282,307,1741,0.08469055374592833,0.16197587593337162,0.08441558441558442,0.849609375
q0,init_state_id,all,authority_low__d9,0.1,35,341,307,1741,0.11400651465798045,0.1958644457208501,0.09308510638297872,0.81640625
q0,init_state_id,all,disagreement_low__d9,0.01,4,45,307,1741,0.013029315960912053,0.025847214244686962,0.08163265306122448,0.97607421875
q0,init_state_id,all,disagreement_low__d9,0.03,11,82,307,1741,0.035830618892508145,0.04709936817920735,0.11827956989247312,0.95458984375
q0,init_state_id,all,disagreement_low__d9,0.05,20,149,307,1741,0.06514657980456026,0.08558299827685238,0.11834319526627218,0.91748046875
q0,init_state_id,all,disagreement_low__d9,0.1,30,233,307,1741,0.09771986970684039,0.13383113153360138,0.11406844106463879,0.87158203125
q0,init_state_id,all,cancellation_low__d9,0.01,8,74,307,1741,0.026058631921824105,0.04250430786904078,0.0975609756097561,0.9599609375
q0,init_state_id,all,cancellation_low__d9,0.03,9,101,307,1741,0.029315960912052116,0.058012636415852956,0.08181818181818182,0.9462890625
q0,init_state_id,all,cancellation_low__d9,0.05,15,142,307,1741,0.048859934853420196,0.08156232050545663,0.09554140127388536,0.92333984375
q0,init_state_id,all,cancellation_low__d9,0.1,26,226,307,1741,0.08469055374592833,0.12981045376220562,0.10317460317460317,0.876953125
q0,init_state_id,all,cosine_high__d9,0.01,4,95,307,1741,0.013029315960912053,0.05456634118322803,0.04040404040404041,0.95166015625
q0,init_state_id,all,cosine_high__d9,0.03,8,137,307,1741,0.026058631921824105,0.07869040781160253,0.05517241379310345,0.92919921875
q0,init_state_id,all,cosine_high__d9,0.05,16,189,307,1741,0.05211726384364821,0.10855829982768524,0.07804878048780488,0.89990234375
q0,init_state_id,all,cosine_high__d9,0.1,32,257,307,1741,0.10423452768729642,0.1476163124641011,0.11072664359861592,0.85888671875
q0,init_state_id,all,authority_low__flowmean,0.01,6,80,307,1741,0.019543973941368076,0.04595060310166571,0.06976744186046512,0.9580078125
q0,init_state_id,all,authority_low__flowmean,0.03,8,118,307,1741,0.026058631921824105,0.06777713957495692,0.06349206349206349,0.9384765625
q0,init_state_id,all,authority_low__flowmean,0.05,19,152,307,1741,0.06188925081433225,0.08730614589316485,0.1111111111111111,0.91650390625
q0,init_state_id,all,authority_low__flowmean,0.1,28,237,307,1741,0.09120521172638436,0.13612866168868468,0.10566037735849057,0.87060546875
q0,init_state_id,all,disagreement_low__flowmean,0.01,17,69,307,1741,0.05537459283387622,0.03963239517518667,0.19767441860465115,0.9580078125
q0,init_state_id,all,disagreement_low__flowmean,0.03,26,95,307,1741,0.08469055374592833,0.05456634118322803,0.21487603305785125,0.94091796875
q0,init_state_id,all,disagreement_low__flowmean,0.05,37,146,307,1741,0.12052117263843648,0.08385985066053991,0.20218579234972678,0.91064453125
q0,init_state_id,all,disagreement_low__flowmean,0.1,51,204,307,1741,0.16612377850162866,0.11717403790924756,0.2,0.87548828125
q0,init_state_id,all,cancellation_low__flowmean,0.01,8,32,307,1741,0.026058631921824105,0.018380241240666284,0.2,0.98046875
q0,init_state_id,all,cancellation_low__flowmean,0.03,14,78,307,1741,0.04560260586319218,0.04480183802412407,0.15217391304347827,0.955078125
q0,init_state_id,all,cancellation_low__flowmean,0.05,19,110,307,1741,0.06188925081433225,0.06318207926479034,0.14728682170542637,0.93701171875
q0,init_state_id,all,cancellation_low__flowmean,0.1,30,217,307,1741,0.09771986970684039,0.12464101091326824,0.1214574898785425,0.87939453125
q0,init_state_id,all,cosine_high__flowmean,0.01,39,63,307,1741,0.1270358306188925,0.03618609994256174,0.38235294117647056,0.9501953125
q0,init_state_id,all,cosine_high__flowmean,0.03,41,105,307,1741,0.13355048859934854,0.06031016657093624,0.2808219178082192,0.9287109375
q0,init_state_id,all,cosine_high__flowmean,0.05,48,162,307,1741,0.1563517915309446,0.09304997128087306,0.22857142857142856,0.8974609375
q0,init_state_id,all,cosine_high__flowmean,0.1,54,243,307,1741,0.1758957654723127,0.13957495692130958,0.18181818181818182,0.85498046875
q0,init_state_id,all,route_entropy_low__d0,0.01,8,19,307,1741,0.026058631921824105,0.010913268236645606,0.2962962962962963,0.98681640625
q0,init_state_id,all,route_entropy_low__d0,0.03,15,47,307,1741,0.048859934853420196,0.026995979322228605,0.24193548387096775,0.9697265625
q0,init_state_id,all,route_entropy_low__d0,0.05,24,98,307,1741,0.0781758957654723,0.056289488799540495,0.19672131147540983,0.9404296875
q0,init_state_id,all,route_entropy_low__d0,0.1,40,179,307,1741,0.13029315960912052,0.10281447443997703,0.182648401826484,0.89306640625
q0,init_state_id,all,route_entropy_low__d9,0.01,21,141,307,1741,0.06840390879478828,0.08098793796668581,0.12962962962962962,0.9208984375
q0,init_state_id,all,route_entropy_low__d9,0.03,26,194,307,1741,0.08469055374592833,0.11143021252153934,0.11818181818181818,0.892578125
q0,init_state_id,all,route_entropy_low__d9,0.05,29,251,307,1741,0.09446254071661238,0.14417001723147616,0.10357142857142858,0.86328125
q0,init_state_id,all,route_entropy_low__d9,0.1,30,305,307,1741,0.09771986970684039,0.17518667432510052,0.08955223880597014,0.83642578125
q0,init_state_id,all,route_entropy_low__flowmean,0.01,13,65,307,1741,0.04234527687296417,0.037334865020103386,0.16666666666666666,0.9619140625
q0,init_state_id,all,route_entropy_low__flowmean,0.03,17,100,307,1741,0.05537459283387622,0.05743825387708214,0.1452991452991453,0.94287109375
q0,init_state_id,all,route_entropy_low__flowmean,0.05,28,166,307,1741,0.09120521172638436,0.09534750143595634,0.14432989690721648,0.9052734375
q0,init_state_id,all,route_entropy_low__flowmean,0.1,43,229,307,1741,0.14006514657980457,0.1315336013785181,0.15808823529411764,0.8671875
q0,init_state_id,all,route_margin_low__d0,0.01,5,38,307,1741,0.016286644951140065,0.021826536473291212,0.11627906976744186,0.97900390625
q0,init_state_id,all,route_margin_low__d0,0.03,11,68,307,1741,0.035830618892508145,0.039058012636415854,0.13924050632911392,0.96142578125
q0,init_state_id,all,route_margin_low__d0,0.05,22,96,307,1741,0.07166123778501629,0.05514072372199885,0.1864406779661017,0.9423828125
q0,init_state_id,all,route_margin_low__d0,0.1,35,179,307,1741,0.11400651465798045,0.10281447443997703,0.16355140186915887,0.8955078125
q0,init_state_id,all,route_margin_low__d9,0.01,14,65,307,1741,0.04560260586319218,0.037334865020103386,0.17721518987341772,0.96142578125
q0,init_state_id,all,route_margin_low__d9,0.03,33,106,307,1741,0.10749185667752444,0.060884549109707066,0.23741007194244604,0.93212890625
q0,init_state_id,all,route_margin_low__d9,0.05,48,163,307,1741,0.1563517915309446,0.09362435381964389,0.22748815165876776,0.89697265625
q0,init_state_id,all,route_margin_low__d9,0.1,63,241,307,1741,0.20521172638436483,0.13842619184376795,0.20723684210526316,0.8515625
q0,init_state_id,all,route_margin_low__flowmean,0.01,11,37,307,1741,0.035830618892508145,0.02125215393452039,0.22916666666666666,0.9765625
