dataset,setting,scope,method,budget,tp,fp,failures,successes,recall,fpr,precision,coverage
q0,init_state_id,all,routed_d0__deviation,0.01,9,33,307,1741,0.029315960912052116,0.018954623779437105,0.21428571428571427,0.9794921875
q0,init_state_id,all,routed_d0__deviation,0.03,20,68,307,1741,0.06514657980456026,0.039058012636415854,0.22727272727272727,0.95703125
q0,init_state_id,all,routed_d0__deviation,0.05,26,122,307,1741,0.08469055374592833,0.0700746697300402,0.17567567567567569,0.927734375
q0,init_state_id,all,routed_d0__deviation,0.1,49,217,307,1741,0.15960912052117263,0.12464101091326824,0.18421052631578946,0.8701171875
q0,init_state_id,all,routed_d0__knn5,0.01,16,72,307,1741,0.05211726384364821,0.04135554279149914,0.18181818181818182,0.95703125
q0,init_state_id,all,routed_d0__knn5,0.03,23,106,307,1741,0.0749185667752443,0.060884549109707066,0.17829457364341086,0.93701171875
q0,init_state_id,all,routed_d0__knn5,0.05,37,159,307,1741,0.12052117263843648,0.0913268236645606,0.18877551020408162,0.904296875
q0,init_state_id,all,routed_d0__knn5,0.1,54,232,307,1741,0.1758957654723127,0.13325674899483056,0.1888111888111888,0.8603515625
q0,init_state_id,all,routed_d9__deviation,0.01,50,102,307,1741,0.16286644951140064,0.05858701895462378,0.32894736842105265,0.92578125
q0,init_state_id,all,routed_d9__deviation,0.03,54,119,307,1741,0.1758957654723127,0.06835152211372775,0.31213872832369943,0.91552734375
q0,init_state_id,all,routed_d9__deviation,0.05,73,159,307,1741,0.23778501628664495,0.0913268236645606,0.3146551724137931,0.88671875
q0,init_state_id,all,routed_d9__deviation,0.1,84,197,307,1741,0.2736156351791531,0.11315336013785181,0.298932384341637,0.86279296875
q0,init_state_id,all,routed_d9__knn5,0.01,47,100,307,1741,0.15309446254071662,0.05743825387708214,0.3197278911564626,0.92822265625
q0,init_state_id,all,routed_d9__knn5,0.03,55,137,307,1741,0.1791530944625407,0.07869040781160253,0.2864583333333333,0.90625
q0,init_state_id,all,routed_d9__knn5,0.05,69,181,307,1741,0.2247557003257329,0.10396323951751867,0.276,0.8779296875
q0,init_state_id,all,routed_d9__knn5,0.1,80,231,307,1741,0.26058631921824105,0.13268236645605974,0.2572347266881029,0.84814453125
q0,init_state_id,all,routed_flowmean__deviation,0.01,31,52,307,1741,0.10097719869706841,0.02986789201608271,0.37349397590361444,0.95947265625
q0,init_state_id,all,routed_flowmean__deviation,0.03,44,90,307,1741,0.14332247557003258,0.051694428489373924,0.3283582089552239,0.9345703125
q0,init_state_id,all,routed_flowmean__deviation,0.05,67,124,307,1741,0.2182410423452769,0.07122343480758185,0.3507853403141361,0.90673828125
q0,init_state_id,all,routed_flowmean__deviation,0.1,91,199,307,1741,0.2964169381107492,0.11430212521539346,0.3137931034482759,0.8583984375
q0,init_state_id,all,routed_flowmean__knn5,0.01,51,124,307,1741,0.16612377850162866,0.07122343480758185,0.2914285714285714,0.91455078125
q0,init_state_id,all,routed_flowmean__knn5,0.03,79,161,307,1741,0.25732899022801303,0.09247558874210224,0.32916666666666666,0.8828125
q0,init_state_id,all,routed_flowmean__knn5,0.05,92,209,307,1741,0.2996742671009772,0.12004595060310166,0.30564784053156147,0.85302734375
