lead,method,baseline,pair_difference_spearman
-4,cosine_high,action_translation_low,0.7519762845849803
-4,cosine_high,eef_motion_low,0.0691699604743083
-4,cosine_high,route_entropy_low,-0.06324110671936758
-4,authority_low,action_translation_low,0.7885375494071146
-4,authority_low,eef_motion_low,0.11462450592885376
-4,authority_low,route_entropy_low,-0.04644268774703557
-4,disagreement_low,action_translation_low,0.6976284584980238
-4,disagreement_low,eef_motion_low,-0.06818181818181818
-4,disagreement_low,route_entropy_low,-0.15711462450592886
-4,cancellation_low,action_translation_low,0.7440711462450592
-4,cancellation_low,eef_motion_low,0.06422924901185771
-4,cancellation_low,route_entropy_low,-0.18280632411067196
-2,cosine_high,action_translation_low,-0.019762845849802375
-2,cosine_high,eef_motion_low,0.11264822134387352
-2,cosine_high,route_entropy_low,-0.4841897233201581
-2,authority_low,action_translation_low,0.06521739130434782
-2,authority_low,eef_motion_low,-0.07015810276679843
-2,authority_low,route_entropy_low,-0.5
-2,disagreement_low,action_translation_low,0.1383399209486166
-2,disagreement_low,eef_motion_low,0.6067193675889329
-2,disagreement_low,route_entropy_low,0.11660079051383401
-2,cancellation_low,action_translation_low,0.3735177865612649
-2,cancellation_low,eef_motion_low,0.4723320158102767
-2,cancellation_low,route_entropy_low,0.3873517786561265
