lead,method,baseline,within_pair_accuracy_difference,lo,hi
-4,cosine_high,action_translation_low,-0.043478260869565216,-0.13636363636363635,0.0
-4,cosine_high,eef_motion_low,-0.043478260869565216,-0.19047619047619047,0.09090909090909091
-4,cosine_high,route_entropy_low,0.17391304347826086,0.0,0.375
-4,authority_low,action_translation_low,0.0,0.0,0.0
-4,authority_low,eef_motion_low,0.0,-0.125,0.125
-4,authority_low,route_entropy_low,0.21739130434782608,0.047619047619047616,0.391304347826087
-4,disagreement_low,action_translation_low,-0.043478260869565216,-0.13636363636363635,0.0
-4,disagreement_low,eef_motion_low,-0.043478260869565216,-0.19047619047619047,0.09090909090909091
-4,disagreement_low,route_entropy_low,0.17391304347826086,0.0,0.375
-4,cancellation_low,action_translation_low,-0.08695652173913043,-0.2608695652173913,0.08333333333333333
-4,cancellation_low,eef_motion_low,-0.08695652173913043,-0.2608695652173913,0.08333333333333333
-4,cancellation_low,route_entropy_low,0.13043478260869565,-0.13043478260869565,0.38095238095238093
-2,cosine_high,action_translation_low,0.0,-0.13043478260869565,0.13043478260869565
-2,cosine_high,eef_motion_low,-0.043478260869565216,-0.13636363636363635,0.0
-2,cosine_high,route_entropy_low,0.5652173913043478,0.30434782608695654,0.782608695652174
-2,authority_low,action_translation_low,-0.21739130434782608,-0.391304347826087,-0.047619047619047616
-2,authority_low,eef_motion_low,-0.2608695652173913,-0.45454545454545453,-0.08695652173913043
-2,authority_low,route_entropy_low,0.34782608695652173,0.040625000000000945,0.6521739130434783
-2,disagreement_low,action_translation_low,-0.043478260869565216,-0.19047619047619047,0.09090909090909091
-2,disagreement_low,eef_motion_low,-0.08695652173913043,-0.21739130434782608,0.0
-2,disagreement_low,route_entropy_low,0.5217391304347826,0.2727272727272727,0.75
-2,cancellation_low,action_translation_low,-0.17391304347826086,-0.375,0.0
-2,cancellation_low,eef_motion_low,-0.21739130434782608,-0.391304347826087,-0.05
-2,cancellation_low,route_entropy_low,0.391304347826087,0.13636363636363635,0.625
