dataset,grouping,task,fold,method,budget,reference_size,calibration_size,calibration_alarms,threshold
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__deviation,0.01,256,128,1,0.8941334279192545
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__deviation,0.03,256,128,3,0.8879000243574916
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__deviation,0.05,256,128,6,0.8791965433394473
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__deviation,0.1,256,128,12,0.8737533581600294
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__knn5,0.01,256,128,1,1.081722148715535
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__knn5,0.03,256,128,3,1.0646883918406789
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__knn5,0.05,256,128,6,1.0595790551836488
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d0__knn5,0.1,256,128,12,1.0499098747584696
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__deviation,0.01,256,128,1,1.0170515899016124
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__deviation,0.03,256,128,3,1.01239660358978
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__deviation,0.05,256,128,6,1.0056187385059365
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__deviation,0.1,256,128,12,0.9881544196359215
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__knn5,0.01,256,128,1,1.402755779745203
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__knn5,0.03,256,128,3,1.3962617308187357
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__knn5,0.05,256,128,6,1.3859800818923271
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_d9__knn5,0.1,256,128,12,1.3703920580316544
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__deviation,0.01,256,128,1,0.9193896358731063
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__deviation,0.03,256,128,3,0.9182312012606335
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__deviation,0.05,256,128,6,0.9137588729973496
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__deviation,0.1,256,128,12,0.9028723198917312
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__knn5,0.01,256,128,1,1.0963932509088559
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__knn5,0.03,256,128,3,1.090960576084191
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__knn5,0.05,256,128,6,1.0772115469251378
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_flowmean__knn5,0.1,256,128,12,1.0677386029733753
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__deviation,0.01,256,128,1,0.9682638325729004
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__deviation,0.03,256,128,3,0.9583874150222499
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__deviation,0.05,256,128,6,0.9329705632062106
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__deviation,0.1,256,128,12,0.8987861251458547
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__knn5,0.01,256,128,1,0.4935968366396192
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__knn5,0.03,256,128,3,0.48753925340825965
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__knn5,0.05,256,128,6,0.48467174475634633
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d0__knn5,0.1,256,128,12,0.48053733989980596
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__deviation,0.01,256,128,1,1.2600575963586038
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__deviation,0.03,256,128,3,1.2301912901243
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__deviation,0.05,256,128,6,1.226597755068223
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__deviation,0.1,256,128,12,1.2192444290233282
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__knn5,0.01,256,128,1,1.3344934508788366
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__knn5,0.03,256,128,3,1.307658108420752
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__knn5,0.05,256,128,6,1.3029600569307942
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_d9__knn5,0.1,256,128,12,1.287610463580425
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__deviation,0.01,256,128,1,1.0276354038603952
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__deviation,0.03,256,128,3,0.9731605544683353
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__deviation,0.05,256,128,6,0.9577282687274
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__deviation,0.1,256,128,12,0.936663314588832
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__knn5,0.01,256,128,1,0.7945946915364426
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__knn5,0.03,256,128,3,0.7881400948119598
q0,init_state_id,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_flowmean__knn5,0.05,256,128,6,0.7859897749529193
